"NAME","GS.br..follow.link.to.MSigDB","GS.DETAILS","SIZE","ES","NES","NOM.p.val","FDR.q.val","FWER.p.val","RANK.AT.MAX","LEADING.EDGE","X","direction","Database"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","Details ...",30,0.80332094,2.1585631,0,0,0,3004,"tags=70%, list=15%, signal=82%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_PROTEASOME","KEGG_PROTEASOME","Details ...",43,0.72811717,2.1397443,0,0,0,4293,"tags=67%, list=21%, signal=85%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_DNA_REPLICATION","KEGG_DNA_REPLICATION","Details ...",36,0.77464163,2.137784,0,0,0,3363,"tags=64%, list=16%, signal=76%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_BASE_EXCISION_REPAIR","KEGG_BASE_EXCISION_REPAIR","Details ...",33,0.75030285,2.0650263,0,0,0,3363,"tags=58%, list=16%, signal=69%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_CELL_CYCLE","KEGG_CELL_CYCLE","Details ...",118,0.598049,2.0607626,0,0,0,2948,"tags=42%, list=14%, signal=48%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",35,0.7428296,2.0550458,0,0.0005537635,0.001,4293,"tags=74%, list=21%, signal=94%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","Details ...",20,0.82189953,2.043467,0,0.00079304393,0.002,2889,"tags=70%, list=14%, signal=81%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",35,0.72314376,2.0211112,0,0.000594783,0.002,4293,"tags=74%, list=21%, signal=94%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION","Details ...",30,0.75676906,2.0137606,0,0.00047582638,0.002,3363,"tags=63%, list=16%, signal=76%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_LICENSING","Details ...",17,0.8503419,2.008396,0,0.00039652197,0.002,2353,"tags=76%, list=11%, signal=86%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_SPLICEOSOME","KEGG_SPLICEOSOME","Details ...",110,0.5764919,1.9511539,0,0.0004845461,0.002,4101,"tags=40%, list=20%, signal=50%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","KEGG_MEDICUS_REFERENCE_TRAIP_DEPENDENT_REPLISOME_DISASSEMBLY","Details ...",15,0.8636745,1.9421443,0,0.0020682425,0.011,2353,"tags=67%, list=11%, signal=75%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION","KEGG_MEDICUS_REFERENCE_COPI_VESICLE_FORMATION","Details ...",22,0.781474,1.9409897,0,0.0018097122,0.011,2812,"tags=68%, list=14%, signal=79%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_VCP_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",39,0.67285323,1.9169962,0,0.0028575545,0.019,4293,"tags=69%, list=21%, signal=87%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","KEGG_MEDICUS_REFERENCE_DNA_REPLICATION_TERMINATION","Details ...",17,0.80963343,1.9151685,0,0.0025717993,0.019,2566,"tags=59%, list=12%, signal=67%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","KEGG_MEDICUS_REFERENCE_ORGANIZATION_OF_THE_OUTER_KINETOCHORE","Details ...",15,0.8287749,1.910824,0,0.0024535996,0.02,312,"tags=53%, list=2%, signal=54%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_UBQLN2_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",39,0.6689759,1.9104879,0,0.002249133,0.02,4293,"tags=67%, list=21%, signal=84%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING","KEGG_MEDICUS_REFERENCE_SPINDLE_ASSEMBLY_CHECKPOINT_SIGNALING","Details ...",21,0.76104724,1.8962184,0,0.0024957384,0.024,1690,"tags=38%, list=8%, signal=41%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_REFERENCE_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",38,0.6691193,1.8932673,0,0.0024917577,0.026,4293,"tags=68%, list=21%, signal=86%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_SOD1_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",40,0.6644282,1.8806279,0,0.0028775223,0.032,4455,"tags=70%, list=22%, signal=89%",NA,"Up_in_Tumor","KEGG_Medicus"
