NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_MYOGENESIS	HALLMARK_MYOGENESIS	Details ...	197	-0.4866314	-1.988348	0.0	0.0	0.0	4123	tags=41%, list=20%, signal=51%	
HALLMARK_ADIPOGENESIS	HALLMARK_ADIPOGENESIS	Details ...	189	-0.47589937	-1.9264007	0.0	3.7209303E-4	0.001	2754	tags=30%, list=13%, signal=35%	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	196	-0.46147728	-1.881128	0.0	7.401086E-4	0.003	5001	tags=47%, list=24%, signal=61%	
HALLMARK_UV_RESPONSE_DN	HALLMARK_UV_RESPONSE_DN	Details ...	137	-0.47611004	-1.8496488	0.0	5.5508147E-4	0.003	3728	tags=41%, list=18%, signal=50%	
HALLMARK_KRAS_SIGNALING_UP	HALLMARK_KRAS_SIGNALING_UP	Details ...	193	-0.41486353	-1.6865876	0.0	0.005140013	0.031	4288	tags=37%, list=21%, signal=47%	
HALLMARK_HYPOXIA	HALLMARK_HYPOXIA	Details ...	190	-0.40413556	-1.6252667	0.0	0.008122007	0.06	3775	tags=36%, list=18%, signal=43%	
HALLMARK_APICAL_JUNCTION	HALLMARK_APICAL_JUNCTION	Details ...	192	-0.3879069	-1.5603101	0.0	0.013983868	0.12	4149	tags=37%, list=20%, signal=46%	
HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_FATTY_ACID_METABOLISM	Details ...	153	-0.38841227	-1.5261421	0.0024183798	0.0197415	0.187	3602	tags=33%, list=18%, signal=40%	
HALLMARK_BILE_ACID_METABOLISM	HALLMARK_BILE_ACID_METABOLISM	Details ...	112	-0.38841948	-1.4787053	0.011166253	0.033599004	0.325	4236	tags=33%, list=21%, signal=41%	
HALLMARK_WNT_BETA_CATENIN_SIGNALING	HALLMARK_WNT_BETA_CATENIN_SIGNALING	Details ...	42	-0.4455613	-1.4695181	0.026200874	0.033698805	0.349	4313	tags=45%, list=21%, signal=57%	
HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_XENOBIOTIC_METABOLISM	Details ...	196	-0.3479984	-1.4193025	0.009411764	0.051130377	0.515	4754	tags=33%, list=23%, signal=43%	
HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_IL6_JAK_STAT3_SIGNALING	Details ...	87	-0.38655794	-1.4175119	0.02853261	0.04773387	0.522	3807	tags=34%, list=19%, signal=42%	
HALLMARK_IL2_STAT5_SIGNALING	HALLMARK_IL2_STAT5_SIGNALING	Details ...	193	-0.34226754	-1.3847773	0.017921148	0.06289835	0.643	3529	tags=29%, list=17%, signal=35%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	197	-0.316687	-1.2916028	0.039812647	0.14633784	0.929	5319	tags=36%, list=26%, signal=47%	
HALLMARK_COAGULATION	HALLMARK_COAGULATION	Details ...	136	-0.3266904	-1.2915828	0.056166057	0.13663158	0.93	4075	tags=32%, list=20%, signal=39%	
HALLMARK_NOTCH_SIGNALING	HALLMARK_NOTCH_SIGNALING	Details ...	32	-0.41002896	-1.276136	0.15279879	0.14666283	0.957	2447	tags=31%, list=12%, signal=35%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	190	-0.30876818	-1.2485979	0.06643757	0.17623304	0.987	3989	tags=28%, list=19%, signal=34%	
HALLMARK_P53_PATHWAY	HALLMARK_P53_PATHWAY	Details ...	190	-0.3059391	-1.2446204	0.072189346	0.17151877	0.988	4613	tags=35%, list=22%, signal=44%	
HALLMARK_KRAS_SIGNALING_DN	HALLMARK_KRAS_SIGNALING_DN	Details ...	188	-0.30198142	-1.2135142	0.09669811	0.20983946	0.995	5003	tags=29%, list=24%, signal=38%	
HALLMARK_HEDGEHOG_SIGNALING	HALLMARK_HEDGEHOG_SIGNALING	Details ...	35	-0.37458286	-1.1716349	0.2303207	0.27127427	0.999	6114	tags=54%, list=30%, signal=77%	
HALLMARK_ANGIOGENESIS	HALLMARK_ANGIOGENESIS		36	-0.37115812	-1.1667976	0.23706897	0.26775545	1.0	3307	tags=42%, list=16%, signal=50%	
HALLMARK_TGF_BETA_SIGNALING	HALLMARK_TGF_BETA_SIGNALING		54	-0.3363875	-1.1379483	0.25170067	0.31207162	1.0	6042	tags=44%, list=29%, signal=63%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT		195	-0.26961404	-1.0930276	0.26501766	0.39783934	1.0	5103	tags=32%, list=25%, signal=43%	
HALLMARK_PEROXISOME	HALLMARK_PEROXISOME		101	-0.28681517	-1.0806259	0.30719796	0.40934908	1.0	2586	tags=21%, list=13%, signal=24%	
HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_PANCREAS_BETA_CELLS		40	-0.335663	-1.0728906	0.3586498	0.4102652	1.0	3741	tags=25%, list=18%, signal=31%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS		158	-0.2618219	-1.0448048	0.3809524	0.4585493	1.0	3440	tags=23%, list=17%, signal=27%	
HALLMARK_APICAL_SURFACE	HALLMARK_APICAL_SURFACE		43	-0.3197265	-1.0358914	0.4047619	0.46416447	1.0	4317	tags=33%, list=21%, signal=41%	
HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION		194	-0.24767277	-1.0055699	0.4509346	0.5192022	1.0	4092	tags=30%, list=20%, signal=37%	
HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_CHOLESTEROL_HOMEOSTASIS		72	-0.28072214	-1.0054864	0.46922025	0.501524	1.0	2481	tags=19%, list=12%, signal=22%	
HALLMARK_ANDROGEN_RESPONSE	HALLMARK_ANDROGEN_RESPONSE		97	-0.2415216	-0.90960795	0.653944	0.7090588	1.0	1938	tags=14%, list=9%, signal=16%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION		195	-0.20705856	-0.8448712	0.82742316	0.8234525	1.0	5379	tags=29%, list=26%, signal=39%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY		45	-0.24665327	-0.8096582	0.7771429	0.8595751	1.0	2328	tags=18%, list=11%, signal=20%	
