NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_E2F_TARGETS	HALLMARK_E2F_TARGETS	Details ...	187	0.66962284	3.1925952	0.0	0.0	0.0	2942	tags=55%, list=14%, signal=64%	
HALLMARK_G2M_CHECKPOINT	HALLMARK_G2M_CHECKPOINT	Details ...	183	0.6194375	2.9371717	0.0	0.0	0.0	2942	tags=54%, list=14%, signal=62%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	187	0.5575237	2.6560335	0.0	0.0	0.0	4860	tags=59%, list=24%, signal=77%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	191	0.47713658	2.2845635	0.0	0.0	0.0	4117	tags=51%, list=20%, signal=63%	
HALLMARK_MYC_TARGETS_V2	HALLMARK_MYC_TARGETS_V2	Details ...	57	0.53893495	2.12995	0.0	0.0	0.0	2984	tags=46%, list=15%, signal=53%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	139	0.45420274	2.080878	0.0	0.0	0.0	4141	tags=45%, list=20%, signal=55%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	105	0.44432196	1.9786875	0.0	2.5714288E-4	0.001	4887	tags=50%, list=24%, signal=65%	
HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_ESTROGEN_RESPONSE_LATE	Details ...	193	0.3803712	1.8320792	0.0	5.0625E-4	0.002	3602	tags=37%, list=18%, signal=44%	
HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ESTROGEN_RESPONSE_EARLY	Details ...	190	0.37366915	1.7870106	0.0	0.0012356644	0.006	3626	tags=37%, list=18%, signal=45%	
HALLMARK_GLYCOLYSIS	HALLMARK_GLYCOLYSIS	Details ...	195	0.3669942	1.7391392	0.0	0.0014757343	0.008	4132	tags=45%, list=20%, signal=55%	
HALLMARK_MITOTIC_SPINDLE	HALLMARK_MITOTIC_SPINDLE	Details ...	196	0.34637132	1.6802083	0.0	0.002213414	0.014	3217	tags=31%, list=16%, signal=36%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	104	0.34469414	1.4747835	0.004385965	0.0158118	0.09	3789	tags=36%, list=18%, signal=43%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	92	0.34024817	1.4704348	0.0040983604	0.015185617	0.093	4698	tags=43%, list=23%, signal=56%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	95	0.31958526	1.3872503	0.019379845	0.026685176	0.176	4590	tags=40%, list=22%, signal=51%	
HALLMARK_SPERMATOGENESIS	HALLMARK_SPERMATOGENESIS	Details ...	131	0.3028687	1.3715925	0.019417476	0.029285608	0.205	1487	tags=15%, list=7%, signal=16%	
HALLMARK_UV_RESPONSE_UP	HALLMARK_UV_RESPONSE_UP	Details ...	152	0.25728485	1.2116958	0.07386363	0.10125022	0.597	2517	tags=24%, list=12%, signal=27%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	182	0.25048092	1.190938	0.07594936	0.1111608	0.668	5248	tags=38%, list=26%, signal=51%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	194	0.19380304	0.9413174	0.6510067	0.6248089	1.0	4031	tags=27%, list=20%, signal=34%	
