NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_DNA_REPLICATION	KEGG_DNA_REPLICATION	Details ...	36	0.71749216	2.618172	0.0	0.0	0.0	3363	tags=64%, list=16%, signal=76%	
KEGG_PROTEASOME	KEGG_PROTEASOME	Details ...	43	0.66702306	2.5203276	0.0	0.0	0.0	4293	tags=67%, list=21%, signal=85%	
KEGG_BASE_EXCISION_REPAIR	KEGG_BASE_EXCISION_REPAIR	Details ...	33	0.6698921	2.3885198	0.0	0.0	0.0	3805	tags=61%, list=19%, signal=74%	
KEGG_CELL_CYCLE	KEGG_CELL_CYCLE	Details ...	118	0.512523	2.297048	0.0	0.0	0.0	2948	tags=42%, list=14%, signal=48%	
KEGG_SPLICEOSOME	KEGG_SPLICEOSOME	Details ...	110	0.48363063	2.1108415	0.0	3.5897436E-4	0.002	4770	tags=45%, list=23%, signal=59%	
KEGG_PROTEIN_EXPORT	KEGG_PROTEIN_EXPORT	Details ...	22	0.6443622	2.0367992	0.0	9.5276936E-4	0.006	3927	tags=64%, list=19%, signal=79%	
KEGG_MISMATCH_REPAIR	KEGG_MISMATCH_REPAIR	Details ...	23	0.641416	1.9974098	0.0	0.0010608776	0.008	4362	tags=65%, list=21%, signal=83%	
KEGG_HOMOLOGOUS_RECOMBINATION	KEGG_HOMOLOGOUS_RECOMBINATION	Details ...	24	0.60789007	1.9620295	0.0	0.0014179643	0.011	3363	tags=50%, list=16%, signal=60%	
KEGG_PYRIMIDINE_METABOLISM	KEGG_PYRIMIDINE_METABOLISM	Details ...	95	0.42886272	1.8670018	0.0	0.004069404	0.035	4698	tags=45%, list=23%, signal=58%	
KEGG_OXIDATIVE_PHOSPHORYLATION	KEGG_OXIDATIVE_PHOSPHORYLATION	Details ...	101	0.42245996	1.848484	0.0	0.004654343	0.045	5248	tags=46%, list=26%, signal=61%	
KEGG_N_GLYCAN_BIOSYNTHESIS	KEGG_N_GLYCAN_BIOSYNTHESIS	Details ...	46	0.496483	1.8438141	0.0	0.004584883	0.049	5266	tags=59%, list=26%, signal=79%	
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	KEGG_AMINOACYL_TRNA_BIOSYNTHESIS	Details ...	22	0.5734229	1.8251683	0.0	0.005208902	0.061	5003	tags=55%, list=24%, signal=72%	
KEGG_NUCLEOTIDE_EXCISION_REPAIR	KEGG_NUCLEOTIDE_EXCISION_REPAIR	Details ...	44	0.45553902	1.7177004	0.0068259384	0.013856278	0.164	4407	tags=43%, list=21%, signal=55%	
KEGG_VIBRIO_CHOLERAE_INFECTION	KEGG_VIBRIO_CHOLERAE_INFECTION	Details ...	53	0.4344882	1.6901563	0.0	0.016685674	0.21	3262	tags=42%, list=16%, signal=49%	
KEGG_LYSOSOME	KEGG_LYSOSOME	Details ...	118	0.35050076	1.5666181	0.0	0.04332849	0.496	6092	tags=42%, list=30%, signal=60%	
KEGG_OOCYTE_MEIOSIS	KEGG_OOCYTE_MEIOSIS	Details ...	110	0.35456255	1.5602815	0.004784689	0.04275347	0.514	3172	tags=27%, list=15%, signal=32%	
KEGG_PARKINSONS_DISEASE	KEGG_PARKINSONS_DISEASE	Details ...	99	0.35505435	1.5584159	0.003690037	0.040843397	0.519	5248	tags=43%, list=26%, signal=58%	
KEGG_STEROID_BIOSYNTHESIS	KEGG_STEROID_BIOSYNTHESIS	Details ...	15	0.54757464	1.5470767	0.02688172	0.042365685	0.554	4482	tags=53%, list=22%, signal=68%	
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	Details ...	25	0.46093643	1.5146099	0.038348082	0.050935313	0.638	2013	tags=32%, list=10%, signal=35%	
KEGG_P53_SIGNALING_PATHWAY	KEGG_P53_SIGNALING_PATHWAY	Details ...	65	0.3640206	1.4606926	0.022988506	0.0720869	0.772	2942	tags=29%, list=14%, signal=34%	
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION	KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION		85	0.3434769	1.4561014	0.020408163	0.07113142	0.783	3299	tags=31%, list=16%, signal=36%	
KEGG_SELENOAMINO_ACID_METABOLISM	KEGG_SELENOAMINO_ACID_METABOLISM		24	0.4554621	1.4249864	0.072	0.083502375	0.851	2298	tags=25%, list=11%, signal=28%	
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM	KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM		32	0.40130264	1.4175512	0.05079365	0.08412472	0.861	1711	tags=28%, list=8%, signal=31%	
KEGG_BLADDER_CANCER	KEGG_BLADDER_CANCER		40	0.37888375	1.3886732	0.079872206	0.09810772	0.914	3030	tags=35%, list=15%, signal=41%	
KEGG_HUNTINGTONS_DISEASE	KEGG_HUNTINGTONS_DISEASE		160	0.2909382	1.3548281	0.0056818184	0.11727519	0.947	5248	tags=41%, list=26%, signal=54%	
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS	KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS		130	0.3030066	1.3468525	0.009569378	0.118768714	0.956	3517	tags=28%, list=17%, signal=34%	
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION	KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION		53	0.3449759	1.3339795	0.07191781	0.12411138	0.968	3484	tags=40%, list=17%, signal=48%	
