NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	KEGG_MEDICUS_REFERENCE_TRANSLATION_INITIATION	Details ...	81	-0.5648745	-2.0580943	0.0	0.003388742	0.004	6738	tags=68%, list=33%, signal=101%	
KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_PI3K_SIGNALING_PATHWAY	Details ...	82	-0.52907175	-1.9403355	0.0	0.013902524	0.032	3653	tags=45%, list=18%, signal=55%	
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_PI3K_SIGNALING_PATHWAY	Details ...	88	-0.5112661	-1.8828408	0.0	0.025148798	0.086	3653	tags=44%, list=18%, signal=54%	
KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_GF_RTK_RAS_ERK_SIGNALING_PATHWAY	Details ...	91	-0.48421988	-1.785203	0.0	0.0670658	0.266	3653	tags=40%, list=18%, signal=48%	
KEGG_MEDICUS_REFERENCE_HORMONE_LIKE_CYTOKINE_TO_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_HORMONE_LIKE_CYTOKINE_TO_JAK_STAT_SIGNALING_PATHWAY	Details ...	17	-0.66720676	-1.7734432	0.0046296297	0.06275168	0.31	1281	tags=41%, list=6%, signal=44%	
KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_RTK_PLCG_ITPR_SIGNALING_PATHWAY	Details ...	54	-0.5158605	-1.7633792	0.0	0.060068883	0.349	3971	tags=44%, list=19%, signal=55%	
KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CYTOKINE_JAK_STAT_SIGNALING_PATHWAY	Details ...	45	-0.52784365	-1.7326269	0.0014556041	0.07274289	0.457	5812	tags=49%, list=28%, signal=68%	
KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	KEGG_MEDICUS_REFERENCE_REGULATION_OF_GF_RTK_RAS_ERK_SIGNALING_UBIQUITINATION_OF_RTK_BY_CBL	Details ...	25	-0.6024061	-1.73225	0.001490313	0.06419028	0.458	3347	tags=52%, list=16%, signal=62%	
KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EGF_EGFR_PLCG_CALCINEURIN_SIGNALING_PATHWAY	Details ...	16	-0.6090859	-1.6061876	0.009404388	0.21415326	0.895	5884	tags=81%, list=29%, signal=114%	
KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_NOTCH_OVEREXPRESSION_TO_NOTCH_SIGNALING_PATHWAY	Details ...	16	-0.60998756	-1.6006724	0.01904762	0.20126435	0.904	3484	tags=56%, list=17%, signal=68%	
KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO	KEGG_MEDICUS_REFERENCE_WNT_SIGNALING_MODULATION_LGR_RSPO	Details ...	19	-0.573662	-1.5990599	0.0124223605	0.18571508	0.904	3259	tags=42%, list=16%, signal=50%	
KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_CX3CR1_GNAI_AC_PKA_SIGNALING_PATHWAY	Details ...	17	-0.59011817	-1.5966983	0.024922118	0.17396015	0.91	4376	tags=47%, list=21%, signal=60%	
KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_INACTIVATED_PTCH1_TO_HEDGEHOG_SIGNALING_PATHWAY	Details ...	29	-0.5159742	-1.5731767	0.022421524	0.19865437	0.95	6269	tags=62%, list=31%, signal=89%	
KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	KEGG_MEDICUS_VARIANT_MUTATION_ACTIVATED_SMO_TO_HEDGEHOG_SIGNALING_PATHWAY	Details ...	29	-0.5159742	-1.5129703	0.026666667	0.30489618	0.997	6269	tags=62%, list=31%, signal=89%	
KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_IL6_FAMILY_TO_JAK_STAT_SIGNALING_PATHWAY	Details ...	27	-0.5148388	-1.5056331	0.03732504	0.3002359	1.0	5242	tags=52%, list=26%, signal=70%	
KEGG_MEDICUS_REFERENCE_EP_NE_ADRB_CAMP_SIGNALING_PATHWAY	KEGG_MEDICUS_REFERENCE_EP_NE_ADRB_CAMP_SIGNALING_PATHWAY	Details ...	15	-0.5807071	-1.4973252	0.038819876	0.30223548	1.0	4350	tags=47%, list=21%, signal=59%	
