gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,-0.236950126529752,2.28473817779409,-2.3814842843881,0.0174117857799682,0.0333910457474573,-5.06305907623477
A1CF,-0.69162570942134,-8.19430522666506,-2.41764534245646,0.0157824889230923,0.0304927934388025,-4.9767797319115
A2M,-1.36374232501173,7.52472389993973,-12.6864840728054,1.58859189038316e-34,1.97054917028536e-33,67.1876648865782
A2M-AS1,-1.19208689168929,-0.210016114765089,-11.8429295084997,1.51606775416191e-30,1.57867099279814e-29,58.0896993888962
A2ML1,4.10543124841658,-2.28370315947825,13.4418552273027,2.93842215790812e-38,4.28208933901017e-37,75.7277219045986
A3GALT2,0.840831979606438,-8.35413025424297,2.86936000134377,0.00419144722004915,0.00886651093403039,-3.79080475593193
A4GALT,-0.749381248457361,3.41887699567462,-5.96653255021289,3.26066235511286e-09,1.17180440970355e-08,9.61992131394111
A4GNT,-1.58661399413224,-6.1179622182017,-4.96744269445822,7.85673962980067e-07,2.38504260540934e-06,4.30574235010274
AA06,0.0841548606535163,-9.89917108661435,1.03094545881974,0.302792256453992,0.426409485612955,-7.35927609669947
AAAS,-0.37674348159713,5.06040768844807,-7.05225761669153,3.09988816735934e-12,1.35633266773129e-11,16.4208241080272
AADAC,-4.95444583034124,-4.12868104214923,-11.2503761162559,7.10088097499571e-28,6.61628436407884e-27,51.9893630096482
AADACL2,-3.9093869283249,-7.91094706537851,-12.5166107580952,1.04423511544507e-33,1.25255184562738e-32,65.3175111528346
AAMDC,-0.676388143480679,5.81942787005968,-6.61622306849888,5.7339257016542e-11,2.32440489255845e-10,13.5634657007692
AAMP,0.0814260939617908,6.4793915251019,1.34378995686873,0.17929249954606,0.272458715181797,-6.9884713975736
AANAT,1.46061285050729,-5.4591879569773,4.13865237023554,3.75929480229556e-05,9.93412752901971e-05,0.604175170004559
AAR2,-0.0940309286257417,4.96331903256782,-1.62492295711037,0.104464481250239,0.169458092860801,-6.57220512098115
AARD,2.49549474862082,2.62648314374533,6.91522490130628,7.89258278309906e-12,3.37365957478751e-11,15.5048124257183
AARS1,0.625465680426526,5.78915687054351,7.98249765625667,3.57550155049035e-15,1.84934335669888e-14,23.0684308978478
AARS1P1,0.0437440377650269,-9.95318203674536,1.15211682470707,0.249522559313699,0.362319027724769,-7.22721900334432
AARS2,0.497553612454833,2.45629118283108,6.24989101396685,5.85707798328706e-10,2.21972213341741e-09,11.2932471572539
AARSD1,-0.230950759534279,5.08223994925943,-3.5251796446825,0.000440547005356024,0.00105179113205956,-1.7144143203585
AASDH,-0.652602610105163,2.59449520676744,-7.8641581351748,8.80195016942062e-15,4.44868893726922e-14,22.1817393283491
AASDHPPT,-0.0877464708580806,4.27776510365652,-1.16344426712951,0.244900759645171,0.35642963447408,-7.21412638550183
AASS,-2.41961860505106,1.69982872425228,-19.6780284029723,3.96152562681984e-74,1.96992074327336e-72,157.950951340822
AATF,0.429118683777325,5.19671026590457,6.24051253191884,6.20654345935021e-10,2.34902213662468e-09,11.2367050468962
AATK,-0.19120409625814,0.131147952526815,-1.23471406742005,0.217199737692546,0.321814394414925,-7.12881971562549
ABAT,-2.04137308631136,3.19151772746283,-13.0134423912896,4.02130100301899e-36,5.32864682700188e-35,70.8397771263758
ABCA1,-1.34358894091741,2.56075430351754,-11.1726964966909,1.56144221929579e-27,1.42904482608072e-26,51.2079901055235
ABCA10,-5.08941807490369,0.0455617689130333,-27.0503400837421,4.8347753106365e-124,1.14197392837234e-121,272.535193348453
ABCA4,-0.567609674028376,-0.625216538563957,-2.53621576907428,0.0113427318651722,0.022451005026986,-4.68485268561305
ABCA5,-2.00914461352432,3.01243862639843,-17.0517719306903,4.73959028469439e-58,1.40669054481024e-56,121.07208027957
ABCA6,-3.77784737831586,1.64440654328336,-24.5177326007736,2.52200840470271e-106,3.29418461856652e-104,231.853354018738
ABCA8,-5.82883247619591,1.20994013146939,-25.5418276082362,1.94853659618815e-113,3.12030063742129e-111,248.183043419496
ABCA9,-5.26033615975395,0.463812707690153,-28.5983682568774,4.75886529956762e-135,1.62512383193909e-132,297.810642994484
ABCB1,-2.84560430897997,1.16688905925772,-19.4425975442761,1.22136097148729e-72,5.85757282163041e-71,154.534551549469
ABCB10P3,0.683583800375319,-7.48871913022979,2.13371431861404,0.0330861562800924,0.0601535608468851,-5.6195808135275
ABCB10P4,0.16788628497611,-7.44521305508572,0.514648630468634,0.606901616521037,0.765963995844344,-7.75784157647775
ABCB11,-3.1993271934935,-5.55339337122916,-10.0822539619006,6.27955403490533e-23,4.74887085286437e-22,40.7037965651227
ABCB4,-0.385760436997644,-0.43450509137573,-3.11085765724232,0.00191331440626604,0.00424110295856766,-3.0748562732933
ABCB6,0.0275029260054502,4.16676260186829,0.272839270406654,0.785027809986293,0.943231379663056,-7.85299324619903
ABCB7,-0.381045976373051,3.77270346775341,-5.84063667548915,6.8346857344395e-09,2.39963250906668e-08,8.89980725929783
ABCB8,0.27431146788527,4.02521146306171,3.89885064485942,0.000102478958233871,0.000260882305746437,-0.345153380357855
ABCB9,0.701351791706099,2.14368184863036,6.18365423153217,8.80484213152405e-10,3.2937105104384e-09,10.8956056881195
