"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic"
"COL10A1",7.68879106671337,3.24188312332416,48.1652135504106,2.21878791495517e-171,4.55517158940297e-167,381.208292682874
"MMP11",6.37681316082848,1.98474750008025,42.5841292274961,5.08945428124048e-153,5.22432481969335e-149,339.210113663121
"SLC6A2",-3.68306215161826,0.114552348047409,-39.8229552623374,2.31937415674515e-143,1.5872250479326e-139,317.091436436057
"RYR3",-3.87110916505276,-0.0172023787387954,-37.1093691826591,1.77479955708754e-133,9.1091587267518e-130,294.442238968169
"HIF3A",-5.50072087953991,-1.67441035569088,-35.5700524130184,1.0774952517916e-127,4.42419550385631e-124,281.183362699465
"LOC284578",-3.91441435780059,-0.335559861901752,-35.0162510482943,1.3951113970009e-125,4.77360616340475e-122,276.33985183834
"DMD",-3.90068155841006,0.194112150786428,-34.4683641695145,1.78111857449713e-123,5.22376633348943e-120,271.509829882661
"C10orf90",-4.5102175614647,0.824225919651211,-34.2895091129778,8.74489493734597e-123,2.24415866329641e-119,269.924862090583
"LRRC3B",-3.77360706448351,0.23977649848428,-34.2031118471639,1.88886542148204e-122,4.30871190033625e-119,269.157781545078
"NDRG2",-2.87555306577302,0.084729285802414,-33.9364348650893,2.046809733298e-121,4.20210038246079e-118,266.784128660889
"SPRY2",-2.87074189403324,-0.67503778133158,-32.83671278018,4.16373163940461e-117,7.77103732336151e-114,256.900897009314
"CA4",-6.55189292084706,-0.475500457376504,-32.5433605990653,6.02285528274703e-116,1.03041015795664e-112,254.2388684257
"LOC572558",-3.11572120225393,0.271195131160746,-32.3758996140246,2.78131552362926e-115,4.39233905385452e-112,252.714419939627
"FIGF",-6.14351667546657,1.48352537204956,-32.1988988999892,1.40664833586573e-114,2.06274930966596e-111,251.099329023743
"TMEM220",-2.67586452795716,-0.332103923786796,-31.7648311762994,7.61330803202628e-113,1.04200809265e-109,247.122091358301
"CPA1",-3.83803943260901,0.927778385856571,-31.6676284806718,1.8668718469825e-112,2.39542993865942e-109,246.228256162336
"HOXA4",-2.88732547673769,0.0409862021773996,-31.5989779340915,3.5199369415612e-112,4.25084149472067e-109,245.596272465412
"NCRNA00092",-3.3093320014082,-1.28920808480509,-31.3900428232388,2.43389822248841e-111,2.77599613931595e-108,243.669287865761
"NEK2",4.12360299829979,-0.0536930818090311,31.3043339449786,5.3883731137299e-111,5.82227894867762e-108,242.877254508119
"MESTIT1",-3.25399570791529,0.405784894253454,-30.9634441695042,1.28254435863243e-109,1.31653178413619e-106,239.71821256709
"CRYAB",-4.43744209059573,-0.153521547706437,-30.9262219447675,1.81449708242879e-109,1.77388690963157e-106,239.372414959155
"PPAPDC1A",5.40270966672498,0.661477307429781,30.8780706403638,2.84309307048318e-109,2.65312276077363e-106,238.924835619208
"C2orf88",-3.31875053687732,-0.695285880045307,-30.8101390153232,5.359833849749e-109,4.78423430153682e-106,238.292914526657
"MRAS",-2.64090838760364,0.556608632833261,-30.7609449530687,8.48612515696582e-109,7.25917289468785e-106,237.834947006932
"LOC286367",-2.84315911224776,0.471851997348555,-30.5656573248437,5.27407576080187e-108,4.33107101477049e-105,236.014050044875
"FAM13A",-2.70296464237466,-0.315992396547681,-30.3841610250633,2.8928414608114e-107,2.28423212270993e-104,234.317628476167
"SYNM",-4.52052476676401,1.03047086260791,-30.2998458254083,6.38695026765089e-107,4.85644774055085e-104,233.528201689095
"COL11A1",6.71249549668576,3.02495189144835,30.249452925153,1.02576839187894e-106,7.52108038759805e-104,233.055976906945
"KLHL29",-3.15998216276451,-0.512070910905742,-30.1657778484647,2.25416519138859e-106,1.59579349583475e-103,232.271200187969
"GABRD",3.38300395176807,-0.102729147514906,30.0983587674302,4.25357251241171e-106,2.91086145599375e-103,231.638279551454
"TSLP",-3.90056984685906,-0.136512480132644,-30.0918648872207,4.52197783231744e-106,2.99471628701539e-103,231.577287400141
"HSD17B6",3.14179875902261,-0.439651842244926,30.0515284156059,6.61368875125177e-106,4.24309468947496e-103,231.198324962211
"SDPR",-4.29660744000366,-0.0210421620225215,-30.0191455409123,8.97556216110753e-106,5.5838876111375e-103,230.893947083739
"KCNJ16",-4.90011644956871,-1.29966601540355,-29.9930256592357,1.14833794307547e-105,6.93393469745277e-103,230.648346665745
"CAV1",-3.16293870210717,0.779978512582812,-29.8909489636842,3.01017564480351e-105,1.76568302822331e-102,229.687763939201
"CAV2",-2.95325784486105,0.0230103344554885,-29.6826417959011,2.15928731171594e-104,1.23139356970912e-101,227.72369722199
"PPP1R12B",-2.08488977292476,0.513456479401027,-29.5788512931326,5.77428112870125e-104,3.20394571816856e-101,226.743185888049
"ADAMTS5",-3.36088206594997,1.82054576807692,-29.5743064562231,6.02859717366171e-104,3.25702894671776e-101,226.700221910605
"BTNL9",-4.17255175731811,0.953724877416396,-29.5029830179148,1.18605482045832e-103,6.24351422154083e-101,226.025660004545
"WISP1",3.79487870386649,1.2355751885216,29.4985198988258,1.23738134765108e-103,6.35085976681919e-101,225.983429052602
"PLA2G4A",-2.86050090653056,-0.7302209555257,-29.311406248688,7.32421122894359e-103,3.66746479341981e-100,224.210837848646
"DPP6",-3.90901169981752,-1.17193586004277,-29.2808093586894,9.79957225932752e-103,4.79012424961891e-100,223.920597047472
"ANXA1",-2.72093781024582,0.0104582355360279,-29.1585577859417,3.13975061960436e-102,1.49904837722041e-99,222.759845548824
"IL11RA",-1.98211399108023,-0.115554335955292,-29.0532400710914,8.5729731174462e-102,4.00007132048115e-99,221.758498977776
"ABCA10",-4.38953474447137,1.30791059695892,-28.9515201626399,2.2645676617332e-101,1.0331460910085e-98,220.7901541749
"CYYR1",-2.19785975767314,1.11463951764799,-28.9377171515824,2.5838574012463e-101,1.15318679233884e-98,220.658662398759
"HPSE2",-4.17205040192334,0.4250902233567,-28.9072109718639,3.45862949287492e-101,1.51075879763238e-98,220.36797405537
"MME",-3.96317517455959,2.1366428256486,-28.87707444019,4.61370610720947e-101,1.97332054960439e-98,220.080704047766
"DACT2",-4.11083058733825,-1.48718911840299,-28.8054129471391,9.15824641358829e-101,3.83711834430546e-98,219.397192023294
"FAM150B",-4.00593476500588,-0.943904191324533,-28.7190131641913,2.09482492038312e-100,8.60135112309311e-98,218.572331883223
"BMP8A",2.82410368186385,0.202485288350157,28.6550464281082,3.86739568601269e-100,1.55681634184001e-97,217.961097550832
"NRG2",-4.20947600481135,-0.0581616996392107,-28.606837332197,6.14083285129169e-100,2.42444804686574e-97,217.500131106882
"ITPRIPL1",-3.02330286334659,0.0378161454644833,-28.5943073409993,6.92528658172537e-100,2.68256855703437e-97,217.380278912657
"MMP13",6.44443803614393,2.61948632270394,28.5684463417636,8.87606405523018e-100,3.37454805655325e-97,217.132856937952
"LYVE1",-4.94128715014863,0.503972987993148,-28.458277352752,2.55706101708162e-99,9.54481139648831e-97,216.077990031615
"NKAPL",-2.54491189344291,0.673456784865064,-28.393468097364,4.76800568515672e-99,1.74798494136192e-96,215.456809691445
"LOC728264",-3.75473423986562,1.55939469118866,-28.3210513019545,9.5704873414049e-99,3.44705447577268e-96,214.762161088495
"PAMR1",-3.71045525142128,0.818096768634447,-28.3005193954631,1.16620067480062e-98,4.12794825063048e-96,214.565105762013
"METTL7A",-2.0503363521689,-0.0968293510456155,-28.2195217434901,2.54449755348046e-98,8.85398894456844e-96,213.787275242341
"ATOH8",-3.9053247726338,-1.35215964391637,-28.1900354013785,3.38085491930528e-98,1.15681585822229e-95,213.503934730812
"PRRG3",-2.73221513524436,0.40551422914359,-28.1650948240692,4.29987154469463e-98,1.44715348873083e-95,213.2642008201
"FAM107A",-4.07946653758166,-0.850716498652666,-28.1615941576182,4.44749549962186e-98,1.47269488076188e-95,213.230546233681
"PDE2A",-3.18072442352004,0.742756305028669,-27.9393906271069,3.80048559480239e-97,1.23847570256021e-94,211.091592109387
"LIFR",-2.61313106260636,0.974942787196284,-27.9187514876587,4.63979674429025e-97,1.48835979937936e-94,210.892644892371
"INHBA",3.56878756674266,1.41438858680801,27.8963997057343,5.75933500088282e-97,1.81906380874037e-94,210.677136943526
"RASGEF1C",-3.23402082673306,-1.01290038631657,-27.8159668115453,1.25420489532558e-96,3.90133734864154e-94,209.901184973736
"KIF4A",3.76288816229743,-0.613627072525403,27.7927922226977,1.56967193306187e-96,4.80975593817317e-94,209.677485778852
"TRPM3",-2.52279065892155,-0.999610601831141,-27.7867084835966,1.66491800960232e-96,5.02658334369642e-94,209.618751216936
"ANGPTL7",-5.16028353869655,1.01073009040111,-27.7308440561194,2.86022240820311e-96,8.51019797687099e-94,209.079230591898
"COL25A1",-3.17825227366009,0.706522405057541,-27.5989710605378,1.02736842369584e-95,3.01312481978223e-93,207.804320101747
"ITIH5",-3.96302137534363,1.01358232330135,-27.5904434643471,1.11599960479634e-95,3.22696787133366e-93,207.721813981948
"GSN",-2.42271700991461,0.437244982677471,-27.4594826201837,3.9809761597871e-95,1.13513111889485e-92,206.453775652265
"HSPB2",-2.85787142814987,0.349165132470712,-27.3958156393219,7.39241289266839e-95,2.07898954365044e-92,205.836662067475
"GPR12",-3.78213796866621,0.83495262408856,-27.347564642204,1.18200723122293e-94,3.27927141310903e-92,205.368689927344
"COMP",5.38155041952561,3.40477520520292,27.3135592399738,1.64564963239465e-94,4.50469159374162e-92,205.038735406599
"FXYD1",-4.84602386023748,0.238813327530128,-27.2829334948973,2.21725535883751e-94,5.9895069101229e-92,204.741470524612
"CXCL2",-4.91241543742291,-1.33251517053815,-27.2293584089473,3.73611005737107e-94,9.96134278932832e-92,204.221216271627
"CMTM5",-2.95858869330495,-0.647102849260466,-27.205441209552,4.71652988136882e-94,1.241414852109e-91,203.988866217926
"PPAP2B",-1.98016654051587,0.178493454081315,-27.1996146428141,4.99207295373794e-94,1.29730706000304e-91,203.932253501388
