"gene","log2FoldChange","AveExpr","t_stat","pvalue","padj","B_statistic","negLog10Padj","Regulation"
"COL10A1",7.68879106671333,3.24188312332416,48.1652135504105,2.21878791495681e-171,4.55517158940634e-167,381.208292682873,166.341495258882,"Up"
"MMP11",6.37681316082845,1.98474750008025,42.584129227496,5.08945428124569e-153,5.2243248196987e-149,339.21011366312,148.281969828858,"Up"
"SLC6A2",-3.68306215161823,0.114552348047409,-39.8229552623373,2.31937415674752e-143,1.58722504793422e-139,317.091436436056,138.799361491552,"Down"
"RYR3",-3.87110916505273,-0.0172023787387956,-37.109369182659,1.77479955708916e-133,9.1091587267601e-130,294.442238968168,129.040521730293,"Down"
"HIF3A",-5.50072087953988,-1.67441035569089,-35.5700524130183,1.0774952517927e-127,4.42419550386084e-124,281.183362699464,123.354165689938,"Down"
"LOC284578",-3.91441435780057,-0.335559861901751,-35.0162510482942,1.39511139700249e-125,4.77360616341018e-122,276.339851838339,121.321153414427,"Down"
"DMD",-3.90068155841004,0.194112150786428,-34.4683641695144,1.78111857449814e-123,5.2237663334924e-120,271.50982988266,119.282016257909,"Down"
"C10orf90",-4.51021756146467,0.82422591965121,-34.2895091129777,8.74489493735294e-123,2.2441586632982e-119,269.924862090582,118.648946441463,"Down"
"LRRC3B",-3.77360706448349,0.23977649848428,-34.2031118471637,1.8888654214843e-122,4.3087119003414e-119,269.157781545076,118.365652543803,"Down"
"NDRG2",-2.875553065773,0.084729285802414,-33.9364348650892,2.04680973329975e-121,4.20210038246438e-118,266.784128660889,117.376533577101,"Down"
"SPRY2",-2.87074189403323,-0.67503778133158,-32.8367127801799,4.16373163940887e-117,7.77103732336947e-114,256.900897009313,113.10952100517,"Down"
"CA4",-6.55189292084702,-0.475500457376502,-32.5433605990652,6.02285528275422e-116,1.03041015795787e-112,254.238868425699,111.986989868615,"Down"
"LOC572558",-3.11572120225391,0.271195131160746,-32.3758996140246,2.78131552363069e-115,4.39233905385677e-112,252.714419939627,111.357304143163,"Down"
"FIGF",-6.14351667546654,1.48352537204956,-32.1988988999891,1.40664833586693e-114,2.06274930966772e-111,251.099329023742,110.685553549556,"Down"
"TMEM220",-2.67586452795715,-0.332103923786796,-31.7648311762993,7.61330803203322e-113,1.04200809265095e-109,247.1220913583,108.982128908119,"Down"
"CPA1",-3.83803943260899,0.92777838585657,-31.6676284806717,1.86687184698388e-112,2.39542993866119e-109,246.228256162335,108.62061652683,"Down"
"HOXA4",-2.88732547673768,0.0409862021773996,-31.5989779340914,3.5199369415641e-112,4.25084149472417e-109,245.596272465411,108.371525088693,"Down"
"NCRNA00092",-3.30933200140818,-1.28920808480509,-31.3900428232387,2.43389822249049e-111,2.77599613931832e-108,243.66928786576,107.556581142206,"Down"
"NEK2",4.12360299829976,-0.0536930818090311,31.3043339449785,5.38837311373465e-111,5.82227894868276e-108,242.877254508118,107.234906991104,"Up"
"MESTIT1",-3.25399570791527,0.405784894253454,-30.9634441695041,1.28254435863352e-109,1.31653178413731e-106,239.71821256709,105.880568651553,"Down"
"CRYAB",-4.43744209059571,-0.153521547706437,-30.9262219447675,1.81449708243008e-109,1.77388690963284e-106,239.372414959155,105.751074071138,"Down"
"PPAPDC1A",5.40270966672495,0.661477307429781,30.8780706403637,2.84309307048602e-109,2.65312276077627e-106,238.924835619207,105.576242654618,"Up"
"C2orf88",-3.3187505368773,-0.695285880045307,-30.8101390153231,5.35983384975357e-109,4.78423430154091e-106,238.292914526656,105.320187559502,"Down"
"MRAS",-2.64090838760362,0.556608632833261,-30.7609449530686,8.48612515697282e-109,7.25917289469383e-106,237.834947006931,105.139112859704,"Down"
"LOC286367",-2.84315911224774,0.471851997348555,-30.5656573248436,5.27407576080637e-108,4.33107101477419e-105,236.014050044874,104.363404695265,"Down"
"FAM13A",-2.70296464237465,-0.31599239654768,-30.3841610250632,2.8928414608142e-107,2.28423212271214e-104,234.317628476167,103.64125976536,"Down"
"SYNM",-4.52052476676398,1.03047086260791,-30.2998458254082,6.38695026765508e-107,4.85644774055402e-104,233.528201689094,103.313681280275,"Down"
"COL11A1",6.71249549668573,3.02495189144835,30.2494529251529,1.02576839187981e-106,7.52108038760447e-104,233.055976906944,103.123719769425,"Up"
"KLHL29",-3.15998216276449,-0.512070910905742,-30.1657778484646,2.25416519139064e-106,1.5957934958362e-103,232.271200187968,102.797023309365,"Down"
"GABRD",3.38300395176805,-0.102729147514906,30.0983587674301,4.2535725124157e-106,2.91086145599648e-103,231.638279551453,102.535978464547,"Up"
"TSLP",-3.90056984685904,-0.136512480132644,-30.0918648872206,4.52197783232065e-106,2.99471628701752e-103,231.57728740014,102.523644315451,"Down"
"HSD17B6",3.14179875902259,-0.439651842244926,30.0515284156058,6.61368875125704e-106,4.24309468947834e-103,231.19832496221,102.37231727635,"Up"
"SDPR",-4.29660744000364,-0.0210421620225218,-30.0191455409122,8.97556216111443e-106,5.58388761114179e-103,230.893947083738,102.253063331494,"Down"
"KCNJ16",-4.90011644956869,-1.29966601540355,-29.9930256592356,1.14833794307642e-105,6.93393469745849e-103,230.648346665745,102.159020252767,"Down"
"CAV1",-3.16293870210715,0.779978512582812,-29.8909489636841,3.01017564480625e-105,1.76568302822492e-102,229.6877639392,101.753087257411,"Down"
"CAV2",-2.95325784486104,0.0230103344554885,-29.682641795901,2.15928731171772e-104,1.23139356971013e-101,227.723697221989,100.909603118608,"Down"
"PPP1R12B",-2.08488977292475,0.513456479401027,-29.5788512931325,5.77428112870503e-104,3.20394571817065e-101,226.743185888048,100.494314850421,"Down"
"ADAMTS5",-3.36088206594995,1.82054576807692,-29.574306456223,6.02859717366514e-104,3.25702894671962e-101,226.700221910605,100.487178381642,"Down"
"BTNL9",-4.17255175731809,0.953724877416395,-29.5029830179147,1.18605482045916e-103,6.24351422154527e-101,226.025660004544,100.204570894705,"Down"
"WISP1",3.79487870386647,1.2355751885216,29.4985198988257,1.237381347652e-103,6.35085976682388e-101,225.983429052601,100.197167476801,"Up"
"PLA2G4A",-2.86050090653054,-0.7302209555257,-29.311406248688,7.32421122894776e-103,3.66746479342189e-100,224.210837848646,99.4356340465633,"Down"
"DPP6",-3.9090116998175,-1.17193586004277,-29.2808093586893,9.79957225933282e-103,4.7901242496215e-100,223.920597047472,99.3196532214027,"Down"
"ANXA1",-2.72093781024581,0.0104582355360278,-29.1585577859417,3.13975061960606e-102,1.49904837722122e-99,222.759845548823,98.8241843513937,"Down"
"IL11RA",-1.98211399108022,-0.115554335955292,-29.0532400710913,8.57297311745279e-102,4.00007132048422e-99,221.758498977776,98.3979322652179,"Down"
"ABCA10",-4.38953474447134,1.30791059695892,-28.9515201626398,2.26456766173481e-101,1.03314609100924e-98,220.7901541749,97.985838263153,"Down"
"CYYR1",-2.19785975767313,1.11463951764799,-28.9377171515823,2.58385740124843e-101,1.15318679233979e-98,220.658662398758,97.9381003403098,"Down"
"HPSE2",-4.17205040192332,0.4250902233567,-28.9072109718638,3.45862949287708e-101,1.51075879763333e-98,220.367974055369,97.820804868036,"Down"
"MME",-3.96317517455958,2.1366428256486,-28.87707444019,4.61370610721236e-101,1.97332054960562e-98,220.080704047766,97.7048023614699,"Down"
"DACT2",-4.11083058733823,-1.48718911840299,-28.805412947139,9.15824641359428e-101,3.83711834430797e-98,219.397192023293,97.4159948060956,"Down"
"FAM150B",-4.00593476500586,-0.943904191324531,-28.7190131641913,2.09482492038461e-100,8.60135112309923e-98,218.572331883223,97.0654333232661,"Down"
"BMP8A",2.82410368186383,0.202485288350157,28.6550464281081,3.86739568601665e-100,1.55681634184161e-97,217.961097550831,96.8077626182792,"Up"
"NRG2",-4.20947600481132,-0.0581616996392106,-28.6068373321969,6.14083285129711e-100,2.42444804686788e-97,217.500131106881,96.6153871178798,"Down"
"ITPRIPL1",-3.02330286334658,0.0378161454644833,-28.5943073409992,6.9252865817303e-100,2.68256855703628e-97,217.380278912656,96.5714491701776,"Down"
"MMP13",6.4444380361439,2.61948632270394,28.5684463417635,8.87606405523801e-100,3.37454805655623e-97,217.132856937951,96.4717843827401,"Up"
"LYVE1",-4.9412871501486,0.503972987993148,-28.4582773527519,2.55706101708359e-99,9.54481139649565e-97,216.077990031614,96.0202326487549,"Down"
