gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,-0.18194564226334,2.28473817779409,-1.4951017708273,0.135173737602241,0.236796317589488,-6.50054555522613
A1CF,0.330962590506833,-8.19430522666506,0.945885772809189,0.344413880451518,0.522594594620868,-7.1689208277676
A2M,-1.63587979351032,7.52472389993973,-12.4422427339063,2.36727968749163e-33,5.35500203210396e-32,64.701569007664
A2M-AS1,-1.82706810136766,-0.210016114765089,-14.8403549929343,1.45541942579064e-45,6.17551021027093e-44,92.6174313358667
A2ML1,1.64535544381872,-2.28370315947825,4.40451897182574,1.16330106937517e-05,3.85059039009341e-05,1.98580792395729
A3GALT2,-0.504503955484051,-8.35413025424297,-1.40759824650608,0.159531635475792,0.273036934721686,-6.62711396908654
A4GALT,-1.33605616787342,3.41887699567462,-8.69725555680146,1.21392733922407e-17,1.04486961746028e-16,28.9090407501662
A4GNT,-2.07662267363905,-6.1179622182017,-5.31566372648975,1.28542721935087e-07,5.11931278702839e-07,6.31387354215236
AA06,0.184548484848479,-9.89917108661435,1.84843971585401,0.0648061004287254,0.123461763042868,-5.91222743882594
AAAS,-0.131156436041832,5.06040768844807,-2.00729106353106,0.0449621247215118,0.0890819560398804,-5.60746596306146
AADAC,-3.65285764279968,-4.12868104214923,-6.7817695400771,1.93090290391897e-11,1.07228667532679e-10,14.8801724161903
AADACL2,-4.61346957629392,-7.91094706537851,-12.0765830902225,1.25590626650397e-31,2.58326612610947e-30,60.763254240821
AAMDC,-0.414890694556179,5.81942787005968,-3.31807478226495,0.000935978845704091,0.00246647307573789,-2.14604421371989
AAMP,0.198220635559136,6.4793915251019,2.67457620057423,0.00759296161851843,0.0173616411838727,-4.05558122255575
AANAT,0.492015875569854,-5.4591879569773,1.13983311556421,0.254603134530629,0.406928569140417,-6.96716058923581
AAR2,0.150603633681957,4.96331903256782,2.12782458443508,0.0335727686837474,0.0684200859629089,-5.35958700346774
AARD,0.0988762268704764,2.62648314374533,0.224016422137747,0.822785984647801,0.999999999999986,-7.59037494585649
AARS1,0.51413586752481,5.78915687054351,5.36477534237841,9.87102700784965e-08,3.97703467676603e-07,6.5691412140692
AARS1P1,-7.105427357601e-15,-9.95318203674536,-1.53005195214523e-13,0.999999999999878,0.999999999999986,-7.61542901331351
AARS2,0.164449718423171,2.45629118283108,1.68890031675573,0.0915209940611528,0.167694812571551,-6.19318362013555
AARSD1,-0.55272834540091,5.08223994925943,-6.89782097167863,8.87700344839249e-12,5.04329095492557e-11,15.6404599952127
AASDH,-0.53708411102172,2.59449520676744,-5.29156406452094,1.46211540631719e-07,5.78720836149344e-07,6.189426280149
AASDHPPT,0.0872633681952308,4.27776510365652,0.945989291212931,0.344361101698656,0.522542484423507,-7.16882312977134
AASS,-2.49133172432287,1.69982872425228,-16.5654999952892,3.24957303556104e-55,2.15200696541921e-53,114.706565730253
AATF,0.445322834540094,5.19671026590457,5.29488001110617,1.43647778064469e-07,5.69129524945387e-07,6.20651747974524
AATK,-0.650004612496648,0.131147952526815,-3.43181576576919,0.000621763230523819,0.00167410059902794,-1.76666700379455
ABAT,-0.556030772325018,3.19151772746283,-2.8980572400827,0.00382905358897663,0.00918817261479458,-3.43817176366452
ABCA1,-1.20159302762134,2.56075430351754,-8.16934624034716,8.42103666317924e-16,6.40080083618e-15,24.733579379616
ABCA10,-5.47685315097881,0.0455617689130333,-23.7998390847666,2.17146774667645e-101,1.61968636346835e-98,220.512767922644
ABCA4,-1.35017211048538,-0.625216538563957,-4.93246332916046,9.36693750202552e-07,3.43818280960129e-06,4.39895604355438
ABCA5,-2.32102658889782,3.01243862639843,-16.1055943389751,1.40931732855933e-52,8.11904275623693e-51,108.669101438797
ABCA6,-3.22415383480826,1.64440654328336,-17.1076348939533,2.22270712986744e-58,1.71663244929053e-56,121.953567691418
ABCA8,-5.29059376508447,1.20994013146939,-18.9545349748325,1.39828789684272e-69,1.80972932183151e-67,147.610903405271
ABCA9,-4.40517691069992,0.463812707690153,-19.5807549594146,1.63723163898078e-73,2.69800544042275e-71,156.618793821149
ABCB1,-2.50488070528292,1.16688905925772,-13.9928167516453,4.45986303194996e-41,1.54914654139203e-39,82.3559846817255
ABCB10P3,0.432085277554298,-7.48871913022979,1.10268711742103,0.270403443263029,0.427958858442531,-7.00870198568062
ABCB10P4,-0.167932904263879,-7.44521305508572,-0.420891081877448,0.673916559662516,0.887863296786946,-7.52699222967412
ABCB11,-1.99520561812819,-5.55339337122916,-5.14073192072008,3.23530955639655e-07,1.24038433743411e-06,5.42277422511875
ABCB4,0.315545253419147,-0.43450509137573,2.08047465230696,0.0377122475012298,0.0759874844085346,-5.45867279043477
ABCB6,0.455596446768573,4.16676260186829,3.69527386112004,0.000230426684712709,0.000656139637482119,-0.839911249336322
ABCB7,-0.347810190399569,3.77270346775341,-4.35876480798323,1.4300337431527e-05,4.68155190759068e-05,1.78905637250471
ABCB8,0.563620474658088,4.02521146306171,6.54964435588911,8.8236605038167e-11,4.64348000965801e-10,13.395126868709
ABCB9,1.16676267095736,2.14368184863036,8.41066112447889,1.24720188220942e-16,1.00428097015181e-15,26.6137365633923
ABCC1,0.302024376508449,3.6346109773391,2.89826076181604,0.00382658856651656,0.0091830349952879,-3.43758725491471
ABCC10,0.353028171091448,3.38452529638347,4.21956831745137,2.64862551534493e-05,8.41527201064193e-05,1.20270060418885
ABCC11,3.03953109412711,1.55588360561977,7.8875474529158,7.37312357861617e-15,5.24031631675769e-14,22.5994927715695
ABCC12,4.26044521319388,-4.42189146148962,7.74499094856733,2.15501617994651e-14,1.48364776789905e-13,21.5453781233932
ABCC2,1.4231984982569,-1.93864792087728,6.39998084913768,2.29265365099159e-10,1.16248613745448e-09,12.4630119122485
ABCC3,0.572657441673373,2.85970870055556,2.61833438703209,0.00895702021357378,0.0202502816410254,-4.20326345303077
ABCC5,0.434228814695632,4.15272982101596,2.81908934000409,0.00490210401081531,0.0115566194861972,-3.66191326477766
ABCC5-AS1,0.682823947438983,-9.33023198824186,2.28863373417154,0.0222889233730074,0.0469463657638792,-5.00657320091473
ABCC6,-1.04937196299276,1.43073748476989,-4.17938965658562,3.15399975426761e-05,9.93299655944013e-05,1.03687635662918
ABCC8,-0.385007736658621,1.1016755674961,-1.12252363518249,0.261883994504828,0.416638972847151,-6.98668909949369
ABCD1,1.00615099222312,3.0249293718968,8.0919175462274,1.53853700430322e-15,1.14698297869465e-14,24.1405735565556
ABCD1P2,0.342760606060601,-9.84168242725913,3.0429961270105,0.00239775028064231,0.00593242265664504,-3.01168246202101
ABCD2,-3.95669832394744,-1.82693283076914,-13.7471774669857,8.23769281804692e-40,2.64726944710569e-38,79.4601842775975
ABCD3,-0.0872575087154699,5.08576085049274,-0.739963582713709,0.45947945666993,0.659985086902777,-7.34212805308798
ABCD4,-0.921480745508176,4.61290077301224,-11.4345969468049,1.07738953659991e-28,1.86659712869119e-27,54.0684972995812
ABCE1,0.196069026548676,4.93085160877037,2.24119927792154,0.0252113553332936,0.0526285649997698,-5.11335215268101
ABCF1,0.411862523464738,5.20212868779663,5.15286937648951,3.0372970074277e-07,1.16683581429291e-06,5.48368559192141
ABCF2,0.185373102708505,4.68021917614434,2.44183923510346,0.0147688198755827,0.0321956184089768,-4.64657190482387
ABCF2P1,-0.116826401179948,-8.97913454965332,-0.426945155291644,0.669502544051483,0.883074136004246,-7.5244300050266
ABCF2P2,-7.105427357601e-15,-9.94640486529896,-1.22064036116462e-13,0.999999999999903,0.999999999999986,-7.61542901331351
ABCF3,0.375577473853584,5.30239334616988,5.81378982981882,7.98859599101073e-09,3.55740400265842e-08,9.00585799072855
ABCG1,0.628287892196301,4.21827002522324,4.91623457773531,1.01592129488387e-06,3.71791777691263e-06,4.32087760861264
ABCG2,-2.4676170152856,0.452814089753085,-14.3873841919513,3.82695635610531e-43,1.45794692147109e-41,87.0819126210096
ABCG4,-0.343757522123896,-3.80874445864672,-1.82795552049643,0.0678260632115068,0.128566972224099,-5.9497108203408
ABCG5,-0.31624030571199,-5.09154682887028,-1.19693110837489,0.231590433650044,0.375325518866023,-6.90062933127121
ABCG8,-0.788413609546798,-7.26367806746305,-1.99727938354733,0.0460400013727138,0.0910075876217449,-5.62740999023303
ABHD1,-1.73453652453741,0.415001867877825,-10.0718125244089,6.92115048516998e-23,8.34779103624076e-22,40.8311911279348
ABHD12,0.931349503888446,5.5006073865448,10.2988388159392,8.1952625961937e-24,1.03977852742397e-22,42.941244087101
