gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.770188720246674,2.28473817779409,10.984475559367,1.03518564471276e-26,3.8914193519547e-26,48.9919217381726
A1CF,-1.25206526162656,-8.19430522666506,-6.21068964733656,7.4586816782036e-10,1.76276889424667e-09,10.6864125339102
A2M,-0.703779380634661,7.52472389993973,-9.29045311235671,7.9342636003406e-20,2.51553431194691e-19,33.286630850158
A2M-AS1,-1.20489936110612,-0.210016114765089,-16.9860893386997,1.15242524299542e-57,8.46007280172554e-57,119.908621683401
A2ML1,-1.069040318455,-2.28370315947825,-4.96690567802302,7.87804064318529e-07,1.66476689771448e-06,3.9269809868836
A3GALT2,-3.15113696690918,-8.35413025424297,-15.2592960012031,7.605779304828e-48,4.5232523838868e-47,97.3816075089981
A4GALT,-1.54822620980101,3.41887699567462,-17.492223023669,1.16486863098198e-60,9.10061644888456e-60,126.783374820745
A4GNT,-2.03761540858476,-6.1179622182017,-9.05263894510494,6.16420920766622e-19,1.91367300966146e-18,31.2595408639405
AA06,-0.0938833700828727,-9.89917108661435,-1.63206162638574,0.102951761791855,0.152061737166667,-6.9448950526488
AAAS,-0.541567835024169,5.06040768844807,-14.3855570059324,3.91302728669515e-43,2.1150046799025e-42,86.5803887189829
AADAC,-6.20798386363941,-4.12868104214923,-20.003865913399,3.33530637484622e-76,3.59452182086089e-75,162.474080173179
AADACL2,-3.44472334297188,-7.91094706537851,-15.6503421390929,5.18227567686141e-50,3.21063217016306e-49,102.350502858351
AAMDC,0.0483830790037008,5.81942787005968,0.671582009426004,0.501990372059032,0.632655184777288,-8.04993496536988
AAMP,0.150718985185679,6.4793915251019,3.52961347063871,0.000433311882578206,0.000796381273492197,-2.07962040939759
AANAT,-2.05631541658046,-5.4591879569773,-8.26808554298383,3.87689738715034e-16,1.11548857518414e-15,24.8966858316431
AAR2,0.80067281783196,4.96331903256782,19.633988496937,7.53433740608565e-74,7.74585634523365e-73,157.067440122959
AARD,4.51083512387475,2.62648314374533,17.737728380709,3.94099475796591e-62,3.16709825403418e-61,130.159236293571
AARS1,0.030649739058842,5.78915687054351,0.555077334846179,0.578954240430434,0.715619859175798,-8.12138542348656
AARS1P1,0.0188402380952581,-9.95318203674536,0.704134195602713,0.481497739168015,0.610000195838745,-8.02754725029156
AARS2,0.224135870980396,2.45629118283108,3.99517056725733,6.89332921449673e-05,0.00013262593215836,-0.349823205913944
AARSD1,-0.394058346971231,5.08223994925943,-8.53520168928444,4.56900006442014e-17,1.35082651325675e-16,27.0064519054654
AASDH,0.330009683401478,2.59449520676744,5.64314894166082,2.12135500889517e-08,4.76334360866076e-08,7.42581168530027
AASDHPPT,0.90434430664009,4.27776510365652,17.0153596261635,7.75821791222681e-58,5.71611459589698e-57,120.303010725349
AASS,-3.20836673778422,1.69982872425228,-37.0262791510645,9.9003924536996e-196,1.43171797810031e-193,437.271678088745
AATF,0.527517383718908,5.19671026590457,10.8860671641431,2.75517704776853e-26,1.02470460886959e-25,48.0208010275453
AATK,-1.5314745902101,0.131147952526815,-14.0336421345692,2.73735250622619e-41,1.42179804721413e-40,82.3525885034882
ABAT,2.33080876099463,3.19151772746283,21.0847205321122,3.40073098887876e-83,4.23880031437025e-82,178.535350101718
ABCA1,-1.16183072693355,2.56075430351754,-13.7096332500347,1.28234200853442e-39,6.4126150123323e-39,78.5247682788637
ABCA10,-5.3091702963116,0.0455617689130333,-40.0426356642731,2.90209710913727e-217,6.74238036568744e-215,486.790778853696
ABCA4,-0.279460916852383,-0.625216538563957,-1.77193949097998,0.0766804581743997,0.115557789969476,-6.70738346825765
ABCA5,-2.19708048593341,3.01243862639843,-26.4603559860598,7.05386540806275e-120,1.90414058215363e-118,262.846622107868
ABCA6,-3.81837007245187,1.64440654328336,-35.164569974232,2.4487922655988e-182,2.57068770281972e-180,406.470865095434
ABCA8,-4.39073859035029,1.20994013146939,-27.3023088495618,7.94928264844904e-126,2.42795762271163e-124,276.521777095023
ABCA9,-4.82519628985958,0.463812707690153,-37.2249513619194,3.71698448773398e-197,5.75706056395257e-195,440.549834830846
ABCB1,-1.78742587704477,1.16688905925772,-17.3300260586903,1.07548619263666e-59,8.24103288567005e-59,124.567662668605
ABCB10P3,1.009768069142,-7.48871913022979,4.47257406096293,8.52733364757381e-06,1.71844112980328e-05,1.6395554997658
ABCB10P4,2.62630378427326,-7.44521305508572,11.424362100833,1.19713028177151e-28,4.69249906050777e-28,53.4179643708507
ABCB11,-3.56773703053296,-5.55339337122916,-15.9545004043435,1.01280654970427e-51,6.49332477828948e-51,106.270554243574
ABCB4,0.414404277649886,-0.43450509137573,4.74218052212488,2.39088219291121e-06,4.94759179936302e-06,2.85858823279941
ABCB6,-0.38686302527015,4.16676260186829,-5.44598700646795,6.34834526792338e-08,1.39909414722044e-07,6.36199876776053
ABCB7,0.0813547743895833,3.77270346775341,1.76952724677929,0.0770820159334363,0.11612696181659,-6.71164395025666
ABCB8,0.382426175125054,4.02521146306171,7.71314760646223,2.73207437774334e-14,7.45958155888231e-14,20.704168955041
ABCB9,0.10083216636584,2.14368184863036,1.26153639006529,0.207382212812479,0.290316661231635,-7.48008290614353
ABCC1,0.457847279720417,3.6346109773391,7.62551490629484,5.22591275999072e-14,1.41514542150737e-13,20.0659399957263
ABCC10,-0.401700313401832,3.38452529638347,-8.33324031083547,2.31361408379865e-16,6.70659414923185e-16,25.4058516488616
ABCC11,3.89676979698033,1.55588360561977,17.5506506045228,5.21562759744369e-61,4.1041573742905e-60,127.584395566541
ABCC12,2.85440151371429,-4.42189146148962,9.00604407648924,9.16348370256634e-19,2.8326947547774e-18,30.8676731920476
ABCC2,-2.20593870838851,-1.93864792087728,-17.2170886077298,5.02059600244113e-59,3.79274448542621e-58,123.031840412406
ABCC3,-1.13666959507578,2.85970870055556,-9.02022808672495,8.12316046267622e-19,2.51384277927825e-18,30.9867775404127
ABCC5,0.64390141991413,4.15272982101596,7.25542168147517,7.52956212857033e-13,1.96716664183056e-12,17.4432465500978
ABCC5-AS1,0.474870757178486,-9.33023198824186,2.7624603480263,0.00583202809884501,0.00990906392720675,-4.47198049352913
ABCC6,-0.11189119381534,1.43073748476989,-0.77345026037928,0.439421576154202,0.563292711976604,-7.97634865993216
ABCC8,0.873632190454898,1.1016755674961,4.42086996491554,1.08007167350665e-05,2.1641136373443e-05,1.41363007486297
ABCD1,-0.455667390203764,3.0249293718968,-6.36047154318215,2.94032982634728e-10,7.04248002349057e-10,11.5955624172357
ABCD1P2,0.0865105826017718,-9.84168242725913,1.33300816559733,0.182804212244727,0.258707938479357,-7.3874809426423
ABCD2,-2.95289756692243,-1.82693283076914,-17.8066432400659,1.51616920842546e-62,1.22924199209414e-61,131.111575356331
ABCD3,1.52396093295784,5.08576085049274,22.4302671697276,4.13548641504693e-92,6.23490568872821e-91,199.019893037193
ABCD4,-1.47630580463957,4.61290077301224,-31.7953784616589,5.0725906503531e-158,3.0787475244884e-156,350.551468905608
ABCE1,0.569016648967048,4.93085160877037,11.2888455285227,4.79902769749473e-28,1.85773888360818e-27,52.039715551754
ABCF1,0.253792359488473,5.20212868779663,5.51097544727108,4.44027583956719e-08,9.85090626148188e-08,6.70869819246499
ABCF2,0.438936688580136,4.68021917614434,10.0351832390632,9.72995626832537e-23,3.31672736583781e-22,39.9222707890831
ABCF2P1,-0.0912702093566526,-8.97913454965332,-0.578912881825274,0.562766079291156,0.698320714098088,-8.10787108067263
ABCF2P2,0.0327010010787543,-9.94640486529896,0.975015782603109,0.329766076370852,0.440164335703105,-7.80020956847721
