gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.194189889939394,2.28473817779409,2.83772683788503,0.00462679818616523,0.0167038552781388,-3.16670386163366
A1CF,-0.296804411417005,-8.19430522666506,-1.50849894951895,0.131713063288143,0.282802444196585,-6.0272515897367
A2M,0.53595914939323,7.52472389993973,7.249262820888,7.8636617642413e-13,1.63407352672768e-11,18.3784507628518
A2M-AS1,0.241181891803568,-0.210016114765089,3.48376720239875,0.00051379295673536,0.00235417839730149,-1.15354506621046
A2ML1,-0.347809117919593,-2.28370315947825,-1.65574933758338,0.0980568588381425,0.223850161638878,-5.79598599517849
A3GALT2,0.0182367150042904,-8.35413025424297,0.0904847992464863,0.927918390802953,0.999999999999473,-7.1540568370473
A4GALT,0.176356497950365,3.41887699567462,2.04156802736315,0.0414317954472626,0.110923095320413,-5.08856077748861
A4GNT,0.340586546722554,-6.1179622182017,1.55039468681754,0.121333493239034,0.264870342911829,-5.96363286787349
AA06,0.0554400936043464,-9.89917108661435,0.987492115195607,0.323617875011864,0.55605147001311,-6.67323215870074
AAAS,-0.0896246233156379,5.06040768844807,-2.43928734137631,0.0148729577955078,0.0464016638146255,-4.20605901357562
AADAC,0.544141983078519,-4.12868104214923,1.79654206087166,0.0726817093519839,0.175408538380818,-5.5548379564777
AADACL2,0.631034309495602,-7.91094706537851,2.93754318443059,0.00337696558630681,0.012659266311107,-2.88208702140585
AAMDC,0.200186270926383,5.81942787005968,2.84709290861589,0.00449380781961489,0.0163005488660308,-3.14040944479451
AAMP,0.0416780546688793,6.4793915251019,1.00006545523321,0.317498033351318,0.548528846599401,-6.66081119004573
AANAT,-0.379698144699598,-5.4591879569773,-1.56428364189524,0.118037631119401,0.259132415494408,-5.94215952556508
AAR2,-0.201307649463234,4.96331903256782,-5.05796155825298,4.95939625323055e-07,4.11381701497122e-06,5.42277078074932
AARD,0.168112410885898,2.62648314374533,0.677333603558453,0.498336261916047,0.739710667382029,-6.92994325098083
AARS1,-0.463362085894643,5.78915687054351,-8.59822899009243,2.73549070589548e-17,9.96590598559147e-16,28.433960744552
AARS1P1,0.0188402380953203,-9.95318203674536,0.721468268717177,0.470774260188559,0.712838593449677,-6.89924468315337
AARS2,0.0129082057103616,2.45629118283108,0.235749964101994,0.813670433929434,0.999999999999473,-7.13048166090267
AARSD1,0.0345456596628155,5.08223994925943,0.766670134968562,0.443441615374602,0.686263125644429,-6.86579775440353
AASDH,0.00925854571523921,2.59449520676744,0.162218134869013,0.871163771779853,0.999999999999473,-7.14503904263999
AASDHPPT,-0.0965565779037014,4.27776510365652,-1.86144834060525,0.0629465718225766,0.156039673932054,-5.43708208483458
AASS,0.835276604860101,1.69982872425228,9.87684372658497,4.19303796480617e-22,2.70723161900834e-20,39.3338950808765
AATF,-0.243818088231782,5.19671026590457,-5.15539509781123,2.99759071960712e-07,2.58641434875325e-06,5.90632907473964
AATK,0.174511754645586,0.131147952526815,1.63850241662418,0.101601943717876,0.230181879365317,-5.82418096263247
ABAT,0.733194654849351,3.19151772746283,6.7958267148575,1.75852483995337e-11,3.0116995808845e-10,15.3466653148721
ABCA1,0.0850223020468865,2.56075430351754,1.02796336553583,0.30419228668464,0.532059621955534,-6.63269122637201
ABCA10,1.31655901292958,0.0455617689130333,10.1741498349236,2.6580057957341e-23,1.94673168667409e-21,42.0504727660573
ABCA4,0.497991751327327,-0.625216538563957,3.23527912810128,0.00125131611813701,0.00522038623086183,-1.9756706331671
ABCA5,0.130113424099171,3.01243862639843,1.6055861785338,0.108650923773457,0.242985780608716,-5.8771763951352
ABCA6,0.80111470408445,1.64440654328336,7.55933854078642,8.49207884703881e-14,1.99254538775222e-12,20.5539910608587
ABCA8,1.48716845981267,1.20994013146939,9.47509905662013,1.56657195955467e-20,8.77527976711812e-19,35.7705513428094
ABCA9,1.07107030988438,0.463812707690153,8.46640293275448,7.96921310753002e-17,2.75462654048574e-15,27.3845117300791
ABCB1,0.808582889831398,1.16688905925772,8.03262552254891,2.43271575417014e-15,6.95791073019156e-14,24.0322315825183
ABCB10P3,-0.360577001854231,-7.48871913022979,-1.63642358333319,0.102036060947009,0.230980761239679,-5.82755956400658
ABCB10P4,-0.0211831221512773,-7.44521305508572,-0.0944145157333188,0.924797022528244,0.999999999999473,-7.15369536977324
ABCB11,0.763906143349772,-5.55339337122916,3.50019447473496,0.000483473815910161,0.00222713828021414,-1.09709782183687
ABCB4,0.0946947775334994,-0.43450509137573,1.11030342560603,0.267110132081687,0.484294094781765,-6.54519364821187
ABCB6,-0.45420690329625,4.16676260186829,-6.5514119225326,8.72369754673423e-11,1.33801127307703e-09,13.7870959754046
ABCB7,0.0491380553485903,3.77270346775341,1.09510049003245,0.27371152766802,0.492856154534103,-6.56185500549162
ABCB8,-0.0569315442651055,4.02521146306171,-1.17651859553801,0.239641388388954,0.446427572296845,-6.46995377025936
ABCB9,-0.485599767409783,2.14368184863036,-6.22502290278785,6.82881860544031e-10,9.0404500024568e-09,11.7870144624116
ABCC1,-0.0589374909965548,3.6346109773391,-1.00577764590408,0.314742991871847,0.545098091263328,-6.65511640238343
ABCC10,-0.086053170710978,3.38452529638347,-1.82911247353111,0.0676524597357032,0.165319537783324,-5.49626643288282
ABCC11,0.390928380546419,1.55588360561977,1.80404542794953,0.0714967374416448,0.173072297040395,-5.5414373525114
ABCC12,-0.026215045294069,-4.42189146148962,-0.0847483821997596,0.93247680037294,0.999999999999473,-7.15455690597398
ABCC2,-0.0672860896734089,-1.93864792087728,-0.538088068445787,0.590624737364937,0.827557840519638,-7.01410912253678
ABCC3,0.358633326246361,2.85970870055556,2.91605505615004,0.00361656662612691,0.013457787114473,-2.94417672638065
ABCC5,-0.462087252688324,4.15272982101596,-5.3349341442541,1.15920210837943e-07,1.07373936470283e-06,6.82036588666605
ABCC5-AS1,0.0975871386962464,-9.33023198824186,0.581667783011609,0.560909253957101,0.800363063540075,-6.9898397067653
ABCC6,0.0477046918922863,1.43073748476989,0.337877581340776,0.735519695560962,0.950554908397771,-7.10133992269248
ABCC8,0.287188906004231,1.1016755674961,1.4890475661291,0.1367605182968,0.291125807781037,-6.05619861750965
ABCD1,-0.153827384966353,3.0249293718968,-2.20007162908345,0.0280084744884398,0.079746077438507,-4.75546471116202
ABCD1P2,-0.0388904910713386,-9.84168242725913,-0.614000604938591,0.539341459180672,0.779874212785276,-6.97061371936049
ABCD2,0.62099536836624,-1.82693283076914,3.83692964254306,0.00013164478225016,0.000687297791139901,0.117085111949955
ABCD3,0.0828293658023123,5.08576085049274,1.24912743705841,0.211883320598819,0.406884880694642,-6.38245329582832
ABCD4,0.196398216542894,4.61290077301224,4.33398107058362,1.59795557137694e-05,0.000100448996928605,2.10714644893995
ABCE1,-0.228624956596303,4.93085160877037,-4.64739933727942,3.76672964917994e-06,2.65979534569896e-05,3.48221127732697
ABCF1,-0.183652883179161,5.20212868779663,-4.08610462442025,4.70422112908654e-05,0.000269693454051029,1.08535716825416
ABCF2,-0.0846316686126345,4.68021917614434,-1.98252250780346,0.047668433326809,0.124217530037241,-5.2063296920485
ABCF2P1,-0.145728955864973,-8.97913454965332,-0.947091238478765,0.343799595373993,0.579969987577696,-6.71208150549982
ABCF2P2,0.0327010010788271,-9.94640486529896,0.999018302248072,0.31800479664987,0.54900279913777,-6.66185164117512
ABCF3,-0.132726130770258,5.30239334616988,-3.6536849796012,0.000270649398126259,0.00132172407658351,-0.557138238161416
ABCG1,0.0125632026603677,4.21827002522324,0.174819207275339,0.861253758670124,0.999999999999473,-7.14292628286643
ABCG2,0.9800865154911,0.452814089753085,10.1620978673275,2.97631962257448e-23,2.15756530389389e-21,41.9390499614132
ABCG4,0.246487152266199,-3.80874445864672,2.33089427642932,0.019938332290124,0.059701256119932,-4.4619559763085
ABCG5,-0.00891480545138723,-5.09154682887028,-0.0600037893488983,0.952163479371698,0.999999999999473,-7.15633878868264
ABCG8,-0.0390803990354165,-7.26367806746305,-0.176059137776515,0.860279779903428,0.999999999999473,-7.14270985280937
ABHD1,0.0972998822476867,0.415001867877825,1.00473463423162,0.315244868039741,0.545633887378994,-6.65615865244307
ABHD12,-0.317985456301739,5.5006073865448,-6.25313356526469,5.74078474545302e-10,7.68983000118716e-09,11.9555351370948
ABHD12B,0.425981951251143,-1.5414133068735,1.82086779609356,0.0688976185742245,0.167841349451467,-5.51119175323127
ABHD13,0.19151943891767,2.33878250670846,3.88555468443405,0.0001081727457951,0.000574415724044035,0.301387281798649
ABHD14B,0.145626703024027,5.84425864813463,2.92283214002325,0.0035393783791145,0.0132000185233712,-2.92464287072698
ABHD16B,0.193187946428649,-8.9820305680793,0.886492730554536,0.375545184324503,0.612066741676368,-6.7673153978098
ABHD17A,0.249706725166512,4.77855003634023,4.74515104777241,2.35675395842243e-06,1.73101410203486e-05,3.92996421187704
ABHD17B,0.150215953573263,2.97686391397326,2.74716822002528,0.00610907809398208,0.0213666966307784,-3.41653356409754
ABHD17C,-0.189819703348249,3.65625519303878,-2.32176901972561,0.0204266937866232,0.0609767465706213,-4.48297369676234
ABHD18,-0.110672715261805,2.21755325464242,-1.90839522378973,0.056599371511303,0.14290509407771,-5.34932107288447
ABHD2,0.0947218393666498,4.63798993365832,1.05510792699876,0.291606873727695,0.516323415101061,-6.60458946409282
ABHD4,0.011840984004273,4.31267606852852,0.241271508094521,0.809389506205108,0.999999999999473,-7.1291714180701
ABHD5,-0.110896568696701,4.33778869190967,-1.84692885910492,0.0650249831901639,0.160322557719381,-5.46378459433381
ABHD6,0.0190583995004208,2.09500315869369,0.273803490986364,0.784286871713163,0.989091305532276,-7.12083594033496
ABHD8,0.125849866949501,2.83761837106433,2.17695729573575,0.0296951126727471,0.0837740891406733,-4.80557706559548
ABI1,-0.0390591683535382,5.11198719199072,-0.845119722275247,0.398227160587771,0.636601614069432,-6.8029315385319
ABI3,0.239977442215868,2.70149943415375,3.68617265102623,0.000238716439310487,0.00118042197414802,-0.439950306985533
ABI3BP,0.805278956091503,3.44782969292955,6.21441293663494,7.28981127253177e-10,9.60587683443239e-09,11.7235926456716
ABITRAM,0.00726859621561049,3.83745034992655,0.16130427809176,0.871883274940977,0.999999999999473,-7.14518612073639
ABL1,0.121831766071486,4.87339057471665,2.57033075249902,0.0102903813323449,0.0335562089834311,-3.88133267152474
ABL2,0.13378909561374,2.70718655138346,2.31750239238051,0.0206585957109,0.0615764484915568,-4.49277278459074
ABLIM1,0.287339691039465,4.78809096887509,3.93673039565345,8.77705542925977e-05,0.000473680234362031,0.497795414735924
ABLIM2,0.543674228154741,1.37832456662389,6.09448329032572,1.51501987712751e-09,1.90513413475164e-08,11.0137249816541
ABLIM3,0.756993094822541,3.51822765860615,6.88266650616564,9.83158707944563e-12,1.74603072794365e-10,15.913421935964
ABO,1.23132256859975,-0.817631413372706,8.38121366254729,1.57854343097308e-16,5.2086420264844e-15,26.713899628074
ABR,0.185006919244035,4.80793667437169,3.53756026601948,0.000420621514291944,0.00196669353366725,-0.967734898676546
ABRACL,-0.217042571819379,5.56119943698449,-3.30832020567249,0.000968864639690705,0.00416398777064342,-1.74019699483463
ABRAXAS1,0.259523612278099,2.59679928398117,4.46968680713327,8.64117097127142e-06,5.68272273804448e-05,2.69117287335276
ABRAXAS2,-0.0572969253011242,3.46327164737758,-1.39497974984267,0.163302598470004,0.334150220259441,-6.1909065256745
ABTB1,0.275676774830018,4.17968818689085,4.95777472865085,8.24886403736706e-07,6.5935082423895e-06,4.93473460992517
ABTB3,0.427596071669514,0.208915157498697,3.53248967622911,0.000428678050913332,0.00200007418519958,-0.985368378032732
ACAA2P1,-0.0265417480562804,-3.36548797773587,-0.147549109250583,0.882725569265868,0.999999999999473,-7.14729953524151
ACACA,-0.243703719328826,4.70019913990381,-3.5497785648032,0.000401786077620943,0.00188546764637219,-0.92514299725956
ACACB,0.66554623164339,3.08560292468648,5.92507657406055,4.16692194982082e-09,4.91499108388353e-08,10.0330531316154
ACAD10,-0.184989653336315,3.57814390520694,-3.71274765591076,0.000215263668426159,0.00107821768728473,-0.343337811301765
ACAD11,0.0108409421008857,2.83466403487098,0.193731995710087,0.846421385229393,0.999999999999473,-7.13945878846483
ACAD8,0.115866207217326,3.97799928048713,2.18436802248674,0.0291450746465493,0.0825284326109426,-4.78956759872449
ACAD9,-0.164755480047943,4.64180649599983,-4.31653355456137,1.72728771362033e-05,0.000108051933434903,2.03332067984861
ACADM,0.172183929514933,5.3429893219739,2.70267312957689,0.00698399110367316,0.0240264891179162,-3.53635714572467
ACADS,0.457865462584551,3.56740563286644,5.45104400503174,6.17502449584843e-08,6.0249533325414e-07,7.42729650809658
ACADSB,0.120841392222698,4.39726752857784,1.30252033966896,0.193010287095328,0.379145025811211,-6.31477709109582
ACADVL,0.142361036491349,7.70493637263294,2.81445124345163,0.00497288283791516,0.0177901541282175,-3.2316782712379
ACAN,0.0490591485354283,-0.414391074871126,0.317985415970665,0.750556152864102,0.961743381409589,-7.107829679669
ACAP1,0.222859785759061,2.36365977815194,2.64405858744935,0.00830802913645627,0.0279074161938512,-3.69125643129231
ACAP2,-0.0475466311028154,3.59493752164629,-0.816828434006675,0.414202752622831,0.65481414581636,-6.82630767442631
ACAP3,-0.112225880675931,3.68138166433051,-1.83364628887036,0.0669756746375176,0.164047573619582,-5.48803031784104
ACAT1,0.0650561210371938,5.69676801809167,1.0829063952407,0.279086493578113,0.500185113751377,-6.5750532288945
ACBD3,-0.101464251923018,5.06604106409654,-1.83329201484344,0.0670283570778431,0.164148242009192,-5.48867462084656
ACBD4,0.295689078592382,3.0336530227037,4.365843803354,1.38525315310632e-05,8.8094268278316e-05,2.24270990795194
ACBD5,-0.317952544289225,3.89358639679701,-5.57710383309409,3.07436773113704e-08,3.14925475140399e-07,8.10024272354954
ACBD6,-0.123509510133547,5.39394613850039,-3.10812490103385,0.00193093864010238,0.00766533960995264,-2.37328629633117
ACBD7,-0.603800245693077,-1.2099649711409,-3.55470390980878,0.000394418831942714,0.00185611943758663,-0.907933095091628
ACCS,0.401708407283719,3.07745943925688,5.53980757834506,3.7845010731726e-08,3.80922934723026e-07,7.8996281460192
ACCSL,0.119918271622231,-9.19902591960129,0.823921177916923,0.410162351083523,0.650406555176531,-6.82052183848172
ACD,-0.164220132053221,3.91047455133065,-3.30036841616273,0.000996461988857242,0.0042632028093841,-1.76608241394596
ACE,0.164864021293498,3.32098329449923,1.98004442055782,0.0479465915346415,0.124816145339629,-5.21119732671706
ACE2,0.778142478320442,-2.32377354815009,4.06711979799487,5.09802676371231e-05,0.00029039081710342,1.00950248140149
ACE2-DT,0.261324067119117,-7.35413012956131,0.908196463270699,0.363972690214329,0.598401504143557,-6.74795203131091
ACE3P,-0.0319807886903885,-9.90410492397309,-0.751401714373833,0.452571117580642,0.695520366158254,-6.87732257769331
