gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.761088092373045,2.28473817779409,9.14280828445423,2.84811776345065e-19,1.98590528627909e-18,32.5309901271696
A1CF,-0.806471792501147,-8.19430522666506,-3.36949298356096,0.000779100063414364,0.00188179055793922,-2.07006690175296
A2M,-1.2504529357837,7.52472389993973,-13.9036946263939,1.29008660492908e-40,2.46237136229695e-39,81.2451747082114
A2M-AS1,-1.28106637054894,-0.210016114765089,-15.2116657294509,1.38881806509862e-47,3.72418725044044e-46,97.1919913066135
A2ML1,-1.73520646766151,-2.28370315947825,-6.79055855839577,1.82128188481385e-11,8.03586764370546e-11,14.8506178732452
A3GALT2,-0.0368507158586251,-8.35413025424297,-0.150305772079095,0.880550842510588,1,-7.7004895690879
A4GALT,-0.29250502030182,3.41887699567462,-2.78359743642595,0.00546775432566179,0.0118975916326238,-3.8552157796333
A4GNT,-1.5356209754014,-6.1179622182017,-5.74644867032907,1.17813302175717e-08,4.3087744991852e-08,8.53918839244536
AA06,0.0554400936042558,-9.89917108661435,0.811772529347999,0.417097202859291,0.594797902890105,-7.38273332166927
AAAS,0.214519177384999,5.06040768844807,4.79957138610492,1.80847113021185e-06,5.65152212951759e-06,3.67531666699205
AADAC,-5.56527830176667,-4.12868104214923,-15.104722649118,5.34396479541041e-47,1.38581279195894e-45,95.852223984997
AADACL2,-4.18243782361658,-7.91094706537851,-16.0052143431824,5.23111416481356e-52,1.69065792346038e-50,107.322362341686
AAMDC,-0.180953713402476,5.81942787005968,-2.11560976923008,0.0346015285981312,0.0663338333842022,-5.48076980050721
AAMP,0.376688605000793,6.4793915251019,7.43026293927374,2.16607197236011e-13,1.07881117526929e-12,19.1945873709391
AANAT,-0.0862330267055489,-5.4591879569773,-0.292046074035836,0.770306281771377,0.941791884162011,-7.66917474966025
AAR2,0.265685330809675,4.96331903256782,5.48761376556626,5.05134633546747e-08,1.77241099941186e-07,7.12730698020576
AARD,1.47825596730186,2.62648314374533,4.89613293149083,1.12303840356695e-06,3.5701436194147e-06,4.13316741620353
AARS1,0.0224283270847607,5.78915687054351,0.342126021350557,0.732321190996422,0.906019722287324,-7.65331336540909
AARS1P1,0.0188402380952333,-9.95318203674536,0.593086377427028,0.553244852190361,0.733312395693951,-7.53611192364241
AARS2,0.232358113527492,2.45629118283108,3.48854486938085,0.000504796820007529,0.00124709849789012,-1.66657628507928
AARSD1,0.103482039640737,5.08223994925943,1.88790766587007,0.0593004748256064,0.108537560277476,-5.9344362992507
AASDH,-0.195992279321609,2.59449520676744,-2.82290527978184,0.0048445571360649,0.0106239170185395,-3.74592240426138
AASDHPPT,0.153672699382473,4.27776510365652,2.43537899923661,0.0150337058845004,0.030600743956214,-4.75732438580779
AASS,-1.44829072552337,1.69982872425228,-14.0781091607545,1.60674729533522e-41,3.21394815377428e-40,83.3148779954081
AATF,0.505486138353813,5.19671026590457,8.78629938214851,5.80764414610582e-18,3.76944963767399e-17,29.555610047161
AATK,0.372470636467119,0.131147952526815,2.87484977804159,0.00411979999527337,0.00911921991925251,-3.59917688167165
ABAT,1.67449797343345,3.19151772746283,12.7587564223297,7.08979859001133e-35,1.03477472314769e-33,68.1194576158662
ABCA1,-0.963494636559286,2.56075430351754,-9.57623496094324,6.37055555920729e-21,4.79976147714437e-20,36.2846572133579
ABCA10,-3.70287145812501,0.0455617689130333,-23.5232405000571,1.68211669493866e-99,5.10396697311009e-97,216.20134535575
ABCA4,-0.705248398930794,-0.625216538563957,-3.766451934651,0.000174324616034015,0.000451939716168308,-0.671441260847997
ABCA5,-1.53922883714712,3.01243862639843,-15.6140447615985,8.26210576087232e-50,2.44703370622952e-48,102.287694814047
ABCA6,-2.43104746405714,1.64440654328336,-18.8574621385676,5.61475325893887e-69,3.72703902509048e-67,146.205555841914
ABCA8,-3.79585025792332,1.20994013146939,-19.8807781169607,2.03590234982608e-75,1.83775847781753e-73,160.970844029746
ABCA9,-3.39850286028524,0.463812707690153,-22.0835712344035,8.59357834520358e-90,1.54162268744589e-87,193.934042237197
ABCB1,-1.75562267340606,1.16688905925772,-14.3372173342546,7.04300770493348e-43,1.49645435073939e-41,86.4225722877485
ABCB10P3,0.596257612821223,-7.48871913022979,2.22449972994583,0.0263164833870875,0.0514920892671273,-5.24572824301822
ABCB10P4,0.288275450857512,-7.44521305508572,1.05622677702889,0.291095756709836,0.442925602758407,-7.1548384258072
ABCB11,-2.15800278917241,-5.55339337122916,-8.12839664418885,1.15893629553089e-15,6.57635442653206e-15,24.3367800374339
ABCB4,0.513966214664765,-0.43450509137573,4.95394222530364,8.40947433939535e-07,2.69941269168541e-06,4.41145063167385
ABCB6,-0.136825229254912,4.16676260186829,-1.62236315476313,0.10501120210398,0.182056242732596,-6.39870370050077
ABCB7,-0.155862949444887,3.77270346775341,-2.85548321962505,0.00437762762888885,0.00965523908748156,-3.65419650795492
ABCB8,0.871458864105139,4.02521146306171,14.8044895345717,2.27197147527618e-45,5.48524356858843e-44,92.124328019577
ABCB9,0.637888234986995,2.14368184863036,6.72214366194675,2.86549079842734e-11,1.2464621115811e-10,14.4072476210735
ABCC1,0.288732245360411,3.6346109773391,4.05047855643109,5.46876625725401e-05,0.000149866296814858,0.422303542746691
ABCC10,0.111584375380497,3.38452529638347,1.9497441910422,0.0514595696632825,0.0954624021556437,-5.81630335286014
ABCC11,1.45575388755234,1.55588360561977,5.52254090675414,4.16494840544377e-08,1.46702246307814e-07,7.31423682281331
ABCC12,1.42977349176342,-4.42189146148962,3.79969518882447,0.000152784411446937,0.000398538685629668,-0.547424084290395
ABCC2,-1.1871817202044,-1.93864792087728,-7.80451620851761,1.37989835977592e-14,7.34356723798136e-14,21.8998068290061
ABCC3,-0.0802249517772151,2.85970870055556,-0.536235119625193,0.591904119467195,0.772134129334416,-7.56817030904636
ABCC5,0.966005340416439,4.15272982101596,9.16822612070451,2.28840184079169e-19,1.60352192275401e-18,32.7470158313334
ABCC5-AS1,0.542848302044238,-9.33023198824186,2.65987742379973,0.00793017268783715,0.01687483593574,-4.18934447204618
