gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.803848328963402,2.28473817779409,9.18887945776352,1.9149459851424e-19,1.73409677325483e-18,32.9516583305872
A1CF,0.181958328337199,-8.19430522666506,0.723420927131128,0.469574602818964,0.630011480748874,-7.41579118840316
A2M,-0.422669760165197,7.52472389993973,-4.47206186347373,8.54742305959513e-06,2.82035109663754e-05,2.22098726572639
A2M-AS1,-0.330161370663219,-0.210016114765089,-3.73056968496573,0.000200768343214815,0.000566790629490112,-0.770404270796144
A2ML1,-5.49282859815849,-2.28370315947825,-20.454748467119,4.23076809949792e-79,6.9316121972352e-77,169.419200480534
A3GALT2,-0.895919410469354,-8.35413025424297,-3.47730216525351,0.00052620473594527,0.00140798140617698,-1.67143023703503
A4GALT,0.280519730205176,3.41887699567462,2.54027229226108,0.0112127777506338,0.0241225785627297,-4.46386768383426
A4GNT,-0.28959352799171,-6.1179622182017,-1.03121234405602,0.30266716895502,0.440006064361753,-7.14627878502266
AA06,-0.0841548606536069,-9.89917108661435,-1.17255535946556,0.241227175462521,0.364308560385214,-6.9908940631923
AAAS,0.680887282297767,5.06040768844807,14.4962379848925,1.01370483982965e-43,3.27622006614954e-42,88.368926677291
AADAC,-1.15497445450395,-4.12868104214923,-2.98292272109236,0.00291784420747197,0.00695863493618724,-3.25136152026751
AADACL2,-0.904085204787279,-7.91094706537851,-3.29219172140845,0.00102559845060437,0.00263526085431332,-2.29078311812037
AAMDC,0.29524815915182,5.81942787005968,3.28472501308019,0.00105289271511275,0.00269878740433675,-2.31506915818972
AAMP,0.253584456370123,6.4793915251019,4.75979320518032,2.19526193087968e-06,7.68084238598367e-06,3.52234052196343
AANAT,-1.16714773251324,-5.4591879569773,-3.76138101751865,0.000177851585171812,0.000505517983364403,-0.656574590481247
AAR2,0.561023908898651,4.96331903256782,11.0265864123745,6.79479503761843e-27,9.46396415460722e-26,49.9186798739421
AARD,-1.18535119220486,2.62648314374533,-3.73589236910314,0.000196620537052357,0.000555745163762665,-0.750805317186891
AARS1,-0.139675267447122,5.78915687054351,-2.02746092408714,0.0428552141178188,0.0804695719745251,-5.6280725191307
AARS1P1,-0.0437440377651139,-9.95318203674536,-1.31037073395574,0.190343073562317,0.2980544763853,-6.82024618434235
AARS2,-0.278103704637703,2.45629118283108,-3.97316865582783,7.55245777989285e-05,0.000224577070198576,0.150515721240366
AARSD1,0.2998871395122,5.08223994925943,5.20615826890319,2.29817582623867e-07,8.81931974260883e-07,5.69482295937211
AASDH,0.447351785068315,2.59449520676744,6.13126761133457,1.21215429351377e-09,5.66391383042439e-09,10.7832867923986
AASDHPPT,0.337975748144255,4.27776510365652,5.09681804744047,4.06137575186217e-07,1.52653009296885e-06,5.14547266116643
AASS,0.136051274667582,1.69982872425228,1.25844705569923,0.208496260684245,0.322014930952171,-6.8867577347692
AATF,0.32018554280827,5.19671026590457,5.2959298064005,1.42845229906286e-07,5.57763493107006e-07,6.15415081108547
AATK,0.389162978079673,0.131147952526815,2.85823799689825,0.00434008110916973,0.0100535517291849,-3.61227987020995
ABAT,2.98267640489546,3.19151772746283,21.6258712922211,9.38629342514707e-87,2.078477350331e-84,186.967605280545
ABCA1,0.295072002311242,2.56075430351754,2.790726335749,0.00534961423538675,0.0121810303573106,-3.80136672372702
ABCA10,0.0699876038491039,0.0455617689130333,0.423080873869358,0.672318677721595,0.841519125694012,-7.58770000828017
ABCA4,-0.635630476229745,-0.625216538563957,-3.23026973006958,0.00127323875833484,0.00322191584378562,-2.49055340456125
ABCA5,0.33980235227803,3.01243862639843,3.28006435718088,0.00107026909000485,0.00274060051378603,-2.33020088790941
ABCA6,0.545685210174276,1.64440654328336,4.02787277689143,6.01351694717173e-05,0.000180654079862889,0.36596715033321
ABCA8,0.54581375845992,1.20994013146939,2.72027331128371,0.00662526677547509,0.0148389222824232,-3.9939392880321
ABCA9,0.790762989584323,0.463812707690153,4.88958225565931,1.16023865162271e-06,4.1727958814356e-06,4.13483299987882
ABCB1,0.281398745742515,1.16688905925772,2.18675234117426,0.0289699830665861,0.0572571787211014,-5.29417915293305
ABCB10P3,0.273250814300134,-7.48871913022979,0.970071265103056,0.332223504281096,0.475318914004511,-7.20733014375294
ABCB10P4,0.141572288032679,-7.44521305508572,0.493595872561291,0.621689820295442,0.791358344925406,-7.55542524919099
ABCB11,0.277418260971311,-5.55339337122916,0.994332618336772,0.320278901713524,0.461311700302992,-7.18355001965896
ABCB4,0.805031874128909,-0.43450509137573,7.38368561296207,3.02634368681116e-13,1.85347202806775e-12,18.8971497009821
ABCB6,0.289878748035887,4.16676260186829,3.27070987521796,0.00110594990370532,0.0028258400856958,-2.36050845344832
ABCB7,0.176044971579574,3.77270346775341,3.06905097576503,0.00219980970431292,0.00535435004371364,-2.9931980299705
ABCB8,0.654078940484975,4.02521146306171,10.5735413262651,5.89041001273041e-25,7.37771901903803e-24,45.4998887571134
ABCB9,0.422136210690679,2.14368184863036,4.23311005856765,2.49640825983466e-05,7.85329586201483e-05,1.19975678544295
ABCC1,-0.103101440977907,3.6346109773391,-1.37632037573744,0.169001629187016,0.269505017310498,-6.73190415630972
ABCC10,-0.436674302850359,3.38452529638347,-7.26065229133088,7.25680457554276e-13,4.31209368740428e-12,18.0391342112137
ABCC11,4.9436130856512,1.55588360561977,17.8459310713955,8.78710942401036e-63,7.15694912396982e-61,132.019873219286
ABCC12,4.92139249698544,-4.42189146148962,12.4455265609758,2.28342748601648e-33,4.53867241680583e-32,64.697081397658
ABCC2,-0.192204368057071,-1.93864792087728,-1.20236352907041,0.229480602630244,0.349210684041213,-6.95558575120445
ABCC3,0.790882974993047,2.85970870055556,5.03039132440021,5.70988630150003e-07,2.11562238556222e-06,4.81716133101273
ABCC5,1.27865877225462,4.15272982101596,11.5479316911135,3.33766438682936e-29,5.29987447508636e-28,55.1864065595154
ABCC5-AS1,-0.495797397450897,-9.33023198824186,-2.31169821399103,0.0209777559778731,0.0427334709958916,-5.01476934811017
ABCC6,1.30651318184621,1.43073748476989,7.2386327999079,8.47491343097619e-13,5.01069975568605e-12,17.8869549571458
ABCC8,6.96764227159673,1.1016755674961,28.2599393993813,1.23757421402779e-132,1.75389017612019e-129,292.18643165724
ABCD1,-0.228205430265436,3.0249293718968,-2.55313398763327,0.0108094533120314,0.023318604511471,-4.43134359230175
ABCD1P2,-0.103321284043828,-9.84168242725913,-1.27602633013218,0.202214672998832,0.313629148644536,-6.86453975896148
ABCD2,-1.06493462623415,-1.82693283076914,-5.14710338998047,3.129857590991e-07,1.18679175329831e-06,5.39673770510773
ABCD3,0.969876820465633,5.08576085049274,11.4415130630824,1.00329117893648e-28,1.55056080565843e-27,54.0955259124076
ABCD4,0.495602479993752,4.61290077301224,8.55514570336977,3.88574836873727e-17,3.05174984104985e-16,27.7109413926828
ABCE1,-0.0547780857381124,4.93085160877037,-0.871039151703886,0.383922194014739,0.535368034397016,-7.29831508144798
ABCF1,-0.226761572044491,5.20212868779663,-3.94662315873373,8.42719234462606e-05,0.000249176235985897,0.046998315603382
ABCF2,-0.190987859524061,4.68021917614434,-3.49973735928325,0.000484294398062454,0.00130260394939098,-1.59411287582861
