gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.57599883030728,2.28473817779409,7.0575863426,2.98828416555691e-12,7.94111441857725e-12,16.0572636373202
A1CF,-0.955260850209551,-8.19430522666506,-4.07087030518781,5.01783020249442e-05,9.90151623917446e-05,-0.082213800476115
A2M,-1.23973853002789,7.52472389993973,-14.0599210365451,1.99824986629295e-41,1.09828183459778e-40,82.6362078393076
A2M-AS1,-1.44608125290969,-0.210016114765089,-17.5140970257266,8.62394982783695e-61,7.1829924748813e-60,127.055761980025
A2ML1,-0.721231200535405,-2.28370315947825,-2.87884816186472,0.00406831938758357,0.00710533272054154,-4.17945980120305
A3GALT2,-3.16937368191347,-8.35413025424297,-13.1853933356098,5.66102949444401e-37,2.83191351907026e-36,72.4366858758846
A4GALT,-1.72458270775138,3.41887699567462,-16.7396758228336,3.17331162546922e-56,2.39404697131486e-55,116.576427931145
A4GNT,-2.37820195530731,-6.1179622182017,-9.07724673760239,4.99623482951812e-19,1.61198952769336e-18,31.4352288615977
AA06,-0.149323463687219,-9.89917108661435,-2.23012067263131,0.0259399140516588,0.0419634109856868,-5.8272357914136
AAAS,-0.451943211708531,5.06040768844807,-10.3135959378986,7.12448650963611e-24,2.60395158773857e-23,42.4810840100008
AADAC,-6.75212584671793,-4.12868104214923,-18.6920230995649,5.95148727142629e-68,5.78097858880421e-67,143.497166208449
AADACL2,-4.07575765246748,-7.91094706537851,-15.9085378814652,1.84115347940737e-51,1.25597242407515e-50,105.646704482861
AAMDC,-0.151803191922682,5.81942787005968,-1.81025134997147,0.0705286850870446,0.107882625477992,-6.67255264065671
AAMP,0.1090409305168,6.4793915251019,2.19382085887542,0.0284562274022225,0.0458509072530609,-5.9072001757773
AANAT,-1.67661727188086,-5.4591879569773,-5.79164042887742,9.08152518959167e-09,2.11927177650079e-08,8.21759620137052
AAR2,1.00198046729519,4.96331903256782,21.1088769547605,2.36317971488715e-83,3.13146170354191e-82,178.874081739848
AARD,4.34272271298886,2.62648314374533,14.6708599898805,1.18662093184012e-44,6.96635950540109e-44,90.0311696076234
AARS1,0.494011824953486,5.78915687054351,7.68628498982607,3.33527151201902e-14,9.39804510753228e-14,20.4753796672494
AARS1P1,-6.21724893790088e-14,-9.95318203674536,-1.99627207363302e-12,0.999999999998407,0.99999999999974,-8.30913758873902
AARS2,0.211227665270035,2.45629118283108,3.23464916042849,0.00125405373192617,0.00227472795198485,-3.1006958694566
AARSD1,-0.428604006634046,5.08223994925943,-7.97557326651473,3.7702353077463e-15,1.0923392575157e-14,22.6220926478597
AASDH,0.320751137686239,2.59449520676744,4.71211043761621,2.76419846220539e-06,5.79757593700974e-06,2.68601107926966
AASDHPPT,1.00090088454379,4.27776510365652,16.1789682339044,5.38624447639733e-53,3.79392926041267e-52,109.165485169653
AASS,-4.04364334264432,1.69982872425228,-40.0914103579958,1.3083367323974e-217,2.94313463040254e-215,487.586044098819
AATF,0.77133547195069,5.19671026590457,13.6750827554392,1.92553742060691e-39,1.01144241381917e-38,78.0905151101791
AATK,-1.70598634485568,0.131147952526815,-13.430388580474,3.35686126259091e-38,1.72430002948309e-37,75.2468137255091
ABAT,1.59761410614528,3.19151772746283,12.4161090756088,3.15344906114132e-33,1.44536481547525e-32,63.8611787789947
ABCA1,-1.24685302898043,2.56075430351754,-12.6401046372926,2.66128912174611e-34,1.25218424413632e-33,66.3185734050087
ABCA10,-6.62572930924118,0.0455617689130333,-42.932098220043,1.29747247010366e-237,3.87111154659139e-235,533.591036899258
ABCA4,-0.77745266817971,-0.625216538563957,-4.23500757700025,2.47575666435149e-05,4.96517702500379e-05,0.589148990970411
ABCA5,-2.32719391003258,3.01243862639843,-24.0787929999441,2.65751637838408e-103,5.42294054923819e-102,224.720442713664
ABCA6,-4.61948477653632,1.64440654328336,-36.5488115048224,2.65956574518122e-192,3.6416778493438e-190,429.379566638263
ABCA8,-5.87790705016296,1.20994013146939,-31.400526740053,3.57238179183097e-155,2.20120846755776e-153,343.989614532356
ABCA9,-5.89626659974397,0.463812707690153,-39.0794723471478,2.04472375444295e-210,3.88964094603564e-208,471.040787383471
ABCB1,-2.59600876687617,1.16688905925772,-21.6236874300414,9.70355294347035e-87,1.38418472385367e-85,186.655504380986
ABCB10P3,1.37034507099623,-7.48871913022979,5.21456727684013,2.19872956513002e-07,4.83819507755961e-07,5.12602053769709
ABCB10P4,2.64748690642454,-7.44521305508572,9.89403054580828,3.58150221692455e-22,1.25511991637623e-21,38.599915398689
ABCB11,-4.33164317388274,-5.55339337122916,-16.6416150785097,1.17784128639237e-55,8.76239722349219e-55,115.269374447457
ABCB4,0.319709500116386,-0.43450509137573,3.14312620638725,0.0017161010656322,0.00308656441425718,-3.38997566065892
ABCB6,0.0673438780261,4.16676260186829,0.814460308545098,0.415556994508226,0.54558096495165,-7.97746131237185
ABCB7,0.032216719040993,3.77270346775341,0.602015876000056,0.547287216478576,0.693442506207812,-8.12789941968512
ABCB8,0.439357719390159,4.02521146306171,7.61298053599512,5.73088691370918e-14,1.60462569082459e-13,19.9427127348959
ABCB9,0.586431933775623,2.14368184863036,6.30333982818682,4.20342015672555e-10,1.03233464103829e-09,11.2135510475404
ABCC1,0.516784770716972,3.6346109773391,7.39453158866576,2.80006174518628e-13,7.67998355966324e-13,18.3826679385258
ABCC10,-0.315647142690854,3.38452529638347,-5.6255633975682,2.34252827109274e-08,5.37232958296403e-08,7.29645366598501
ABCC11,3.50584141643391,1.55588360561977,13.5654174475349,6.9639604895583e-39,3.62110614779014e-38,76.8115104408324
ABCC12,2.88061655900836,-4.42189146148962,7.80830705971814,1.34113987584239e-14,3.81851015980681e-14,21.372210657689
ABCC2,-2.1386526187151,-1.93864792087728,-14.3403234306795,6.7822637586362e-43,3.84165635441216e-42,86.0035147498329
ABCC3,-1.49530292132215,2.85970870055556,-10.1944754294911,2.19584799006886e-23,7.93360298668091e-23,41.3655802559207
ABCC5,1.10598867260245,4.15272982101596,10.7064718690257,1.61511884942475e-25,6.1382312507502e-25,46.2354054636247
ABCC5-AS1,0.37728361848224,-9.33023198824186,1.88556279745949,0.0596163466434958,0.092205922146854,-6.53377059648224
ABCC6,-0.159595885707626,1.43073748476989,-0.947786676420523,0.343445530713655,0.46039633572398,-7.86003089056044
ABCC8,0.586443284450667,1.1016755674961,2.54951490782057,0.0109216161361463,0.018391295613292,-5.06765460575975
ABCD1,-0.301840005237411,3.0249293718968,-3.619683430338,0.000308337120042915,0.000581432195495734,-1.79465916145421
ABCD1P2,0.12540107367311,-9.84168242725913,1.6600350332504,0.0971914663237816,0.145218498760214,-6.93256952636266
ABCD2,-3.57389293528867,-1.82693283076914,-18.5151672383697,7.33722357607847e-67,6.93683339027246e-66,140.99213244607
ABCD3,1.44113156715553,5.08576085049274,18.2228654871523,4.5357136774039e-65,4.12316447954895e-64,136.879502710334
ABCD4,-1.67270402118247,4.61290077301224,-30.9498962785212,6.3177979968819e-152,3.54597359254695e-150,336.520962782542
ABCE1,0.797641605563351,4.93085160877037,13.5951743414145,4.91673106538445e-39,2.56270366526769e-38,77.1578338774153
ABCF1,0.437445242667634,5.20212868779663,8.16067450737354,9.01127335487219e-16,2.65808650193046e-15,24.032717820356
ABCF2,0.52356835719277,4.68021917614434,10.2836962616775,9.45991857859236e-24,3.44673204079301e-23,42.2000830111057
ABCF2P1,0.0544587465083204,-8.97913454965332,0.296759228362341,0.766706170835838,0.928816502379407,-8.26509262619569
ABCF2P2,-7.28306304154103e-14,-9.94640486529896,-1.86559381151465e-12,0.999999999998512,0.99999999999974,-8.30913758873902
ABCF3,0.0195157501164234,5.30239334616988,0.450454096695973,0.652471515313799,0.808289013551326,-8.20766090758108
ABCG1,0.780391433892024,4.21827002522324,9.10525055852046,3.93156004578126e-19,1.27166652901545e-18,31.6721448739656
ABCG2,-1.32732523568436,0.452814089753085,-11.5394985558967,3.64288071748469e-29,1.50823562746693e-28,54.5682021427577
ABCG4,-1.55193637395254,-3.80874445864672,-12.3053175862633,1.05823870925263e-32,4.786900410957e-32,62.6579691183362
ABCG5,-0.311830729166701,-5.09154682887028,-1.75985280441067,0.0787097619997211,0.119276598274171,-6.76228539452158
ABCG8,-0.346353485800792,-7.26367806746305,-1.30830731781572,0.19104148272652,0.271453745702111,-7.45370082441055
ABHD1,-0.326085853119178,0.415001867877825,-2.82332999946256,0.00483819008370366,0.00839765215753194,-4.33663786517513
ABHD12,1.30242134834734,5.5006073865448,21.4749707453673,9.30370119246791e-86,1.29839540423097e-84,184.399689496376
ABHD12B,0.716839705540031,-1.5414133068735,2.56921172792838,0.0103234699384545,0.0174140589142149,-5.01752529604355
ABHD13,0.264665625000016,2.33878250670846,4.5022367615404,7.43795387592624e-06,1.5313529792929e-05,1.73705611204691
ABHD14B,-0.297845190293259,5.84425864813463,-5.01238099870859,6.25813766896399e-07,1.35178062863219e-06,4.11578165173516
ABHD16B,-3.85075723347306,-8.9820305680793,-14.8160324008388,1.96873990684155e-45,1.17157178080027e-44,91.8196796867345
ABHD17A,-1.15808964443666,4.77855003634023,-18.4523892401705,1.78431640640533e-66,1.68022140276255e-65,140.105933816324
ABHD17B,-0.1295213628957,2.97686391397326,-1.98610052855856,0.0472692081830955,0.0741613216396357,-6.33974553427765
ABHD17C,2.47018557087992,3.65625519303878,25.3336594780293,5.51690471535336e-112,1.39492548842084e-110,244.680378569021
ABHD18,-0.0288011202281035,2.21755325464242,-0.416416339798944,0.677186338207985,0.835001068872282,-8.2224161437183
