gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.56689820243365,2.28473817779409,6.08680543601738,1.58697618522593e-09,5.54913064323265e-09,10.3090081027015
A1CF,-0.509667381084141,-8.19430522666506,-1.9032764234885,0.0572644428570209,0.102468646991124,-6.09567206015158
A2M,-1.78641208517693,7.52472389993973,-17.753507672422,3.16733949094095e-62,8.94174009275203e-61,130.63857603554
A2M-AS1,-1.52224826235251,-0.210016114765089,-16.1558675385129,7.2933140571273e-53,1.54847710588177e-51,109.172250576696
A2ML1,-1.38739734974192,-2.28370315947825,-4.85282751634883,1.3920149111613e-06,4.01662126050655e-06,3.74273429348533
A3GALT2,-0.0550874308629155,-8.35413025424297,-0.200826908294347,0.840870922884077,0.999999999999669,-7.88299166813008
A4GALT,-0.468861518252185,3.41887699567462,-3.98802017825904,7.10131625997352e-05,0.000179473658557904,-0.011248061468569
A4GNT,-1.87620752212395,-6.1179622182017,-6.27532211062799,5.00338275704196e-10,1.80404377134712e-09,11.4347063965193
AA06,-9.05941988094128e-14,-9.89917108661435,-1.18563343579858e-12,0.999999999999054,0.999999999999669,-7.90314827365155
AAAS,0.304143800700637,5.06040768844807,6.08211959165501,1.63251912629623e-09,5.70415706554983e-09,10.2814357506469
AADAC,-6.10942028484518,-4.12868104214923,-14.8205910867473,1.8604106674698e-45,3.00807073352903e-44,92.2002164394288
AADACL2,-4.81347213311218,-7.91094706537851,-16.4638013405175,1.25553193179788e-54,2.81318553951613e-53,113.21609872912
AAMDC,-0.381139984328859,5.81942787005968,-3.98283421882225,7.25586714570578e-05,0.000183281613383731,-0.0316138698404815
AAMP,0.335010550331914,6.4793915251019,5.90635896549417,4.65252639168398e-09,1.58043154417415e-08,9.26159525273179
AANAT,0.293465117994049,-5.4591879569773,0.888329089699775,0.374557308518268,0.538963890818573,-7.50889629068551
AAR2,0.466992980272909,4.96331903256782,8.62116519077327,2.2678590000542e-17,1.18993327466746e-16,28.0440954822298
AARD,1.31014355641596,2.62648314374533,3.87848484634892,0.000111320731435013,0.000276560155297923,-0.435929310601789
AARS1,0.485790412979404,5.78915687054351,6.62335174553512,5.47406070328661e-11,2.09021657785202e-10,13.5966483423279
AARS1P1,-8.70414851306123e-14,-9.95318203674536,-2.44904919140767e-12,0.999999999998046,0.999999999999669,-7.90314827365155
AARS2,0.219449907817131,2.45629118283108,2.94483881036076,0.00329896738887696,0.00705598639226748,-3.58595309268526
AARSD1,0.068936379977921,5.08223994925943,1.12409728166211,0.261216181071603,0.398166788722426,-7.27198675559938
AASDH,-0.205250825036848,2.59449520676744,-2.64229868040218,0.00835104878764223,0.0169849402150496,-4.42479651434662
AASDHPPT,0.250229277286175,4.27776510365652,3.54443986266293,0.000409916898225666,0.000963966196242286,-1.65986007239891
AASS,-2.28356733038347,1.69982872425228,-19.8400176409231,3.70182582931869e-75,1.5272860452141e-73,160.307032500894
AATF,0.749304226585595,5.19671026590457,11.6411150882239,1.26505463448927e-29,1.1146008256128e-28,55.9739363634987
AATK,0.197958881821533,0.131147952526815,1.3656448177457,0.172328709248682,0.276584650902867,-6.97184763789025
ABAT,0.941303318584103,3.19151772746283,6.41051563743362,2.144993267412e-10,7.91842786813307e-10,12.2616660380832
ABCA1,-1.04851693860617,2.56075430351754,-9.31452251205915,6.43158866185919e-20,3.78130987412854e-19,33.8360966125069
ABCA10,-5.01943047105459,0.0455617689130333,-28.5005085483326,2.37841925163861e-134,6.60920737925928e-132,296.207290981613
ABCA4,-1.20324015025812,-0.625216538563957,-5.74357491303841,1.19772101681222e-08,3.96544848738763e-08,8.34210645008787
ABCA5,-1.66934226124629,3.01243862639843,-15.1355173766406,3.62761686378274e-47,6.25052719678164e-46,96.117549403018
ABCA6,-3.23216216814159,1.64440654328336,-22.4090065164455,5.7417165864882e-92,4.00845356964092e-90,198.888132042112
ABCA8,-5.28301871773599,1.20994013146939,-24.7312524164799,8.42499964496581e-108,1.01616251036983e-105,235.240451422988
ABCA9,-4.46957317016962,0.463812707690153,-25.9589649515602,2.35071596838411e-116,3.84493000345588e-114,254.883292794661
ABCB1,-2.56420556323746,1.16688905925772,-18.7165664172075,4.19577444316668e-68,1.40076596957734e-66,144.121318703117
ABCB10P3,0.956834614675453,-7.48871913022979,3.19061903921462,0.0014597023359178,0.0032552166018296,-2.83868361245638
