gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.00910062787362942,2.28473817779409,0.0964250985367637,0.92320046458658,0.99999999999993,-7.65822093546355
A1CF,-0.445593469125409,-8.19430522666506,-1.64205704514585,0.100863053232696,0.172720056840716,-6.31803338652576
A2M,0.546673555149036,7.52472389993973,5.36123673800854,1.00613677945375e-07,3.59394339972743e-07,6.50633764494547
A2M-AS1,0.0761670094428224,-0.210016114765089,0.797711946377515,0.425209257830112,0.59726107358822,-7.34518463315845
A2ML1,0.666166149206512,-2.28370315947825,2.29938106421888,0.0216693352938957,0.0425638003860139,-5.02893719909186
A3GALT2,-3.11428625105056,-8.35413025424297,-11.2037215721508,1.14042942115662e-27,1.72488428565972e-26,51.6972144490113
A4GALT,-1.25572118949919,3.41887699567462,-10.5399942841899,8.14843115412859e-25,1.01699309833827e-23,45.1895212958038
A4GNT,-0.501994433183358,-6.1179622182017,-1.65687004516083,0.0978299660720459,0.168003184389341,-6.29369082185778
AA06,-0.149323463687129,-9.89917108661435,-1.9284682805641,0.0540531460141113,0.0985071928646544,-5.8088416994464
AAAS,-0.756087012409168,5.06040768844807,-14.9204581812285,5.36905631169025e-46,2.28499297445268e-44,93.5848375950194
AADAC,-0.642705561872745,-4.12868104214923,-1.53855127919539,0.124200506396512,0.207420407335773,-6.48205447863487
AADACL2,0.737714480644696,-7.91094706537851,2.48997139899831,0.0129216176951627,0.0264230814480695,-4.57547527543354
AAMDC,0.229336792406177,5.81942787005968,2.36491669436804,0.0182063658830957,0.0362592210926408,-4.87704132255264
AAMP,-0.225969619815114,6.4793915251019,-3.9313870601747,8.97169655977238e-05,0.000241082449080573,0.00163865248884587
AANAT,-1.97008238987491,-5.4591879569773,-5.88486061280378,5.27847533336625e-09,2.09424838814296e-08,9.36474737533088
AAR2,0.534987487022285,4.96331903256782,9.74616217476524,1.38008571361363e-21,1.38272002356539e-20,37.8358068641845
AARD,3.0325791565729,2.62648314374533,8.85910307043329,3.16343338984303e-18,2.54655938658651e-17,30.1958875159563
AARS1,0.00822141197408133,5.78915687054351,0.11061389524204,0.911942638403203,0.99999999999993,-7.6567539842767
AARS1P1,2.48689957516035e-14,-9.95318203674536,6.90500280209001e-13,0.999999999999449,0.99999999999993,-7.6628639553457
AARS2,-0.00822224254709614,2.45629118283108,-0.108880674920321,0.913316926008247,0.99999999999993,-7.65694395864002
AARSD1,-0.497540386611967,5.08223994925943,-8.00604742140353,2.98454622358182e-15,1.93756248651404e-14,23.4482578581393
AASDH,0.526001962723087,2.59449520676744,6.68218901556722,3.72675847236022e-11,1.76022733112112e-10,14.1946323642229
AASDHPPT,0.750671607257617,4.27776510365652,10.4928599313804,1.28373717734758e-24,1.57652714708578e-23,44.7396479326208
AASS,-1.76007601226085,1.69982872425228,-15.0901672041458,6.41663912111221e-47,2.92871528581006e-45,95.6962861440878
AATF,0.0220312453650946,5.19671026590457,0.337761265318164,0.735607330803294,0.930058621834623,-7.60589747507674
AATK,-1.90394522667722,0.131147952526815,-12.9613910724132,7.25311989262757e-36,1.79862143689095e-34,70.4146391120496
ABAT,0.656310787561175,3.19151772746283,4.41069788996718,1.13115320415851e-05,3.32449257763052e-05,1.96719274693399
ABCA1,-0.198336090374261,2.56075430351754,-1.73868652805509,0.0823687630529621,0.144034809055041,-6.15532203860608
ABCA10,-1.60629883818659,0.0455617689130333,-9.00033981640862,9.6180815296773e-19,8.02752953112996e-18,31.3704415552917
ABCA4,0.425787482078411,-0.625216538563957,2.00565974984415,0.0451362880483938,0.0835680285089604,-5.6577236889769
ABCA5,-0.657851648786288,3.01243862639843,-5.88591851548201,5.24584018536199e-09,2.08217468441255e-08,9.3707760726552
ABCA6,-1.38732260839473,1.64440654328336,-9.49164133876409,1.35290871674263e-20,1.2697630684554e-19,35.5802401397559
ABCA8,-0.594888332426966,1.20994013146939,-2.74810806652474,0.00609171435138048,0.0130775999072581,-3.90444685171574
ABCA9,-1.42669342957434,0.463812707690153,-8.17685651478445,7.94079109585844e-16,5.36912649859284e-15,24.7511369442492
ABCB1,-0.0318032036387081,1.16688905925772,-0.229075480810621,0.818852690149707,0.99999999999993,-7.63665986663117
ABCB10P3,0.413510456320779,-7.48871913022979,1.36068928646485,0.173889691621756,0.279026801365889,-6.73906956224183
ABCB10P4,2.33802833341575,-7.44521305508572,7.5556761021343,8.72241353219405e-14,5.03930063506947e-13,20.1309236730253
ABCB11,-1.40973424136055,-5.55339337122916,-4.68343162112808,3.17200528873612e-06,9.84314844579994e-06,3.18292262988045
