gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,-0.827199512416581,1.70339854603662,-2.98259522437691,0.0033816148460661,0.0153504950667677,-2.50596057868649
A1CF,1.78853525961006,-8.49719739083725,2.44427488517983,0.0157787991023863,0.0539345015880362,-3.88376881530936
A2M,-0.711520156861914,7.30035413516525,-1.46916764009252,0.144068572171102,0.301992760588515,-5.72688778636778
A2M-AS1,-0.34945338067862,-0.382950608503453,-1.07876752967288,0.28257768044581,0.493796656877684,-6.21570031180871
A2ML1,-0.135967108901597,2.2141197439918,-0.138114214104569,0.89035194587629,1,-6.78260642013803
A3GALT2,-0.217147172432425,-8.06783527703071,-0.258697444396373,0.79625504378056,0.998439341089828,-6.75881341640564
A4GALT,-0.915408933717879,2.83220370729485,-2.07389846613251,0.0399518679258994,0.112530631470903,-4.68584384176539
A4GNT,0.688234806525863,-6.55675647200834,0.798900507954024,0.425724113381141,0.662497214761999,-6.47536828505622
AA06,1.169752563084,-9.88164513934644,7.05582378022755,7.6473198739351e-11,4.52516982268928e-09,14.3012574127739
AAAS,-0.501601606932519,4.48275386353561,-3.24870254778554,0.00145680283587003,0.0076381094302442,-1.73623619396217
AADAC,3.63506953848592,-5.1830927329961,3.33646691215867,0.00109105116584117,0.00599549326184608,-1.47000693693889
AADACL2,3.52932389838312,-8.51938250354612,4.33204920076009,2.82801230219646e-05,0.000325709795584951,1.95172855556388
AAMDC,-0.760318049564318,5.42404194501489,-2.93510661670783,0.00390830718920531,0.0173143261911277,-2.63728389091127
AAMP,-0.926411045045937,6.30168273112993,-4.59985635931524,9.48805475266e-06,0.000125844372442393,2.98904221770464
AANAT,0.031106098212403,-4.54706060082014,0.0401255590761712,0.968051152279464,1,-6.79129327597378
AAR2,-0.695316339262371,4.77699119526806,-4.04958333149462,8.52537476697162e-05,0.000838375832104214,0.90908195701835
AARD,-3.35707890073572,4.50612306720489,-4.57217147180073,1.06434271784828e-05,0.000139219642489626,2.87968013473397
AARS1,-0.745098239848674,6.2143586007805,-2.95241984661679,0.00370812893269985,0.0165856409134361,-2.58962111833306
AARS1P1,0.608042124933997,-9.92205596223493,3.76788303273055,0.000243298164728739,0.00166550279579997,-0.0754331803385115
AARS2,-0.494992560768225,2.75437662130439,-2.02516146003189,0.0447837047511143,0.123513605864122,-4.78223581891308
AARSD1,-0.570444692465124,4.78169879798784,-3.17182003499238,0.00186805861426686,0.0094331468666987,-1.96445886242641
AASDH,-0.394876569958957,2.25031331909837,-1.3765036775184,0.170900210882791,0.342162575210979,-5.85612450629497
AASDHPPT,-0.566074430212417,4.21546591852245,-2.394571430278,0.017986219194017,0.0597797135125725,-3.99846028645231
AASS,0.430610208477266,0.391507058665756,1.09559556468803,0.275168589192876,0.484768925822742,-6.19765676170731
AATF,-0.701858312233947,5.22793372802511,-3.83039621831197,0.000193671064046021,0.00166550279579997,0.138137158568355
AATK,-0.0576342337280094,-0.480050998913007,-0.188819182141847,0.850512584265579,1,-6.7743624264882
ABAT,0.56404031691473,0.747898595104567,1.56545443840313,0.119771965343527,0.262939864123378,-5.58396952428415
ABCA1,0.450507904550357,1.97148893518878,1.2474853662171,0.21433729461069,0.403558939713391,-6.02240931472289
ABCA10,-0.491855536283774,-2.06792249968245,-0.800721037847465,0.42467274262301,0.661369462467395,-6.47392652765812
ABCA4,-0.424506417955117,-0.497198169603597,-0.531351542217036,0.596031399571674,0.832564288514974,-6.65180349097226
ABCA5,-0.367824238573248,2.15901379355532,-0.962816770782516,0.33732746731261,0.560906355362468,-6.33255078151865
ABCA6,0.352239241368298,-0.211710210174273,0.730681036233955,0.466215589874602,0.704768782901638,-6.5270490156034
ABCA8,0.544330650575638,-1.31727052929326,0.761159893205472,0.44786329443317,0.685730186766086,-6.50452413702871
ABCA9,0.636215691144053,-2.04442288541767,0.993394669650742,0.322260333937296,0.542264471951383,-6.30300514640145
ABCB1,-0.24548677003605,-0.0692857249091799,-0.570083751849916,0.569549999271695,0.808500284437168,-6.63063071311502
ABCB10P3,0.849351750510278,-7.24125602263351,1.05090275262679,0.29514431222477,0.509629630563441,-6.24497392789128
ABCB10P4,0.723338069407014,-7.07375353803272,0.832475317639481,0.406582376693403,0.641729083695168,-6.44825623872161
ABCB11,1.12349551116079,-7.13737763597136,1.36256016113011,0.175245840938788,0.348353188552423,-5.87486323023311
ABCB4,0.201695712931777,-1.07400114496224,0.571887216906636,0.568330914346919,0.807295351120029,-6.6296087431613
ABCB6,-0.549556002737094,4.12021708529748,-1.84143436874774,0.0677100567012594,0.170237064284654,-5.12612108919133
ABCB7,-0.566408644199853,3.59292482008712,-2.45048820609673,0.0155205214869211,0.0531939130623084,-3.86927965783961
ABCB8,0.0157344217845274,3.66189553868173,0.0725264215696508,0.942288234104805,1,-6.78947776174656
ABCB9,-0.621026704326881,2.16491639347601,-1.82949548131879,0.0694888463302481,0.173501749505334,-5.14739390092433
ABCC1,-0.272937516433798,3.8686649826446,-0.959280293932039,0.339099125226553,0.562951302807285,-6.33590909839556
ABCC10,-0.535446916639355,3.75900034451705,-2.60969042038343,0.0100647650192796,0.0376253890406833,-3.48660847281499
ABCC11,1.66161866904169,-2.35931412731784,2.3577439734657,0.0197939583036929,0.064598728170394,-4.08204306935515
ABCC12,2.20843497140782,-8.27011280948545,2.57308141613879,0.0111381824310099,0.0407776598843381,-3.57654178952762
ABCC2,1.61400089525657,-2.35570188194295,2.69322040670075,0.00795618235375335,0.0310577100447301,-3.27711770694168
ABCC3,1.15987175903104,1.68586494167364,2.61077635652856,0.0100343969589773,0.0375415717271981,-3.48392321119886
ABCC5,-0.820991855608046,3.59251258191209,-3.32189790409183,0.00114513033186352,0.00623584517316804,-1.51461934869841
ABCC5-AS1,1.58533189384927,-8.84140781088249,1.99739036135583,0.0477536194701932,0.129660053476287,-4.83619625936473
ABCC6,-0.484001888030384,0.120237859820468,-0.921962958402373,0.3581606699353,0.586450391118568,-6.37060301100177
ABCC8,1.77405384437931,-4.82281518826338,1.43274583993006,0.15419717282471,0.31746674413769,-5.77865889848555
ABCD1,-0.888748200269402,3.24721011776546,-2.59107284546146,0.0105984313460583,0.039161054271571,-3.53248803284935
ABCD1P2,0.304397576647919,-9.71253965345623,0.89218319899647,0.373851401490967,0.60438847637037,-6.39731389700595
ABCD2,-0.815950415306907,-2.16415495709921,-1.36529504141763,0.174386982490542,0.347021797920419,-5.87120245049561
ABCD3,-0.353738382233295,4.55630390870108,-1.38506429803798,0.168272928883546,0.338216415847058,-5.84452794776443
ABCD4,-0.211285850304139,3.76892981167295,-1.08515476890011,0.279749548592227,0.490426843474647,-6.20888403204511
ABCE1,-0.468138773695093,5.23237443990482,-1.96805351843111,0.051071108677822,0.136639560540323,-4.89243556439293
ABCF1,-0.633694469559686,5.58776938454453,-2.66424537204075,0.00863744160400681,0.0331778892565346,-3.35045993439137
ABCF2,-0.618005401113061,5.0016081720241,-2.95888585498326,0.00363581651757401,0.0163111084796008,-2.57175717382617
ABCF2P1,1.14957746768498,-8.72720821296559,1.92274743938255,0.0565766577101979,0.148158115242119,-4.97774261077535
ABCF2P2,0.777478393032002,-9.90986630265954,3.76789783837779,0.000243285096154537,0.00166550279579997,-0.075382934855047
ABCF3,-0.703020054037906,5.25116952932302,-3.8316732233484,0.000192765323345438,0.00166374553133468,0.142529453362535
ABCG1,-0.361822435409482,3.08995332989358,-0.948902889215499,0.344332629315876,0.569713621232222,-6.34569332604631
ABCG2,0.149591078378697,-1.0815396023028,0.350393781684497,0.726578691935115,0.946214167586299,-6.73105167041398
ABCG4,0.114320715512403,-3.92917393770504,0.246500935771713,0.805661622524685,1,-6.76187685283571
ABCG5,0.246493705888409,-5.20446121350755,0.405464432870313,0.685765532705665,0.912422581749489,-6.71036848213328
ABCG8,0.780415889854503,-7.03990303396841,0.912166814989294,0.363275331533563,0.591885660788453,-6.37948525698403
ABHD1,0.392420785108265,-0.680435730701597,0.9817425291568,0.327948719701755,0.549080188506501,-6.31437132600456
ABHD12,-0.382287912665038,5.46477789262518,-1.85712022241085,0.0654307156633572,0.16584978844852,-5.09797186648681
ABHD12B,0.243761084561244,-3.43164075070637,0.252892894828783,0.800728172877984,1,-6.76028979303061
ABHD13,-0.63539300065172,2.28792858341193,-2.50557722168391,0.013390116048832,0.0472138590796663,-3.73934483670031
ABHD14B,-0.634272201786977,4.97608053425324,-2.57310798079901,0.0111373676081955,0.0407776598843381,-3.57647694856073
ABHD16B,0.37628465116279,-9.18503381294961,0.440658885433395,0.66015107699849,0.889575074947475,-6.69557566339421
ABHD17A,-0.593736561553923,4.38522389914647,-2.30463283051976,0.022683083610692,0.072069198729005,-4.20047857980052
ABHD17B,-0.347585255947876,3.12155588198245,-1.34241054641958,0.181672193463229,0.35764110650936,-5.9016142859893
ABHD17C,-0.820219308157947,3.98131854846223,-2.5477090900435,0.0119413157303256,0.0431715118699426,-3.63819491140671
ABHD18,-0.343035440671728,1.76380723783021,-1.29820945719583,0.196385838390439,0.378355098106213,-5.95893616783301
ABHD2,-0.411433315151364,3.85481831038173,-1.12466708335835,0.262687051259815,0.468748538208776,-6.1658390825844
ABHD4,-0.407516486313737,3.64111405011741,-1.62856733766083,0.105690746339579,0.238663042881535,-5.48554634571013
ABHD5,-0.588333167423115,4.15611573331238,-2.65453745170486,0.00887721948725293,0.0339379429655647,-3.37487306041709
ABHD6,0.0778787022823431,1.26867410216632,0.259670562623216,0.795505792416039,0.997834250297771,-6.75856262967482
ABHD8,-0.446448402901064,2.6877496269175,-1.41973922823942,0.157943894291439,0.323115246466731,-5.79684140791413
ABI1,-0.380716606760846,5.40998783544022,-1.46279918785313,0.145801397962192,0.304498164189905,-5.7360309754502
ABI3,-0.913522132586773,2.52970766543768,-2.51972334288142,0.012887038730932,0.0457961667238638,-3.70555416231464
ABI3BP,0.204060888879309,2.05508529065051,0.315527992248242,0.752838567752927,0.968609004284565,-6.74259106678182
ABITRAM,-0.634781173157489,3.63158810365439,-3.02842498597938,0.0029360322993331,0.0136558745474725,-2.37747339599485
ABL1,-0.188737060052032,4.34410629036489,-0.873619223077413,0.383846869892248,0.616486609260305,-6.41352623851411
ABL2,-0.0514511902212171,2.89918994839187,-0.202342853731237,0.839947391648311,1,-6.77173189044895
ABLIM1,0.0474639294329613,4.49759529133727,0.148636144383403,0.882058231776565,1,-6.78110587561843
ABLIM2,-0.831233017941468,0.959895187488456,-1.8885541764445,0.0610552568858376,0.157194132180233,-5.04087905236127
ABLIM3,0.424769512881652,0.527534926753518,0.936730820415088,0.350537255513204,0.577719965709167,-6.35703578689123
ABO,-0.140243523446806,-1.48249256289367,-0.196465481967692,0.844535549643946,1,-6.77289745311826
ABR,-0.0405104310899143,4.19142821615605,-0.135670840159109,0.892279660698069,1,-6.78293912186532
ABRACL,-0.620495613868466,6.79722746963971,-2.17259647644083,0.0315223095842621,0.0933223671251644,-4.48406352616166
ABRAXAS1,-0.208104736511086,1.96008580056331,-0.766345132805675,0.444782918310183,0.682562373393818,-6.5006012315976
ABRAXAS2,-0.578387948994953,3.39461261200137,-2.71578628095167,0.00745972593634482,0.0295222663976205,-3.21950483608047
ABTB1,-0.701008497480953,3.27919098980813,-2.5434506084599,0.0120810881158558,0.0434882348940585,-3.64848835050781
ABTB3,0.650747356679799,-0.46818441859813,1.37012637203954,0.172877527439557,0.345170515479487,-5.86471801180314
ACAA2P1,-0.241462847427721,-3.49713189298878,-0.367343525530341,0.713926830150232,0.935142099501549,-6.72500616540247
ACACA,0.342439519000465,4.35056849475827,1.46905891942869,0.144098020042034,0.302027233607293,-5.72704419952066
ACACB,-0.637773534393025,1.07142941501495,-1.58578096408143,0.115083138726219,0.254976665680916,-5.55267985237103
ACAD10,-0.180312923977388,3.13733404874626,-0.984426342948812,0.32663272237606,0.547556061215227,-6.31176509531554
ACAD11,-0.372732015774683,2.14184366179525,-1.59408180671764,0.113210816379562,0.25157408811138,-5.53979006673962
ACAD8,-0.338175666679644,3.44044910992043,-1.5555286613888,0.12211592800238,0.266735897999827,-5.59910729903978
ACAD9,-0.754105381220402,4.80314626391309,-3.5735952713767,0.000486001824323896,0.00300572457094403,-0.720858000847913
ACADM,-0.45993255152145,5.12438652102712,-1.55166995319135,0.123036884688281,0.268302242172219,-5.60496712194153
