gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.210775990396157,1.75840303030303,0.798576296161001,0.427460673222832,0.968756348225293,-6.13305107920853
A1CF,0.827943817527016,-7.47460909090909,1.18709352938794,0.239535259094375,0.809793130864133,-5.75708951984367
A2M,0.00469975990395444,7.02821666666667,0.0213918746717867,0.982998956318189,0.999999999964166,-6.4470630300491
A2M-AS1,0.537764585834334,-1.01793181818182,2.54806306659516,0.0132190065053696,0.205097508277932,-3.38705356299739
A2ML1,-2.3334087635054,-0.245956060606061,-2.85420669442373,0.00579162563748192,0.119998418909932,-2.65332460069579
A3GALT2,0.0407021608643543,-9.4131712121212,0.0873809656346848,0.930638847585893,0.999999999964166,-6.44350853624846
A4GALT,0.192462545018005,2.24552878787879,0.85722105816454,0.394489965549493,0.954553269653043,-6.08547932084393
A4GNT,0.360750420168073,-7.04676515151515,0.526609508314951,0.600267354506744,0.999999999964166,-6.31025276749983
AA06,-0.248575510204072,-9.78125151515151,-0.83964344179425,0.404203276448286,0.954553269653043,-6.10008395609763
AAAS,0.226309843937571,4.72834090909091,2.26274755066993,0.0270185323754901,0.307308700501963,-4.00942915452922
AADAC,-3.66072785114045,-3.88150454545454,-4.0242493246154,0.000152401341859464,0.00678971890194836,0.688501920813438
AADACL2,-0.999879591836729,-9.22346515151514,-1.92868522680777,0.0581636489464409,0.465478380918847,-4.65740914330769
AAMDC,0.571841296518603,5.68553939393939,2.06077033928023,0.043353534826865,0.399483937299305,-4.411964953894
AAMP,0.0625444177671017,6.41847727272727,0.375513098224522,0.708508439559977,0.999999999964166,-6.37753419183956
AANAT,-0.603770948379347,-5.51565757575758,-0.734311512430372,0.465414488754334,0.996203134873411,-6.18138623702727
AAR2,0.0937122448979544,5.02162575757576,0.672979178402187,0.503359612026224,0.999999999964166,-6.22379777675547
AARD,0.968696398559421,2.10950454545455,1.08490031833028,0.281995765340503,0.867377967749455,-5.86976417331525
AARS1,0.182091116446571,6.10302878787879,0.86674825243295,0.389286182665275,0.954553269653043,-6.07743997618395
AARS1P1,1.06581410364015e-14,-9.96579999999999,4.50859084949443e-11,0.999999999964166,0.999999999964166,-6.44728965572837
AARS2,0.0251848739495779,2.42127272727273,0.165664362541737,0.868938172264254,0.999999999964166,-6.43370099247164
AARSD1,-0.00601056422569535,4.45992121212121,-0.0350573855039212,0.972142023435183,0.999999999964166,-6.44668100545548
AASDH,0.330876230492195,2.36583181818182,1.50169397808419,0.138045939539062,0.652237724669974,-5.34999714656435
AASDHPPT,0.193294597839133,4.39047575757576,1.01666588225601,0.313102906467397,0.886838091427191,-5.93955739839858
AASS,0.0298230492196875,0.319793939393939,0.125195878319805,0.900757057139077,0.999999999964166,-6.43952827268055
AATF,-0.151233013205287,5.24413787878788,-0.526329100156155,0.6004610251714,0.999999999964166,-6.31039834777222
AATK,0.341328211284515,-0.938851515151515,1.01150185681934,0.31554786829967,0.888037477874723,-5.94466103703594
ABAT,0.942168187274907,2.23324090909091,2.86490716774467,0.00562107987271639,0.117063841228709,-2.62650453949366
ABCA1,-0.112623289315728,2.11348484848485,-0.372179278044355,0.71097685015266,0.999999999964166,-6.37876592589199
ABCA10,-1.60081464585834,-2.45535757575758,-4.13803034687565,0.000103309343854598,0.00481070871040887,1.05188458720266
ABCA4,0.334827611044419,-1.27976060606061,0.702378495123159,0.484964981089918,0.999999999964166,-6.20392217221668
ABCA5,-0.598091596638657,1.84713181818182,-2.15492851238189,0.0348985000489612,0.35302037308628,-4.22834420349112
ABCA6,-0.70012424969988,0.341983333333333,-2.87363731759291,0.00548538445790542,0.115168694129534,-2.60456585830354
ABCA8,-1.21243181272509,-0.779031818181818,-2.78843571393228,0.00694905727324432,0.135167384501305,-2.81646918509153
ABCA9,-0.665856662665065,-1.18926363636364,-2.1656864001577,0.0340308192728662,0.348975955669363,-4.20691345642199
ABCB1,-1.35404141656663,0.271437878787879,-5.02127147330721,4.29365562974904e-06,0.000319420932203692,4.04805791327972
ABCB10P3,-0.516889555822321,-7.49275454545455,-0.754540252274945,0.453265260422128,0.987042911908788,-6.16660082805425
ABCB10P4,-1.05354885954381,-7.40957272727273,-1.42169885488825,0.159921050926686,0.6948953345801,-5.46201231100467
ABCB11,0.338917767106848,-5.93325606060606,0.480905332177567,0.632207681784846,0.999999999964166,-6.33296569143677
ABCB4,0.00248175270108075,-0.372695454545455,0.0105210282994694,0.991637994962783,0.999999999964166,-6.44723483699465
ABCB6,-0.0997115246098454,4.54831060606061,-0.371786055502844,0.711268203240413,0.999999999964166,-6.37891048734233
ABCB7,0.38694933973589,3.62616060606061,2.88356373428049,0.00533477404714212,0.112758266660847,-2.57955879721528
ABCB8,0.0883451380552196,3.95120454545455,0.507817142404803,0.613310166138544,0.999999999964166,-6.31983916921066
ABCB9,0.270793037214883,2.63032727272727,1.12649605866049,0.264120585227873,0.843106842840058,-5.82507671118617
ABCC1,0.101653541416563,3.71991818181818,0.535894355806695,0.5938709460185,0.999999999964166,-6.30538892730015
ABCC10,-0.198402761104445,3.47771666666667,-1.28462488002962,0.203508318721104,0.765120014037801,-5.64053066893063
ABCC11,-0.0158128451380595,4.55900454545455,-0.0232384551450848,0.981531656905501,0.999999999964166,-6.44702221616716
ABCC12,-0.904835294117646,-0.544263636363637,-0.967609100519577,0.33684632690451,0.910101898292515,-5.98702346093862
ABCC2,0.345656662665066,-0.00481212121212122,0.503254147847899,0.616496322367257,0.999999999964166,-6.32211473113256
ABCC3,0.469013445378148,3.48826363636364,0.899366586215487,0.371795840716657,0.949743627393676,-6.04925907364092
ABCC5,0.482027490996396,3.87730757575758,1.31412645613011,0.193448326292833,0.749876827194209,-5.60355264041952
ABCC5-AS1,-0.163778151260496,-9.09964242424242,-0.263523456342943,0.79298544559,0.999999999964166,-6.41291703695268
ABCC6,0.0467081632653048,1.53202272727273,0.100689490716589,0.920108629869156,0.999999999964166,-6.44226916238956
ABCC8,1.41437010804322,0.762119696969697,2.04016325767264,0.0454241709492139,0.408471669220977,-4.45119763304991
ABCD1,-0.140034693877554,3.57276515151515,-0.483600446612365,0.630303770363138,0.999999999964166,-6.33168307516519
ABCD1P2,-0.113668187274904,-9.62303939393938,-0.366344646466805,0.715304358149087,0.999999999964166,-6.38089530601465
ABCD2,-2.90215882352941,-2.89772575757576,-6.53651000642676,1.15773555350121e-08,2.90396960428658e-06,9.6760017258424
ABCD3,0.463377070828325,4.74238939393939,2.35940800844123,0.0213357668122973,0.268535068618009,-3.80547645625359
ABCD4,-0.151093637454986,4.0924696969697,-1.14910796598328,0.254745932899177,0.831073773487976,-5.80010665391392
ABCE1,0.0293078031212444,5.0642,0.143808705080523,0.88609895095342,0.999999999964166,-6.4370493676216
ABCF1,0.107838535414161,5.32894393939394,0.679033564496165,0.499540903694219,0.999999999964166,-6.21977312254451
ABCF2,0.219813445378148,4.69357575757576,1.51345935024152,0.135037688077199,0.646647783554678,-5.33304036074698
ABCF2P1,-1.00480180072028,-9.01631666666666,-2.13301781043026,0.0367256641391761,0.36372352607894,-4.27170749649173
ABCF2P2,1.06581410364015e-14,-9.96579999999999,4.50859084949443e-11,0.999999999964166,0.999999999964166,-6.44728965572837
ABCF3,0.0523951980792274,5.26881818181818,0.325969515334042,0.745500430750882,0.999999999964166,-6.39471196988343
ABCG1,0.199654861944775,4.24697727272727,0.734293944050688,0.465425120091998,0.996203134873411,-6.18139890633254
ABCG2,-0.329279351740696,-0.544240909090909,-0.956081331576206,0.342593452547475,0.916254842329273,-5.99784697344337
ABCG4,-0.204251380552217,-4.2251,-0.562561147027971,0.57567976760678,0.999999999964166,-6.29095139246532
ABCG5,0.732267947178875,-5.03181818181818,1.36212388777785,0.17788696887295,0.722986582852772,-5.54169538606262
ABCG8,-0.431448859543813,-6.62953484848485,-0.564159490357672,0.574598038862941,0.999999999964166,-6.29006399210856
ABHD1,0.815393517406963,-0.641809090909091,2.15965185058867,0.0345151851086087,0.350321340622042,-4.21894618534536
ABHD12,0.119424249699875,5.70904242424242,0.80566890418884,0.42338787119414,0.966279108352109,-6.12747303989967
ABHD12B,2.14949783913566,-3.25558636363636,2.68954125297034,0.00909349315215728,0.161132951163558,-3.05616667289772
ABHD13,0.0510189675870327,2.17525757575758,0.28707522674776,0.774973019972888,0.999999999964166,-6.40650273636561
ABHD14B,0.0367092436974721,5.4973696969697,0.178904221931479,0.858572509554101,0.999999999964166,-6.4314427661961
ABHD16B,0.0964012004801997,-9.49869999999999,0.15771583131648,0.875172396712277,0.999999999964166,-6.43497342055971
ABHD17A,0.061929291716682,4.50830454545455,0.338093929029487,0.736388096133972,0.999999999964166,-6.39073158811228
ABHD17B,0.326045858343335,2.96271212121212,1.6155627995764,0.111060026498194,0.592375873365605,-5.18074083061518
ABHD17C,0.747171788715483,3.90362272727273,2.78432168924788,0.00702808834984994,0.136254539116379,-2.82657577433902
ABHD18,0.0591627851140437,2.08488787878788,0.277673336789699,0.782149355349184,0.999999999964166,-6.40912897719667
ABHD2,0.521728451380546,3.98930909090909,2.54491967096705,0.01332740470338,0.205747254309697,-3.39424130178489
