gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
A1BG-AS1,0.103837210314441,2.507246875,1.09345631250675,0.275573273436106,0.641143929664104,-6.23259649015944
A1CF,-0.287518583396807,-8.31523906249998,-0.910436989313607,0.363741808685501,0.714028862884571,-6.41382747392111
A2M,-0.544872266347511,6.877684375,-5.26753061189865,3.71440836744084e-07,1.14187842480199e-05,6.03416503599813
A2M-AS1,0.0232027309324331,-0.713111979166666,0.16699112689612,0.867554027486222,0.999999999972149,-6.81087236726151
A2ML1,-1.67695958002394,-3.27870885416667,-4.12219885934922,5.59489578071978e-05,0.00108841266992945,1.25788559500015
A3GALT2,0.220784822108575,-8.96375468749997,0.758727207051708,0.448952801911249,0.806423570770201,-6.53916603172736
A4GALT,-0.271381318681316,3.1127234375,-1.66470753045139,0.0976138002967523,0.35955611204427,-5.45797490112409
A4GNT,0.238646327929491,-6.84634999999999,0.638469195212293,0.523934572347675,0.87404390938215,-6.62242430111404
AA06,5.32907051820075e-15,-9.96579999999996,3.49513848736134e-11,0.999999999972149,0.999999999972149,-6.82472531221057
AAAS,0.0651338592101043,5.16364114583334,1.16174610436561,0.246791074077373,0.613815918186122,-6.15659788746099
AADAC,-2.0078260363399,-6.33806718749998,-4.5253759399391,1.05925880979859e-05,0.000247108079875978,2.83324972450509
AADACL2,-0.487496616255036,-9.4234677083333,-2.14105636869867,0.0335393792053278,0.177693632796374,-4.57456517203554
AAMDC,0.501286900228491,5.71929010416666,3.64100820876966,0.000349797572409194,0.00520472153879498,-0.460029856225725
AAMP,0.0470550212164174,6.5552671875,0.592252197263322,0.554383509972582,0.898527344845773,-6.65062604208908
AANAT,-0.521956696768584,-5.71420833333332,-1.25596931899747,0.210664169953716,0.560135436678243,-6.04429509037692
AAR2,-0.0479681536285419,5.33801510416667,-0.60745186497014,0.544273963427935,0.891213242022032,-6.64158398798779
AARD,0.155169687738009,3.320771875,0.377013228554361,0.706583112111822,0.999999999972149,-6.75413633388149
AARS1,-0.174323229245993,6.07468333333333,-1.70846936598709,0.0891768885348267,0.339051606791566,-5.38572893802151
AARS1P1,5.32907051820075e-15,-9.96579999999996,3.49513848736134e-11,0.999999999972149,0.999999999972149,-6.82472531221057
AARS2,-0.0617814383636142,2.47627291666667,-0.647738434830674,0.517933454959628,0.869274386983402,-6.6165142598859
AARSD1,0.202211456859979,5.0815859375,2.27272162796364,0.0241586513703151,0.141653457683122,-4.29313194112151
AASDH,0.0155802741812678,2.69766510416667,0.177361939541607,0.859412406515054,0.999999999972149,-6.80909843996097
AASDHPPT,-0.160092786421497,4.55344166666667,-1.58753883298762,0.114047864681977,0.39816546620389,-5.58093279364809
AASS,-0.133486932869111,0.527558333333333,-0.883844712171006,0.377893333172569,0.729708499860002,-6.43743129210117
AATF,-0.0260549776955674,5.54811927083333,-0.293996378615836,0.769080519788245,0.999999999972149,-6.78179423019216
AATK,0.65109308018714,-0.0908880208333334,3.0481464720325,0.00262952119118789,0.0266658850243398,-2.31901575317838
ABAT,0.0458227396366051,3.730575,0.203753346129818,0.838763590079562,0.999999999972149,-6.80410244170829
ABCA1,-0.377209803068216,2.2665609375,-3.02384882748102,0.00283948132189294,0.0282890188357587,-2.38889262789691
ABCA10,-0.416046839299318,-1.99793489583333,-1.88937233460168,0.0603599165852429,0.265000228576847,-5.06785030918151
ABCA4,-0.860590893265153,-1.13282864583333,-2.95406842233949,0.00353119469625429,0.0333183030860957,-2.58674570498068
ABCA5,0.243451430747474,2.49881614583333,1.44808518967652,0.149235879179131,0.459277064001443,-5.78869993866036
ABCA6,-0.928570471113045,0.333975,-6.27524204994685,2.29597536139286e-09,9.47265293206976e-08,10.9389550516375
ABCA8,-0.933383342400175,-0.771456770833333,-4.03035967110007,8.04302573445274e-05,0.00149391560561814,0.916084300604494
ABCA9,-0.852244162767927,-1.25365989583333,-4.50778045375796,1.14175688344192e-05,0.000264827799544007,2.76200706184865
ABCB1,-0.86145173539332,0.212113020833333,-6.62576970414147,3.44062013456737e-10,1.59517167196715e-08,12.7782535374438
ABCB10P3,-0.160896333369609,-6.96800520833332,-0.436988409697472,0.662614337368086,0.985156812093868,-6.72990369829841
ABCB10P4,0.303755369383085,-6.93218124999998,0.771662007733322,0.44127011191429,0.798121374009229,-6.52936206793027
ABCB11,-0.536405157219027,-6.85995937499999,-1.49610985723878,0.136278707749469,0.437500311139443,-5.7192533453782
ABCB4,-0.242039984767708,-0.268969270833333,-1.873073776146,0.0625888621673008,0.271298166274656,-5.09775402152091
