contrast,collection,pathway,NES,pval,padj,size,leadingEdge
Basal_vs_GTEx,Hallmark,HALLMARK_E2F_TARGETS,3.1548571683408,3.26472521892178e-49,7.01915922068183e-47,158,KIF4A;CDCA8;MELK;UBE2T;CCNB2;CDC20;MKI67;DLGAP5;CKS2;PTTG1;KIF2C;MYBL2;DEPDC1;RRM2;HMMR;GINS1;TOP2A;CDC25A;DIAPH3;STMN1;CENPE;CDK1;CHEK1;PLK1;KPNA2;TRIP13;LMNB1;JPT1;RAD51AP1;MAD2L1;CCNE1;TK1;KIF18B;SPC24;SPC25;CDKN3;MCM2;PCNA;E2F8;RACGAP1;MSH2;RNASEH2A;PLK4;EZH2;ATAD2;TACC3;DSCC1;H2AZ1;SMC4;RFC2;PAICS;ESPL1;CSE1L;NCAPD2;RAN;MCM6;HELLS;TCF19;ASF1A;H2AX;PRDX4;DCLRE1B;RANBP1;BRCA2;CTPS1;SYNCRIP;PRKDC;NUP205;TIMELESS;CHEK2;RAD21;POLA2;TIPIN;DCTPP1;NBN;PHF5A;SSRP1;RFC3;RPA3;NOLC1;UNG;MMS22L;SLBP;CDK4;MTHFD2;GINS3;RAD1;DEK;PPP1R8;GSPT1;TUBG1;CNOT9;DONSON;AK2;XRCC6;XPO1;SMC6;MCM7;SMC1A;CBX5;SNRPB;BRCA1;NUDT21;DCK;LYAR;HMGB2;RPA1;SMC3;LIG1;ZW10;PA2G4;POLD1;TFRC
Basal_vs_GTEx,Hallmark,HALLMARK_G2M_CHECKPOINT,2.94874997975774,1.48514827616484e-34,1.5965343968772e-32,152,TPX2;CENPF;KIF4A;BUB1;KIF11;NDC80;UBE2C;CCNB2;TTK;CDC20;MKI67;CKS2;PTTG1;KIF2C;MYBL2;EXO1;NEK2;HMMR;TOP2A;NUSAP1;CDC25A;PBK;STMN1;CENPE;CDK1;CHEK1;PLK1;KPNA2;LMNB1;E2F2;JPT1;CENPA;MAD2L1;KNL1;CCNA2;KIF23;TROAP;CDKN3;MCM2;POLQ;RAD54L;CDC6;RACGAP1;SNRPD1;CCNF;PLK4;EZH2;TACC3;DBF4;H2AZ1;SMC4;GINS2;ESPL1;MCM6;SQLE;KIF20B;UCK2;INCENP;H2AX;CDC7;TFDP1;DKC1;BRCA2;RBL1;SMC2;SYNCRIP;NCL;RAD21;POLA2;SMARCC1;NOLC1;CHAF1A;CDK4;CBX1;TRAIP;AMD1;DTYMK;G3BP1;H2BC12;GSPT1;SLC7A1;XPO1;SMC1A
Basal_vs_GTEx,Hallmark,HALLMARK_MYC_TARGETS_V1,2.90737666569354,3.27544212475712e-34,2.34740018940927e-32,158,CDC20;KPNA2;MAD2L1;CCNA2;EPRS1;TYMS;MCM2;PCNA;ILF2;SNRPD1;PSMB2;HDGF;PSMD14;SRPK1;H2AZ1;HPRT1;RFC4;LSM2;RAN;MCM6;SET;CCT5;PPIA;MRPL9;PABPC1;PRPS2;PRDX4;PPM1G;TFDP1;RRM1;RANBP1;GLO1;SNRPD3;HDAC2;CTPS1;HNRNPC;SYNCRIP;HSPD1;CSTF2;CCT7;HNRNPA3;SERBP1;YWHAQ;ERH;HSPE1;VBP1;PSMA4;KARS1;SMARCC1;NOLC1;PSMA2;CDK4;HSP90AB1;C1QBP;NCBP2;PGK1;PSMC4;PSMD1;YWHAE;G3BP1;ACP1;DEK;GSPT1;NPM1;VDAC3;CLNS1A;XPOT;XRCC6;XPO1;MCM7;AIMP2;RUVBL2;EIF4G2;UBE2L3;PSMB3;CANX;SNRPD2;TXNL4A;EIF2S2;TRIM28;CCT2;HNRNPR;PA2G4;EIF3J;ABCE1;PTGES3;CYC1;RSL1D1;CAD;FBL;COPS5;RNPS1;GOT2;LDHA;PHB1;UBE2E1;SNRPA1;NDUFAB1;EIF3B;PWP1;TUFM;EIF2S1;UBA2;SNRPA;FAM120A;EIF4E;HNRNPA2B1;NOP16;APEX1
Basal_vs_GTEx,Hallmark,HALLMARK_MTORC1_SIGNALING,2.65213621333708,2.12363907499448e-24,1.14145600280953e-22,166,BUB1;RRM2;CDC25A;PLK1;GMPS;EPRS1;MCM2;RPN1;CALR;CCNF;PSMD14;GAPDH;HPRT1;CACYBP;SQLE;UCHL5;SSR1;PPIA;CCT6A;PRDX1;SRD5A1;TPI1;TMEM97;ACTR3;HSPA4;HSPD1;DHCR7;PSPH;HSPE1;NUP205;ENO1;SHMT2;PSMA4;TOMM40;PNO1;DHFR;UNG;PSMD12;PSMB5;HSPA5;PGK1;PSMC4;MTHFD2;PSMC2;YKT6;GSK3B;CYP51A1;PHGDH;DAPP1;SLC2A1;GOT1;HSP90B1;POLR3G;TUBG1;HMBS;IMMT;EEF1E1;SLC7A11;RDH11;GPI;RIT1;ATP6V1D;CANX;ARPC5L;ACSL3;CD9;EIF2S2;RPA1;CTSC;SERPINH1;TFRC;ABCF2;WARS1;P4HA1;SORD;COPS5;TRIB3;ATP5MC1;ASNS;SERP1;ITGB2;TES;LDHA;NUFIP1;PSME3;CYB5B;CORO1A;PDK1;M6PR;NHERF1;TUBA4A;SLC1A4
Basal_vs_GTEx,Hallmark,HALLMARK_MYOGENESIS,-2.20547490142653,7.47973858457924e-14,3.21628759136907e-12,165,CFD;ITGA7;HRC;FXYD1;FHL1;LDB3;PYGM;VIPR1;GSN;LAMA2;CASQ2;MYH3;IGF1;COX7A1;MYH11;MYL1;GADD45B;CSRP3;CD36;SORBS3;HSPB2;MYH1;SGCA;MYH7;SORBS1;MYO1C;TSC2;TCAP;MYL2;DES;MYH2;MYOM2;SH2B1;CKMT2;MYBPC3;ENO3;HBEGF;FKBP1B;BIN1;FGF2;CAV3;IGFBP7;TNNC2;CDKN1A;CKM;ACTC1;TPM2;FLII;MEF2C;ACSL1;PPP1R3C;BHLHE40;IGFBP3;SGCG;HSPB8;CASQ1;ABLIM1;PTGIS;MAPK12;KIFC3;MYL7;PICK1;CDH13;MYF6;OCEL1;MYL4;MEF2D;COL6A2;SPTAN1;LPIN1;CKB;BDKRB2;CRAT;PGAM2;PC;FOXO4;ACTA1;NCAM1;TGFB1;FST;CTF1;SIRT2;HDAC5;ANKRD2;LARGE1;MYLK;ITGB5;DMD;AK1;DAPK2;ATP2A1;CRYAB;KCNH1;STC2
Basal_vs_GTEx,KEGG_Legacy,KEGG_CELL_CYCLE,2.26684204661855,9.8783838110189e-11,3.53975419894844e-09,103,BUB1;CCNB2;TTK;CDC20;PTTG1;CDC25A;CDK1;CHEK1;PLK1;E2F2;MAD2L1;CCNA2;CDC25C;CCNE1;PKMYT1;MCM2;CDC6;PCNA;DBF4;ESPL1;MCM6;YWHAZ;CCNE2;SKP2;CDC7;TFDP1;HDAC2;RBL1;SMC1B;PRKDC;YWHAQ;CHEK2;RAD21;CDK4;YWHAE;GSK3B;SFN;MCM7;SMC1A;ORC3;TFDP2;SMC3;RBX1;CDK7;YWHAB;YWHAG;SMAD2;ORC5;STAG2;MAD2L2
Basal_vs_GTEx,Hallmark,HALLMARK_MYC_TARGETS_V2,2.3859455384234,7.75117595499628e-10,2.38071832903457e-08,48,PLK1;PLK4;BYSL;NIP7;TMEM97;TFB2M;HSPD1;HSPE1;DCTPP1;WDR43;NOLC1;UNG;MPHOSPH10;CDK4;NPM1;EXOSC5;FARSA;NDUFAF4;AIMP2;SLC19A1;PA2G4;PES1;SORD;PHB1;RRP12;NOP2;NOP16;IPO4;TCOF1;PRMT3;SUPV3L1;HK2;NOP56;TBRG4;UTP20
Basal_vs_GTEx,Hallmark,HALLMARK_GLYCOLYSIS,1.99224841450423,5.11532676749342e-09,1.37474406876386e-07,165,KIF20A;DEPDC1;HMMR;STMN1;CDK1;CENPA;PPIA;PLOD1;DSC2;SDC1;TPI1;COPB2;BPNT1;CHST6;TXN;PDK3;SDHC;PKM;HAX1;ENO1;KDELR3;NANP;B4GALT2;EFNA3;SRD5A3;HSPA5;PGK1;PSMC4;FKBP4;HDLBP;GOT1;MDH2;RPE;HS2ST1;CHPF;SLC25A10;ALG1;LCT;PGM2;GFUS;FAM162A;B4GALT4;GFPT1;GNPDA1;AKR1A1;EXT1;P4HA1;B4GALT1;GOT2;P4HA2;HOMER1;CLDN3;LDHA;ALDH7A1;PGAM1;MDH1;CLDN9;EXT2;PMM2;GALE;NASP;CHST4;NSDHL;KIF2A;SAP30;PFKP;MIF;NDST3;AGRN;PLOD2;HS6ST2;B3GNT3;QSOX1;NDUFV3;SLC37A4;B3GALT6;HK2;PAXIP1;LHX9;DLD;LHPP;SOD1;VCAN;ISG20;ELF3;LDHC;SLC25A13;SLC35A3;COG2;ECD;SPAG4;RRAGD;GPR87;ARTN;EGLN3;ERO1A
Basal_vs_GTEx,Hallmark,HALLMARK_MITOTIC_SPINDLE,1.95251750806628,2.51398943594498e-08,6.00564143031302e-07,161,TPX2;CENPF;KIF4A;BUB1;KIF11;ANLN;NDC80;CCNB2;TTK;DLGAP5;KIF2C;NEK2;TOP2A;NUSAP1;CENPE;CDK1;PLK1;LMNB1;KIF23;RACGAP1;ECT2;SMC4;ESPL1;KIF20B;INCENP;EZR;BRCA2;SAC3D1;MAPRE1;SASS6;YWHAE;FSCN1;STAU1;KIF3C;ARF6;PIF1;SMC1A;ABI1;SMC3;SHROOM2;ALMS1;CDC42;KIF5B;KIFAP3;TLK1;DYNC1H1;CEP72;TUBA4A;CEP250;SEPTIN9;MAP1S;MYO1E;NET1;KATNA1;RHOF;DYNLL2;NCK2;ACTN4;KIF1B;DLG1;KIF3B;PCGF5
Basal_vs_GTEx,KEGG_Legacy,KEGG_PROTEASOME,2.25032385983869,4.39987156447547e-08,9.45972386362226e-07,40,PSMB2;PSMD14;PSME4;PSMB4;PSMA4;PSMD4;PSMA2;PSMD2;PSMD12;PSMB5;PSMD11;PSMC4;PSMD1;PSMC2;PSMB3;IFNG;PSME2;PSMB7;PSMC3;PSME3;PSMB6;POMP;PSMA3;PSMA7;PSMF1;PSMB1;PSMB10;PSMD7;PSMD13;PSMD8;PSMB8;PSMC1
