contrast,collection,pathway,NES,pval,padj,size,leadingEdge
Her2_vs_GTEx,Hallmark,HALLMARK_E2F_TARGETS,2.94871520581753,6.74533878708054e-36,1.45024783922232e-33,158,KIF4A;RRM2;UBE2T;MELK;MKI67;DLGAP5;CCNB2;CDCA8;HMMR;MYBL2;CKS2;GINS1;PTTG1;JPT1;CDK1;TOP2A;CDC20;DEPDC1;KIF2C;LMNB1;KPNA2;TK1;CENPE;CDKN3;DIAPH3;MAD2L1;SPC25;RACGAP1;TRIP13;CDC25A;PLK1;E2F8;SPC24;PCNA;STMN1;CHEK1;RAD51AP1;MCM2;KIF18B;PLK4;RNASEH2A;H2AZ1;RFC2;PAICS;CSE1L;ESPL1;CCNE1;ATAD2;RAN;ASF1A;RPA3;HELLS;H2AX;DCTPP1;EZH2;TACC3;SMC4;BRCA2;MCM6;MSH2;TIMELESS;GSPT1;DSCC1;TCF19;SYNCRIP;UBR7;RAD1;NCAPD2;PRDX4;PA2G4;MTHFD2;DCLRE1B;RFC3;RANBP1;BRCA1;SMC1A;XRCC6;POLA2;NOLC1;RAD21;NBN;TFRC;NUDT21;CBX5;TUBG1;GINS3;CDK4;DCK;EIF2S1;LIG1;TIPIN;SLBP;RAD51C;DONSON;UNG;CHEK2;SNRPB;CTCF;PHF5A;PRKDC;NUP205;PPP1R8;MMS22L;XPO1
Her2_vs_GTEx,Hallmark,HALLMARK_G2M_CHECKPOINT,2.82351678387716,5.71091647648545e-29,6.13923521222186e-27,152,KIF4A;TPX2;KIF11;CENPF;BUB1;UBE2C;MKI67;CCNB2;NEK2;HMMR;MYBL2;TTK;CKS2;EXO1;NUSAP1;PTTG1;NDC80;JPT1;CDK1;TOP2A;CDC20;KIF2C;CDC6;LMNB1;KPNA2;PBK;CENPE;CDKN3;KNL1;TROAP;E2F2;MAD2L1;RACGAP1;CDC25A;PLK1;KIF23;CENPA;CCNA2;STMN1;CHEK1;CCNF;POLQ;MCM2;SQLE;PLK4;H2AZ1;GINS2;RAD54L;ESPL1;DBF4;H2AX;KIF20B;EZH2;TACC3;SMC4;SNRPD1;BRCA2;MCM6;GSPT1;SMC2;INCENP;SYNCRIP;H2BC12;NCL;G3BP1;CBX1;SMARCC1;DTYMK;SMC1A;POLA2;NOLC1;UCK2;CDC7;RAD21;DKC1;HMGN2;RBL1;TFDP1;CDK4;TRAIP;CHAF1A;CTCF;CUL3;ODF2;KIF5B
Her2_vs_GTEx,Hallmark,HALLMARK_MYC_TARGETS_V1,2.77335339715506,4.98319538496524e-28,3.57129002589175e-26,158,CDC20;KPNA2;MAD2L1;PSMD14;PCNA;CCNA2;EPRS1;MCM2;H2AZ1;SET;TYMS;SNRPD3;ILF2;PSMB2;GLO1;PPIA;RAN;CCT5;RRM1;PGK1;SNRPD1;HSPE1;HNRNPC;ERH;MCM6;CSTF2;HSPD1;UBE2L3;GSPT1;CCT7;PSMD1;SRPK1;PSMD3;PSMA4;YWHAQ;PABPC1;HDGF;PPM1G;EIF4G2;RFC4;PSMB3;HDAC2;PRPS2;SYNCRIP;PTGES3;HPRT1;VBP1;PSMA2;LSM2;PRDX4;G3BP1;PA2G4;CANX;SMARCC1;PHB1;ACP1;HNRNPA3;PSMC4;NPM1;GOT2;CCT2;RANBP1;XRCC6;HSP90AB1;NOLC1;MRPL9;EIF4E;EIF3J;NCBP2;EIF2S2;TFDP1;CDK4;FAM120A;EIF2S1;TRIM28;LDHA;RUVBL2;YWHAE;CLNS1A;APEX1;NDUFAB1;AIMP2;C1QBP;XPO1;SNRPD2;PRDX3;SERBP1;TXNL4A;XPOT;TUFM;ABCE1;HNRNPR;RSL1D1;HNRNPA2B1;VDAC3;COPS5;KARS1
Her2_vs_GTEx,Hallmark,HALLMARK_MTORC1_SIGNALING,2.6818348232455,9.42748213023842e-25,5.06727164500315e-23,166,RRM2;BUB1;CDC25A;PLK1;PSMD14;CCNF;RPN1;EPRS1;GMPS;MCM2;SQLE;HSPA4;CALR;ATP6V1D;PPIA;CACYBP;ACTR3;PRDX1;TMEM97;SSR1;GAPDH;PGK1;RDH11;HSPE1;GOT1;NHERF1;UCHL5;TRIB3;PSMB5;DHFR;GSK3B;HSPD1;SHMT2;PSPH;G6PD;CYP51A1;SLC1A4;PSMA4;SORD;ACSL3;DHCR24;DHCR7;P4HA1;SRD5A1;CD9;PSMD12;YKT6;HPRT1;CCT6A;HMGCR;ATP5MC1;IMMT;XBP1;MTHFD2;CANX;PSMC4;TPI1;HSPA5;PSMC2;ARPC5L;EGLN3;GPI;ALDOA;ENO1;HMGCS1;PNO1;TFRC;PSMA3;HSPA9;TUBG1;EIF2S2;LDHA;HK2;EEF1E1;UNG;DAPP1;CYB5B;NUP205;TOMM40;SLC2A1;IDI1;ATP2A2;PPA1;ERO1A;ACLY;ACACA;SERP1;ITGB2;HMBS;SLC7A11;HSP90B1;RAB1A;RIT1;PIK3R3;COPS5;SCD;CORO1A;WARS1;SERPINH1;TES;SLC37A4;RPA1;M6PR;PSME3;NUFIP1;PHGDH;ABCF2;CTSC;PDK1;PSMD13;LTA4H;PSMC6;SC5D;EDEM1;ETF1
Her2_vs_GTEx,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.12719479709005,5.82968586613756e-11,2.50676492243915e-09,163,IDH2;MRPL35;ATP6V1D;AIFM1;NDUFB3;COX7B;ATP6AP1;SLC25A5;SDHC;CYCS;ATP5MF;TOMM22;TIMM17A;OPA1;ATP6V1G1;NDUFA1;FH;NDUFA8;MRPL15;ATP5F1C;NDUFB5;MTX2;NDUFB4;ATP5PB;HSD17B10;ATP5MC1;IMMT;NDUFA6;COX7A2L;GOT2;UQCRH;PDP1;HCCS;ATP5MC2;ATP6V1F;GPI;UQCRC1;HSPA9;COX7A2;COX6A1;LDHA;MDH2;NDUFA9;NDUFB2;ATP5F1B;ATP1B1;NDUFC2;NDUFAB1;NDUFS3;ATP5PD;ATP6V1C1;COX17;ATP5PO;VDAC2;TIMM8B;ATP6V0E1;ATP5PF;NDUFB6;PRDX3;OAT;ATP5MC3;COX7C;NDUFS1;VDAC3;AFG3L2;BAX;NDUFS6;MRPL11;UQCRB;DLAT;NDUFC1;MRPS11;UQCRFS1;ATP6V1H;CYC1;ACO2;TIMM50;NDUFA3;MRPS22;ETFA;TIMM13;MRPS30;NDUFA5;DLD;ATP5ME;PDHX;TIMM9;MDH1;NDUFA7
Her2_vs_GTEx,Hallmark,HALLMARK_MYOGENESIS,-2.0653119851917,8.79982558796714e-11,3.15327083568823e-09,165,ITGA7;CFD;FXYD1;GSN;LDB3;FHL1;HRC;PYGM;HSPB2;FGF2;MYH3;SORBS3;MYL1;MYH7;SORBS1;CRYAB;CASQ2;SGCA;SH2B1;IGF1;CSRP3;LAMA2;MYH11;MYH1;DES;KIFC3;DMD;CKMT2;MYL2;LPIN1;COX7A1;HDAC5;GADD45B;IFRD1;BIN1;ENO3;CD36;CKM;MRAS;MYBPC3;HBEGF;MAPK12;DAPK2;TPM2;TSC2;FKBP1B;TNNC2;PTGIS;SCHIP1;MYH2;ACTC1;IGFBP3;MYO1C;VIPR1;MEF2C;CAV3;NCAM1;PICK1;PTP4A3;FOXO4;SPTAN1;CTF1;PC;FLII;NAV2;SIRT2;MYF6;SGCG;MYOM2;MYOZ1;CDKN1A;MYLK;IGFBP7;MYL4;ACTA1;SVIL;MYL7;ANKRD2;MEF2D;DENND2B;ATP2A1;GABARAPL2;COL6A2;ABLIM1;CASQ1;PGAM2;STC2;HSPB8;ACSL1;TNNT2;FST
Her2_vs_GTEx,Hallmark,HALLMARK_GLYCOLYSIS,2.09245017673025,3.83073876053977e-10,1.17658404788007e-08,165,KIF20A;HMMR;CDK1;DEPDC1;CENPA;STMN1;SRD5A3;SDC1;COPB2;PPIA;PGK1;AKR1A1;TXN;PKM;GOT1;EFNA3;ALG1;SDHC;BPNT1;G6PD;HDLBP;KDELR3;GALE;P4HA1;GFUS;IL13RA1;CHPF;FKBP4;P4HA2;FAM162A;PSMC4;TPI1;HSPA5;GOT2;FUT8;SLC25A10;EGLN3;HAX1;ALDOA;ENO1;PMM2;NANP;RPE;GFPT1;PGAM1;SLC35A3;LCT;CHST6;PDK3;LDHA;MDH2;HK2;ALDH7A1;SOD1;GMPPA;COL5A1;B4GALT1;CLDN3;VCAN;CHST1;HS2ST1;NSDHL;ECD;ERO1A;COG2;B4GALT4;GNPDA1;SPAG4;TFF3;PLOD1;GPC4;DSC2;HS6ST2;MIF;KIF2A;NDUFV3;EXT1;GUSB;HOMER1;ISG20;B3GNT3;XYLT2;GALK2;SLC37A4;ARPP19
Her2_vs_GTEx,KEGG_Legacy,KEGG_PROTEASOME,2.31982241101932,2.53511537239479e-09,6.81312256331101e-08,40,PSMD14;PSMB2;PSMB5;PSMD1;PSMD3;PSMA4;PSMB3;PSMD11;PSMD12;PSMA2;PSME2;PSME4;PSMD2;PSMC4;PSMC2;PSMB7;PSMA3;PSMD4;PSMF1;POMP;PSME1;PSMC1;IFNG;PSMB4;PSMB1;PSMA7;PSMD6;PSMB6;PSMC3;PSME3;PSMC5;PSMD13;PSMC6;PSMB10
Her2_vs_GTEx,KEGG_Legacy,KEGG_CELL_CYCLE,2.0859827095019,2.19168824222578e-08,5.23569968976159e-07,103,BUB1;CCNB2;TTK;PTTG1;CDK1;CDC20;CDC6;CDC25C;PKMYT1;E2F2;MAD2L1;CDC25A;PLK1;PCNA;CCNA2;CHEK1;MCM2;CCNE2;YWHAZ;ESPL1;CCNE1;DBF4;GSK3B;MCM6;YWHAQ;HDAC2;YWHAB;CDK7;SKP2;SMC1A;CDC7;RAD21;SMC1B;RBL1;TFDP1;CDK4;RBX1;YWHAE;CHEK2;PRKDC;SFN;ORC5;YWHAG;ANAPC13;ORC3
Her2_vs_GTEx,KEGG_Legacy,KEGG_ALZHEIMERS_DISEASE,1.93145854748244,4.0407365008967e-07,8.6875834769279e-06,124,CASP3;NDUFB3;COX7B;GAPDH;CDK5;GSK3B;SDHC;CYCS;PSEN1;NDUFA1;NDUFA8;ATP5F1C;NDUFB5;NDUFB4;ATP5PB;HSD17B10;NDUFB9;ATP5MC1;CALM2;NDUFA6;IDE;COX7A2L;UQCRH;APH1A;ATP5MC2;UQCRC1;PPP3R1;COX7A2;COX6A1;NDUFA9;CDK5R1;ADAM10;NDUFB2;ATP5F1B;NDUFC2;NDUFAB1;MAPK1;NDUFS3;ATP5PD;ATP5PO;ATP2A2;CALML5;ATP5PF;NDUFB6;ATF6;CASP8;EIF2AK3;ATP5MC3;COX7C;NDUFS1;CALM1;TNF;BID;NDUFS6;NDUFV3;CALM3;ATP2A3;UQCRB;GRIN2D;NDUFC1;APP;UQCRFS1;CYC1;COX7B2;NDUFA3;FADD
