contrast,collection,pathway,NES,pval,padj,size,leadingEdge
LumA_vs_GTEx,Hallmark,HALLMARK_E2F_TARGETS,2.54695778959513,2.28410658388353e-25,4.91082915534959e-23,158,KIF4A;UBE2T;MKI67;DLGAP5;HMMR;CKS2;MELK;RRM2;TOP2A;CCNB2;CDCA8;GINS1;DEPDC1;PTTG1;LMNB1;JPT1;DIAPH3;MYBL2;CDC20;CDK1;KIF2C;TK1;SPC25;CENPE;KPNA2;RACGAP1;PCNA;MAD2L1;E2F8;KIF18B;CDKN3;TRIP13;PAICS;RAD51AP1;MCM2;SPC24;STMN1;RNASEH2A;CDC25A;DCTPP1;RPA3;PLK1;CSE1L;CHEK1;GSPT1;ATAD2;MSH2;UBR7;PLK4;NBN;ASF1A;RAN;H2AZ1;SMC4;ESPL1;HELLS;RFC2;TACC3;TIMELESS;BRCA1;BRCA2;H2AX;TUBG1;CBX5;DCLRE1B;EZH2;RAD1;DCK;PA2G4;PPP1R8;NOLC1;RAD21;RAD50;TIPIN;SYNCRIP;CTCF;SMC1A;SLBP;DSCC1;MCM6;NCAPD2;SMC3;PRKDC;TCF19;CDK4;RPA2;NUDT21;CCNE1;PMS2;POLA2;UNG;LIG1;RAD51C;RPA1;XPO1;EIF2S1;RFC3;AK2;XRCC6;PRDX4;PDS5B;SNRPB;MLH1
LumA_vs_GTEx,Hallmark,HALLMARK_G2M_CHECKPOINT,2.48143273772411,3.09560002318004e-22,2.21851334994569e-20,152,KIF4A;CENPF;TPX2;KIF11;NEK2;BUB1;MKI67;HMMR;UBE2C;CKS2;PBK;TOP2A;NUSAP1;CCNB2;NDC80;EXO1;TTK;PTTG1;LMNB1;JPT1;MYBL2;CDC20;CDK1;KIF2C;KNL1;CENPE;KPNA2;CDC6;RACGAP1;CCNF;MAD2L1;KIF23;E2F2;CDKN3;GINS2;TROAP;MCM2;STMN1;POLQ;CDC25A;PLK1;SQLE;CENPA;CHEK1;GSPT1;CCNA2;SNRPD1;PLK4;KIF20B;G3BP1;RAD54L;H2AZ1;SMC4;ESPL1;CUL3;SMARCC1;TACC3;CBX1;DBF4;CCND1;SMC2;NCL;BRCA2;H2AX;EZH2;HMGN2;H2BC12;NOLC1;RAD21;SYNCRIP;CTCF;INCENP;KIF5B;SMC1A;MCM6;TFDP1;LIG3;CDK4;DTYMK;RBL1;RPA2;POLA2;DR1;PRMT5;TLE3;ORC5;XPO1;TRAIP;CDC7;DKC1;CHAF1A;PDS5B;UCK2
LumA_vs_GTEx,Hallmark,HALLMARK_MYC_TARGETS_V1,2.47273988735351,2.89188648088958e-22,2.21851334994569e-20,158,CDC20;KPNA2;EPRS1;HNRNPC;PCNA;MAD2L1;SET;GLO1;PSMD14;MCM2;ERH;FAM120A;RRM1;TYMS;CSTF2;GSPT1;CCNA2;SNRPD1;HPRT1;ILF2;PPIA;HDGF;G3BP1;PRPS2;CANX;RAN;EIF4G2;H2AZ1;SNRPD3;NPM1;SMARCC1;PTGES3;NCBP2;GOT2;VBP1;PSMB2;YWHAE;TRIM28;CCT7;CCT5;RUVBL2;PSMD1;PRDX3;RSL1D1;EIF3J;PA2G4;PPM1G;NOLC1;HSPE1;PSMA4;CCT2;EIF4E;SRPK1;C1QBP;SYNCRIP;CLNS1A;HSP90AB1;PABPC1;PSMA2;TUFM;PSMC4;LSM2;PSMB3;HNRNPR;MCM6;YWHAQ;HSPD1;UBE2L3;TFDP1;NDUFAB1;RFC4;HNRNPA3;APEX1;MRPL9;PGK1;CDK4;ACP1;AIMP2;VDAC3;SNRPD2;NHP2;COPS5;TXNL4A;XPO1;RNPS1;UBE2E1;EIF2S1;HDAC2;XRCC6;PRDX4;PHB1
LumA_vs_GTEx,Hallmark,HALLMARK_MTORC1_SIGNALING,2.23579632367601,2.41664925412051e-15,1.29894897408977e-13,166,BUB1;RRM2;EPRS1;RPN1;CCNF;ATP6V1D;HSPA4;NHERF1;PSMD14;MCM2;XBP1;CDC25A;SORD;PLK1;SQLE;CALR;SSR1;SLC1A4;RDH11;CYP51A1;TMEM97;GMPS;HPRT1;CACYBP;DHCR24;PPIA;CANX;PRDX1;CD9;UCHL5;DHFR;TRIB3;ACTR3;ACSL3;HSPA5;HMGCR;TUBG1;GAPDH;GSK3B;PSMB5;SERP1;GOT1;HSPA9;HSPE1;PSMA4;YKT6;PSPH;PSMD12;PSMC4;ALDOA;PSMC2;IMMT;HSPD1;RIT1;PSME3;LTA4H;PNO1;DAPP1;P4HA1;PGK1;ATP5MC1;SHMT2;CCT6A;DHCR7;UNG;ACLY;QDPR;COPS5;SLC2A1;RPA1;FDXR;EDEM1;EEF1E1;M6PR;SLC7A11;TPI1;SYTL2;CYB5B;ACACA;GLA;EGLN3;ATP2A2;NUFIP1;HK2;ITGB2;SRD5A1;LDHA;HSP90B1;HMBS;TOMM40;ARPC5L;CORO1A;PIK3R3;ABCF2;TFRC;ETF1;HMGCS1
LumA_vs_GTEx,Hallmark,HALLMARK_MYOGENESIS,-2.08347327582976,2.30408266365116e-10,9.90755545369998e-09,165,ITGA7;CFD;MYH7;PYGM;GSN;LPIN1;FXYD1;MYL1;MYH3;FHL1;IFRD1;LDB3;CSRP3;HSPB2;CKM;CRYAB;KIFC3;HRC;BIN1;MYL2;DMD;DES;MYBPC3;MRAS;MYH1;CD36;HBEGF;FGF2;TCAP;GADD45B;TNNC2;SORBS1;MAPK12;CASQ2;IGFBP3;LAMA2;ACSL1;MYH2;IGF1;SGCA;TPM2;CKMT2;SH2B1;ENO3;CAV3;MYH11;ACTC1;SORBS3;ABLIM1;PTGIS;VIPR1;TNNT2;COX7A1;MYF6;FLII;PC;PICK1;PTP4A3;NCAM1;SCHIP1;MYO1C;MYOM2;TSC2;SIRT2;MEF2C;CKB;MYL4;ATP2A1;CDKN1A;ACTA1
LumA_vs_GTEx,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,1.93902149846765,1.02323933132577e-08,3.66660760391734e-07,163,ATP6AP1;ATP6V1D;MRPL35;SDHC;ATP5MC2;ATP6V1G1;NDUFB3;IDH2;MRPS30;MTX2;TIMM17A;ATP5PB;NDUFB5;AIFM1;ATP5MF;GOT2;NDUFB4;COX7B;COX7A2L;ATP1B1;FH;TOMM22;OPA1;NDUFA1;NDUFA8;PRDX3;ATP6V1C1;HSPA9;HSD17B10;NDUFA7;MRPL15;NDUFS3;UQCRC1;COX6A1;COX7C;NDUFA5;ATP6V1F;CYCS;ATP6V0E1;IMMT;ATP5PD;NDUFB2;SLC25A5;NDUFB6;NDUFAB1;COX17;ATP5F1C;GLUD1;ACADSB;ATP5MC1;NDUFC1;COX7A2;MDH2;NDUFC2;BAX;VDAC3;ATP6V1H;PDP1;AFG3L2;NDUFA9;NDUFA3;HCCS;PDHX;ATP5ME;ATP5F1A;OAT;LDHA;SURF1;TIMM9;NDUFS1;COX15;ATP5PO;VDAC2;ATP5F1B;SLC25A11;RHOT1;NDUFA6;ECI1;CYC1;UQCRC2;COX10;FXN;TIMM13;CASP7;MRPS11;TIMM8B;ALDH6A1;MRPL11;ATP6V0C;UQCRH;ATP5PF;NDUFS6;OGDH;DLAT;ACADM;ISCA1;GPI
LumA_vs_GTEx,Hallmark,HALLMARK_ESTROGEN_RESPONSE_LATE,1.89374210793814,2.21034346766771e-08,6.78891207926512e-07,164,KIF20A;TOP2A;CDC20;CDC6;AGR2;NHERF1;GINS2;SIAH2;CA12;XBP1;PRLR;TSPAN13;FKBP4;RNASEH2A;SORD;TFF1;SLC1A4;LSR;HPRT1;PLK4;MYB;IDH2;UGDH;CD9;ST14;FRK;DNAJC12;TJP3;RET;OPN3;CDH1;MAPK13;AMFR;TFF3;ABHD2;CCND1;EMP2;PKP3;SLC27A2;KRT19;ARL3;OVOL2;GALE;PTPN6;GFUS;SLC22A5;FLNB;SCUBE2;SFN;RABEP1;LLGL2;PRSS23;SULT2B1;TPBG;TMPRSS3;RBBP8;NMU;BATF;DHCR7;DYNLT3;BCL2;MDK;SERPINA1;CACNA2D2;SCNN1A;GLA;MOCS2;PDCD4;TFAP2C;PGR;TOB1;CALCR;DHRS2;SERPINA3;HOMER2;CYP4F11;PDZK1;MICB
LumA_vs_GTEx,Hallmark,HALLMARK_ESTROGEN_RESPONSE_EARLY,1.88735395156796,5.51598886621365e-08,1.48242200779492e-06,158,SLC39A6;NHERF1;SIAH2;CA12;CANT1;XBP1;TTC39A;FKBP4;ISG20L2;PMAIP1;KRT8;TFF1;SLC1A4;MYB;FRK;TJP3;RET;OPN3;AMFR;SLC37A1;TFF3;MUC1;ABHD2;CCND1;ABAT;SLC27A2;CLDN7;KRT19;ARL3;OVOL2;AR;WWC1;MINDY1;MLPH;RASGRP1;B4GALT1;UGCG;TBC1D30;SLC22A5;ESRP2;RAB17;FLNB;ASB13;RARA;SFN;RHOD;LAD1;PRSS23;SYT12;SULT2B1;LRIG1;TPBG;TMPRSS3;RBBP8;DHCR7;IGF1R;FCMR;DYNLT3;SLC2A1;BCL2;ZNF185;GREB1;KCNK15;SEC14L2;SCNN1A;TGIF2;GLA;TFAP2C;PGR;TMEM164;RRP12;TOB1;MSMB;CALCR;DHRS2;GFRA1;STC2;DEPTOR
LumA_vs_GTEx,Hallmark,HALLMARK_GLYCOLYSIS,1.85835980649083,1.37021172934225e-07,3.27328357565093e-06,165,HMMR;KIF20A;DEPDC1;CDK1;ALG1;COPB2;FUT8;FKBP4;STMN1;SDC1;BPNT1;SDHC;CENPA;SRD5A3;COG2;PPIA;PKM;GNPDA1;FAM162A;CHPF;IL13RA1;GOT2;HAX1;HSPA5;TFF3;SLC35A3;KDELR3;TXN;HDLBP;AKR1A1;EFNA3;PDK3;GOT1;GALE;GFUS;ECD;RPE;B4GALT1;COL5A1;VCAN;PSMC4;GLCE;GFPT1;ALDOA;CHST6;NANP;SLC25A10;P4HA2;HS2ST1;CLDN3;P4HA1;PGK1;GPC4;B3GALT6;ARPP19;TPBG;MPI;MDH2;PGM2;PMM2;PAXIP1;ALDH7A1;B4GALT4;QSOX1;KIF2A;TPI1;CHST1;AGRN;EGLN3;HK2;PGAM1;LDHA;XYLT2;B4GALT2;AGL;SOD1;PLOD1;NDUFV3;GMPPA;STC2;HOMER1;GUSB;NSDHL;MIF;ALDH9A1;NDST3;ELF3;ARTN;LHPP;SLC37A4;SPAG4;DSC2;HS6ST2;EXT2
LumA_vs_GTEx,KEGG_Legacy,KEGG_CELL_CYCLE,1.93756093621157,4.05527749964723e-07,8.71884662424155e-06,103,BUB1;CCNB2;CDC25C;TTK;PTTG1;CDC20;CDK1;PKMYT1;CDC6;PCNA;MAD2L1;E2F2;MCM2;CDC25A;PLK1;CDK7;CHEK1;CCNA2;YWHAZ;CCNE2;ESPL1;YWHAB;YWHAE;DBF4;CCND1;GSK3B;RAD21;STAG2;ANAPC13;SMC1A;SFN;MCM6;YWHAQ;MDM2;TFDP1;TGFB3;SMC3;PRKDC;SKP1;CDK4;RBL1;CCNE1;SMAD2;ORC5;ORC3;ORC4;HDAC2;RB1;CDC7;RBX1;YWHAG;HDAC1
