contrast,collection,pathway,NES,pval,padj,size,leadingEdge
LumB_vs_GTEx,Hallmark,HALLMARK_E2F_TARGETS,2.8715220185495,1.08584038906145e-37,2.33455683648211e-35,158,KIF4A;UBE2T;MELK;DLGAP5;MKI67;CCNB2;CKS2;HMMR;RRM2;TOP2A;CDCA8;GINS1;PTTG1;MYBL2;CDK1;LMNB1;DEPDC1;CENPE;KPNA2;KIF2C;CDC20;RACGAP1;TK1;JPT1;MAD2L1;DIAPH3;SPC25;CDKN3;PCNA;TRIP13;PLK1;E2F8;CDC25A;RAD51AP1;SPC24;KIF18B;MCM2;CHEK1;ATAD2;STMN1;RNASEH2A;PAICS;ESPL1;PLK4;CSE1L;H2AZ1;TIMELESS;TACC3;RPA3;SMC4;HELLS;RAN;DCTPP1;DSCC1;MSH2;EZH2;RFC2;GSPT1;H2AX;BRCA1;NBN;TCF19;BRCA2;TUBG1;MCM6;RAD21;UBR7;PA2G4;SLBP;CCNE1;DCK;ASF1A;RAD1;DCLRE1B;POLA2;NCAPD2;TIPIN;NOLC1;UNG;RAD51C;PRKDC;RFC3;SMC1A;SYNCRIP;CBX5;LIG1;CTCF;CDK4;PRDX4;SNRPB;SMC3;RANBP1;XPO1;PPP1R8;GINS3;RAD50;HMGB2;NUDT21;CHEK2;MTHFD2;EIF2S1;SSRP1;XRCC6;NUP205;CNOT9;PMS2;DONSON;MMS22L;TFRC;PSMC3IP;RPA1;CTPS1;MLH1;SMC6;POLD3;AK2;SRSF1;PHF5A;RFC1
LumB_vs_GTEx,Hallmark,HALLMARK_G2M_CHECKPOINT,2.78187263146244,6.93650696344302e-33,7.45674498570124e-31,152,TPX2;KIF4A;CENPF;KIF11;UBE2C;BUB1;NEK2;MKI67;CCNB2;CKS2;HMMR;TOP2A;NUSAP1;NDC80;PTTG1;MYBL2;PBK;EXO1;TTK;CDK1;LMNB1;CENPE;KPNA2;KIF2C;CDC20;RACGAP1;KNL1;JPT1;MAD2L1;CDC6;CDKN3;TROAP;PLK1;KIF23;CDC25A;E2F2;CCNF;POLQ;CCNA2;MCM2;CHEK1;GINS2;CENPA;STMN1;ESPL1;PLK4;SQLE;H2AZ1;TACC3;RAD54L;SMC4;KIF20B;SNRPD1;EZH2;DBF4;GSPT1;H2AX;BRCA2;SMC2;MCM6;RAD21;CBX1;INCENP;RBL1;G3BP1;HMGN2;CDC7;POLA2;NCL;NOLC1;DTYMK;SMARCC1;TRAIP;CUL3;SMC1A;CCND1;SYNCRIP;CTCF;H2BC12;CDK4;DKC1;CHAF1A;KIF5B;PRMT5;XPO1;UCK2;TFDP1;NSD2
LumB_vs_GTEx,Hallmark,HALLMARK_MYC_TARGETS_V1,2.69356098340802,1.37356907552809e-28,9.84391170795129e-27,158,KPNA2;CDC20;MAD2L1;PCNA;CCNA2;MCM2;TYMS;EPRS1;PSMD14;H2AZ1;GLO1;RRM1;SET;HNRNPC;HPRT1;RAN;SNRPD1;PPIA;ERH;ILF2;CSTF2;GSPT1;HDGF;PTGES3;CCT5;SNRPD3;PSMB2;FAM120A;VBP1;MCM6;HSPD1;HSPE1;RFC4;CANX;PA2G4;CCT2;NCBP2;EIF4G2;GOT2;CCT7;PRPS2;G3BP1;PSMA4;PSMA2;NPM1;PSMD1;HSP90AB1;PPM1G;SRPK1;NOLC1;PABPC1;SMARCC1;TRIM28;PSMC4;RUVBL2;LSM2;PSMB3;EIF3J;COPS5;PGK1;UBE2L3;EIF4E;NDUFAB1;ACP1;SYNCRIP;PRDX3;YWHAQ;YWHAE;CDK4;HNRNPA3;PRDX4;C1QBP;PHB1;AIMP2;MRPL9;CLNS1A;APEX1;VDAC3;RANBP1;XPO1;RSL1D1;TFDP1;HNRNPA2B1;HNRNPR;TXNL4A;CYC1;XPOT;EIF2S2;NHP2;TUFM;HDAC2;EIF2S1;RNPS1;XRCC6;SNRPD2;PWP1;ABCE1;UBE2E1;LDHA;PSMD3;CTPS1
LumB_vs_GTEx,Hallmark,HALLMARK_MTORC1_SIGNALING,2.4462478527167,4.07886433916907e-20,2.19238958230338e-18,166,BUB1;RRM2;PLK1;CDC25A;CCNF;MCM2;RPN1;EPRS1;PSMD14;TMEM97;SQLE;NHERF1;GMPS;CACYBP;HPRT1;PPIA;HSPA4;DHFR;ATP6V1D;SORD;CALR;RDH11;UCHL5;PRDX1;XBP1;SSR1;PSMD12;SLC1A4;CYP51A1;TUBG1;HSPD1;HSPE1;PSMB5;CANX;TRIB3;GAPDH;DHCR24;PSMA4;HSPA9;GOT1;ACTR3;GSK3B;UNG;PSMC4;PSPH;CD9;ACSL3;HMGCR;COPS5;PGK1;PSMC2;HSPA5;CCT6A;IMMT;DHCR7;SHMT2;YKT6;ATP5MC1;TPI1;PNO1;P4HA1;EEF1E1;SERP1;PSME3;ALDOA;PSMA3;EIF2S2;MTHFD2;HSP90B1;CYB5B;ATP2A2;NUP205;SLC7A11;RIT1;ARPC5L;LTA4H;ACACA;FDXR;TOMM40;ACLY;HMBS;LDHA;TFRC;RPA1;M6PR;SLC2A1;SRD5A1;HK2;EDEM1;HMGCS1;SLC37A4;NUFIP1;DAPP1;ABCF2;GPI;PSMC6;SCD;ITGB2;RAB1A;ETF1;TBK1;G6PD;SYTL2;PSMD13;QDPR
LumB_vs_GTEx,Hallmark,HALLMARK_MYOGENESIS,-2.22066198503217,1.0121093611655e-12,4.35207025301167e-11,165,ITGA7;GSN;FXYD1;CFD;PYGM;FHL1;CRYAB;HSPB2;MYH7;MYH3;DMD;LDB3;KIFC3;LPIN1;FGF2;MYL1;HRC;BIN1;DES;CSRP3;SORBS1;IGF1;MYL2;MYH11;LAMA2;CASQ2;MYH1;IFRD1;MRAS;HBEGF;CKM;CKMT2;SORBS3;SGCA;GADD45B;IGFBP3;TPM2;COX7A1;CD36;MYBPC3;MYH2;VIPR1;PTGIS;SH2B1;FLII;ABLIM1;SCHIP1;NCAM1;ACTC1;MEF2C;MYOM2;MYO1C;ACSL1;CAV3;MAPK12;TNNC2;TCAP;MYF6;MYLK;PICK1;PC;TNNT2;ENO3;SIRT2;NAV2;COL6A2;FKBP1B;IGFBP7;PTP4A3;MYL7;DAPK2;CTF1;WWTR1;TSC2;ACTA1;SPTAN1;CDH13;HDAC5;MYOZ1;CDKN1A;MYL4;DENND2B;EFS;SVIL;SGCG;FST;ANKRD2;FOXO4;SPHK1
LumB_vs_GTEx,Hallmark,HALLMARK_OXIDATIVE_PHOSPHORYLATION,2.16924975693282,3.90938449500059e-12,1.40086277737521e-10,163,ATP6AP1;MRPL35;TIMM17A;ATP6V1D;SDHC;AIFM1;MRPL15;NDUFB3;IDH2;ATP5MC2;MTX2;COX7B;ATP5MF;NDUFB5;GOT2;ATP6V1C1;ATP6V1G1;ATP5PB;NDUFB4;HSPA9;COX6A1;CYCS;COX7A2L;FH;TOMM22;HSD17B10;OPA1;NDUFA8;COX17;ATP5F1C;ATP5PD;NDUFA7;NDUFS3;SLC25A5;ATP6V1F;NDUFA1;NDUFAB1;IMMT;PRDX3;COX7A2;ATP5MC1;UQCRC1;ATP6V1H;VDAC3;COX7C;NDUFB2;MRPS30;CYC1;HCCS;MDH2;PDHX;ATP5F1B;NDUFB6;BAX;NDUFA9;AFG3L2;NDUFA5;NDUFC1;ATP6V0E1;ATP5ME;VDAC2;NDUFC2;ATP1B1;TIMM9;LDHA;NDUFA6;NDUFS1;PDP1;UQCRB;ACADSB;SLC25A11;GLUD1;SURF1;MRPL11;ATP5F1A;NDUFA3;MRPS11;GPI;COX15;UQCRH;RHOT1;ATP5PO;MRPS22;TIMM8B;CPT1A;TIMM50;DLAT;NDUFS6;TIMM13;FXN;ATP5PF;ATP5MC3;ATP6V0C;COX10;ECI1;OAT;DLD;IDH3A;CS;UQCRFS1;CASP7;OGDH;COX11;ACO2
LumB_vs_GTEx,KEGG_Legacy,KEGG_CELL_CYCLE,2.16147484961626,7.23535521802331e-10,2.22228767410716e-08,103,BUB1;CCNB2;PTTG1;TTK;CDK1;CDC25C;CDC20;MAD2L1;CDC6;PKMYT1;PCNA;PLK1;CDC25A;E2F2;CCNA2;MCM2;CHEK1;CCNE2;ESPL1;YWHAZ;DBF4;YWHAB;CDK7;MCM6;RAD21;RBL1;CCNE1;CDC7;GSK3B;PRKDC;SMC1A;CCND1;YWHAQ;YWHAE;CDK4;SMC3;TFDP1;SKP2;ANAPC13;MDM2;CHEK2;HDAC2;ORC3;ORC5;YWHAG;STAG2;SFN;RBX1;SKP1;SMC1B;HDAC1;SMAD2
LumB_vs_GTEx,Hallmark,HALLMARK_DNA_REPAIR,2.02518224887093,4.57636195615845e-09,1.22989727571758e-07,124,ZWINT;RAD51;PCNA;FEN1;ARL6IP1;TYMS;RPA3;HPRT1;CETN2;CANT1;PRIM1;BOLA2;RFC2;POLR2K;UMPS;RFC4;RFC5;NCBP2;RALA;DAD1;POLA2;SEC61A1;SAC3D1;COX17;RRM2B;RFC3;GTF2H5;CLP1;LIG1;POLR2G;TSG101;POLA1;DDB1;DCTN4;GTF2H3;NUDT21;MRPL40;TAF13;ALYREF;SUPT4H1;NELFCD;SSRP1;TAF12;NME4;GTF2A2;POLR2H;RBX1;CMPK2;NT5C3A;POLR1H;POLD3;PDE6G;POLR2J;TAF9;SF3A3;SURF1;NUDT9;RPA2;ELOA;STX3;ERCC8;BCAP31;ZNF707;POLR3C;SNAPC5;GMPR2;DGUOK;VPS28;TAF6
LumB_vs_GTEx,KEGG_Legacy,KEGG_PROTEASOME,2.1923374031583,5.16598883951866e-08,1.23409733388501e-06,40,PSMD14;PSMB2;PSMD12;PSMB5;PSMD11;PSMA4;PSMA2;PSMD1;PSME2;PSMC4;PSME1;PSMB3;PSMC2;PSMD2;PSMD4;PSME3;PSMB7;PSMA3;POMP;PSMB4;PSMF1;PSMC3;PSMC5;PSMB6;PSMD3;PSME4;PSMC1;PSMD6;PSMC6;IFNG;PSMB1;PSMA7;PSMD13
LumB_vs_GTEx,Hallmark,HALLMARK_GLYCOLYSIS,1.90621136386849,1.46666024075395e-07,3.153319517621e-06,165,HMMR;KIF20A;CDK1;DEPDC1;CENPA;STMN1;ALG1;FKBP4;PPIA;COPB2;BPNT1;SDHC;SRD5A3;FUT8;SDC1;TXN;HAX1;GOT2;GNPDA1;COG2;GOT1;PKM;SLC25A10;PSMC4;NANP;PGK1;HSPA5;PDK3;SLC35A3;RPE;TPI1;GFUS;GALE;FAM162A;P4HA1;TFF3;AKR1A1;ECD;EFNA3;HDLBP;ALDOA;CHPF;MDH2;GFPT1;PMM2;P4HA2;KDELR3;IL13RA1;B4GALT4;SOD1;KIF2A;ARPP19;PAXIP1;CLDN3;PGAM1;HS2ST1;TPBG;B4GALT1;MPI;LDHA;PGM2;ALDH7A1;HK2;CHST6;GMPPA;SLC37A4;GLCE;XYLT2;AGL;SPAG4;B3GALT6;GPC4;VCAN;COL5A1;NSDHL;CHST1;HOMER1;NDUFV3;B4GALT2;MIF;G6PD
LumB_vs_GTEx,Hallmark,HALLMARK_MYC_TARGETS_V2,2.13132326850269,1.82113439729047e-07,3.55948995834046e-06,48,PLK1;PLK4;TMEM97;DCTPP1;SORD;TFB2M;HSPD1;HSPE1;PA2G4;NPM1;BYSL;NOLC1;UNG;FARSA;CDK4;IPO4;PHB1;NIP7;AIMP2;SLC19A1;EXOSC5;MPHOSPH10;PRMT3;WDR43;HK2;RRP12
