"NAME","GS.br..follow.link.to.MSigDB","GS.DETAILS","SIZE","ES","NES","NOM.p.val","FDR.q.val","FWER.p.val","RANK.AT.MAX","LEADING.EDGE","X","direction","Database"
"HALLMARK_E2F_TARGETS","HALLMARK_E2F_TARGETS","Details ...",187,0.66962284,3.1925952,0,0,0,2942,"tags=55%, list=14%, signal=64%",NA,"Up_in_Tumor","Hallmark"
"HALLMARK_G2M_CHECKPOINT","HALLMARK_G2M_CHECKPOINT","Details ...",183,0.6194375,2.9371717,0,0,0,2942,"tags=54%, list=14%, signal=62%",NA,"Up_in_Tumor","Hallmark"
"HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V1","Details ...",187,0.5575237,2.6560335,0,0,0,4860,"tags=59%, list=24%, signal=77%",NA,"Up_in_Tumor","Hallmark"
"KEGG_DNA_REPLICATION","KEGG_DNA_REPLICATION","Details ...",36,0.71749216,2.618172,0,0,0,3363,"tags=64%, list=16%, signal=76%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION","Details ...",30,0.75446635,2.587136,0,0,0,3004,"tags=70%, list=15%, signal=82%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_PROTEASOME","KEGG_PROTEASOME","Details ...",43,0.66702306,2.5203276,0,0,0,4293,"tags=67%, list=21%, signal=85%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_HTT_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",35,0.69770265,2.5090816,0,0,0,4293,"tags=74%, list=21%, signal=94%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","KEGG_MEDICUS_REFERENCE_PRE_IC_FORMATION","Details ...",20,0.78220254,2.4299383,0,0,0,3471,"tags=75%, list=17%, signal=90%",NA,"Up_in_Tumor","KEGG_Medicus"
"KEGG_BASE_EXCISION_REPAIR","KEGG_BASE_EXCISION_REPAIR","Details ...",33,0.6698921,2.3885198,0,0,0,3805,"tags=61%, list=19%, signal=74%",NA,"Up_in_Tumor","KEGG_Legacy"
"KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","KEGG_MEDICUS_VARIANT_MUTATION_CAUSED_ABERRANT_ABETA_TO_26S_PROTEASOME_MEDIATED_PROTEIN_DEGRADATION","Details ...",35,0.677024,2.3795695,0,0,0,4293,"tags=74%, list=21%, signal=94%",NA,"Up_in_Tumor","KEGG_Medicus"
