gene,selection_frequency,mean_coef
AGR2,1,-0.0363268343386771
AR,1,-0.0581544324493098
DEGS2,1,-0.0452678939353398
DRAIC,1,-0.0452790159458982
FOXA1,1,-0.0681601394706183
FOXC1,1,0.152286001403239
MLPH,1,-0.086222168821863
SPDEF,1,-0.039907275328828
TTLL4,1,0.0985403647356264
CFAP99,0.99,-0.0419176801831504
GPR160,0.99,-0.114542116371527
TTC6,0.99,-0.0266601346194471
XBP1,0.99,-0.0632203379433703
CA12,0.98,-0.0320694992920668
AKR7A3,0.96,-0.0216345733743614
CXXC5,0.96,-0.0514507928535422
SIDT1,0.96,-0.0305469738087953
AMY1C,0.95,0.014045246644523
GP2,0.95,-0.0128935482759879
LIN28B,0.95,0.040400008152803
SOX9-AS1,0.93,0.021687006869021
CT83,0.92,0.0174474773821462
TFF3,0.9,-0.0145327087397112
CRIP1,0.89,-0.0351642569178007
DALRD3,0.87,-0.0428927429216269
DNALI1,0.85,-0.0140326781361135
LINC00504,0.85,-0.0227427650819845
LINC02188,0.84,0.0110146015204579
TMEM63C,0.84,-0.0230239577468131
TPSG1,0.84,-0.0115319797064062
LMX1B,0.83,-0.0403823747801828
LOC124902752,0.82,0.0199477602928516
FZD9,0.8,0.0203647542133341
TFF1,0.8,-0.0108375750532447
