gene,selection_frequency,mean_coef
NUDT6,0.99,6.87702502205299
PMAIP1,0.99,3.59828324479327
ABCC2,0.98,-0.563873083008358
G6PD,0.98,-0.475789779904579
GRB7,0.98,1.16258692361214
LINC02303,0.98,-0.761146470048034
SERPINA3,0.98,1.74815716301221
KRT20,0.97,1.08305385108102
MIEN1,0.97,2.05166802804395
IGF1R,0.96,1.85712022462953
STARD3,0.96,1.87698784240513
TBATA,0.96,-0.346602426371839
SCARB1,0.95,-0.901535977155528
ZP2,0.95,-0.261975129434217
TFCP2L1,0.93,-0.73820271877402
MBOAT1,0.92,3.77368632992113
NUDT8,0.92,0.251311045575698
TBX10,0.92,-0.796727066118186
VPS9D1-AS1,0.92,-0.641055424826374
ZNF516-AS1,0.92,1.20373619848101
PPM1J,0.9,3.41571535133903
DBNDD2,0.88,6.49553898193305
LOC100505985,0.88,-0.00440860376329693
SEMA4G,0.87,3.13495738742217
FGFR4,0.86,-3.32174880837361
NRBP2,0.85,-0.444603824786696
DCAKD,0.84,6.52724977222777
PGAP3,0.84,0.824399951175126
TMEM86A,0.84,1.36454789293554
DMRTC2,0.83,-0.797261912044483
CBLC,0.81,0.263264249515755
SIAH2,0.81,6.9420632358562
THNSL1,0.81,4.38348135515884
CCNP,0.8,1.85460325125412
GREB1,0.8,1.04970752557588
LINC00908,0.8,1.0978549222677
