gene,selection_frequency,mean_coef
CEP55,1,-0.128829763448765
TBC1D31,1,-0.162650463461547
BCL2,0.99,0.0804080717480657
CENPA,0.99,-0.0705763645961908
SMC1B,0.99,-0.050085203017377
ENTREP1,0.98,0.0745166244757499
EVA1B,0.98,0.0891610841816303
TP63,0.98,0.0430914403003966
NDC80,0.97,-0.088403119420031
BTF3,0.96,0.178043778303421
FGD3,0.96,0.0625731944294489
MYBL2,0.95,-0.0513643829032998
CDKN3,0.93,-0.0825854917916927
PLAT,0.92,0.0443201072202139
GINS1,0.91,-0.084109073865147
HASPIN,0.91,-0.0770253531730758
SKA1,0.9,-0.0624906095987286
UBE2C,0.9,-0.04644764428503
EXO1,0.89,-0.0609540876452235
SMIM24,0.89,0.0342551450181634
TMEM59L,0.89,0.0486209683613634
ANLN,0.88,-0.0620823647235498
NSG1,0.88,0.0375726403596455
UBE2T,0.88,-0.0839034384080648
MRPS30-DT,0.87,0.0150164226205832
NTS,0.87,0.0173615097865773
PGR,0.86,0.0175794083529236
ASPM,0.84,-0.0435995719444501
PTTG1,0.83,-0.0515805549212796
SH3D21,0.82,0.0463951088249984
