gene,selection_frequency,mean_coef
CDKN3,1,0.134758894272213
ESPL1,1,0.116013197756504
PPP1R14C,1,-0.0840085548336402
STAC2,1,-0.0600065518642502
TBC1D31,1,0.19115770670997
SLC6A2,0.99,-0.0339727973170428
LINC02620,0.97,0.0260494839904517
CGNL1,0.94,-0.0804520093733306
LRR1,0.94,0.179474076392102
TIMELESS,0.94,0.131912496978866
ENTREP1,0.93,-0.0434056436623891
ANXA3,0.91,-0.0520920736220323
MAPK4,0.91,-0.0288498460604296
CENPK,0.89,0.0728226872786939
ESR1,0.89,0.018599664324599
SPC25,0.88,0.0989680403889177
TROAP,0.88,0.0486473858108354
PLEKHG4B,0.87,-0.0396722289119601
ITGB8,0.86,-0.0383372916507743
IER2,0.85,-0.0909551145824879
KRT5,0.85,-0.0212616181770869
TMEM97,0.84,0.0628764854283789
GSTP1,0.81,-0.042602002249412
SLC38A6,0.81,0.0933454064988686
FOXC1,0.8,-0.0313457735530704
GCNT2,0.8,-0.0372395001606525
MYBL2,0.8,0.0324551475659126
